ROI,Subject,Session/Partition,LocalizerSize
1,1,1,86
1,1,2,100
1,1,3,57
1,1,4,79
1,1,5,94
2,1,1,69
2,1,2,66
2,1,3,84
2,1,4,78
2,1,5,72
3,1,1,68
3,1,2,49
3,1,3,62
3,1,4,78
3,1,5,78
4,1,1,44
4,1,2,33
4,1,3,36
4,1,4,43
4,1,5,40
5,1,1,42
5,1,2,27
5,1,3,45
5,1,4,44
5,1,5,51
6,1,1,50
6,1,2,50
6,1,3,28
6,1,4,38
6,1,5,25
7,1,1,59
7,1,2,53
7,1,3,60
7,1,4,41
7,1,5,56
8,1,1,49
8,1,2,40
8,1,3,49
8,1,4,48
8,1,5,48
9,1,1,44
9,1,2,53
9,1,3,66
9,1,4,75
9,1,5,55
10,1,1,65
10,1,2,74
10,1,3,73
10,1,4,69
10,1,5,68
11,1,1,32
11,1,2,37
11,1,3,31
11,1,4,40
11,1,5,35
12,1,1,23
12,1,2,26
12,1,3,35
12,1,4,14
12,1,5,29
13,1,1,48
13,1,2,44
13,1,3,36
13,1,4,46
13,1,5,44
14,1,1,20
14,1,2,20
14,1,3,24
14,1,4,20
14,1,5,24
15,1,1,21
15,1,2,30
15,1,3,34
15,1,4,24
15,1,5,21
16,1,1,33
16,1,2,20
16,1,3,28
16,1,4,23
16,1,5,29
17,1,1,16
17,1,2,18
17,1,3,20
17,1,4,19
17,1,5,15
18,1,1,22
18,1,2,17
18,1,3,18
18,1,4,16
18,1,5,13
19,1,1,14
19,1,2,8
19,1,3,11
19,1,4,14
19,1,5,14
20,1,1,12
20,1,2,9
20,1,3,11
20,1,4,12
20,1,5,9
21,1,1,9
21,1,2,9
21,1,3,8
21,1,4,7
21,1,5,8
22,1,1,6
22,1,2,7
22,1,3,11
22,1,4,8
22,1,5,9
23,1,1,11
23,1,2,9
23,1,3,8
23,1,4,8
23,1,5,9
24,1,1,12
24,1,2,17
24,1,3,4
24,1,4,6
24,1,5,14
25,1,1,5
25,1,2,6
25,1,3,5
25,1,4,6
25,1,5,5
26,1,1,2
26,1,2,2
26,1,3,2
26,1,4,2
26,1,5,2
