ROI,ROISize,LocalizerSize,LocalizerIntersubjectOverlap
49,269,80,1.000000
50,246,73,1.000000
51,241,65,1.000000
52,122,39,1.000000
53,168,40,1.000000
54,122,35,1.000000
55,183,53,1.000000
56,162,47,1.000000
57,195,57,1.000000
49,48,264,70.000000
1,49,49,90,35.000000
1,49,50,79,23.000000
1,49,51,142,43.000000
1,49,52,62,21.000000
1,49,53,78,25.000000
1,49,54,67,26.000000
1,49,55,44,17.000000
1,49,56,39,17.000000
1,49,57,29,12.000000
1,50,48,22,10.000000
1,50,49,18,8.000000
1,50,50,17,8.000000
1,50,51,14,9.000000
1,50,52,18,8.000000
1,50,53,6,5.000000
1,50,54,2,2.000000
1,
