roi_label,x,y,z,effect_size_photo,effect_size_sent
2,24,77,45,0.898253202438354,0.124625407159328
2,24,78,45,1.44182503223419,0.186388120055199
2,25,78,45,1.72364509105682,0.176377519965172
2,26,78,45,1.14893460273743,0.419467180967331
2,27,78,45,0.833950161933899,0.0392912477254868
2,24,77,46,0.904816091060638,0.626851737499237
2,25,77,46,1.04565918445587,0.556821882724762
2,26,77,46,0.769354224205017,0.417376846075058
2,23,78,46,1.16732370853424,0.491649985313416
2,24,78,46,2.10135459899902,0.708338856697083
2,25,78,46,2.4463050365448,0.731807768344879
2,26,78,46,1.53087031841278,0.471824705600739
2,27,78,46,0.80442214012146,0.502387702465057
2,29,78,46,0.733133494853973,0.37808546423912
2,25,77,47,1.13419473171234,1.04341506958008
2,23,78,47,1.10500931739807,1.04515266418457
2,24,78,47,2.3315258026123,1.2238826751709
2,25,78,47,2.51925659179688,1.19779229164124
2,26,78,47,1.50109004974365,1.04128682613373
2,26,68,48,0.808059334754944,0.877236008644104
2,25,69,48,0.927916407585144,0.965341031551361
2,25,70,48,0.666893780231476,0.343476831912994
2,16,71,48,1.64809477329254,0.745653390884399
2,19,76,48,1.60468709468842,0.627695083618164
2,19,77,48,2.69011330604553,0.733729898929596
2,19,78,48,2.71661758422852,-0.214254558086395
2,20,78,48,2.05451059341431,1.66211605072021
2,23,78,48,1.24472308158875,1.24542629718781
2,24,78,48,2.00242781639099,1.01339113712311
2,25,78,48,2.11624598503113,1.20416021347046
2,26,78,48,1.07577741146088,1.32220757007599
2,25,68,49,1.0803827047348,1.73311674594879
2,26,68,49,1.11623597145081,1.66667759418488
2,25,69,49,1.1485081911087,1.50736165046692
2,26,69,49,1.15581035614014,1.35034477710724
2,16,70,49,1.46589636802673,0.715333998203278
2,24,70,49,0.747419059276581,0.596892714500427
2,25,70,49,0.88721776008606,0.586655855178833
2,26,70,49,0.906716227531433,0.663648545742035
2,30,70,49,0.867808699607849,0.125059098005295
2,16,71,49,1.77030694484711,1.41287183761597
2,28,73,49,0.707126617431641,-0.440013885498047
2,19,75,49,1.77119135856628,-0.664175271987915
2,18,76,49,2.85895872116089,-0.834073185920715
2,19,76,49,3.75211620330811,0.471171349287033
2,20,76,49,2.01332759857178,0.440628588199615
2,18,77,49,3.87170696258545,-0.66650801897049
2,19,77,49,5.08951425552368,2.19475793838501
2,20,77,49,3.27534461021423,2.61644244194031
2,18,78,49,2.89005017280579,-1.31296014785767
2,19,78,49,3.8647027015686,1.18282270431519
2,20,78,49,3.02586364746094,2.7757842540741
2,24,78,49,1.54541182518005,0.603085339069366
2,23,67,50,0.808300137519836,0.62458324432373
2,24,67,50,1.01957416534424,1.00663757324219
2,25,67,50,1.06519496440887,0.990639507770538
2,22,68,50,1.11185455322266,0.564738392829895
2,23,68,50,1.19989287853241,1.10901343822479
2,24,68,50,1.38125085830688,1.44346249103546
2,25,68,50,1.34408593177795,1.81451606750488
2,26,68,50,1.0527606010437,1.39491713047028
2,22,69,50,1.01833283901215,1.16925048828125
2,23,69,50,1.23932290077209,1.27485942840576
2,24,69,50,1.25789022445679,1.4057834148407
2,25,69,50,1.14128017425537,1.70768928527832
2,26,69,50,1.3401517868042,1.67475938796997
2,27,69,50,1.04452538490295,1.20523393154144
2,30,69,50,0.714152455329895,0.292305707931519
2,16,70,50,1.85333704948425,0.519974291324615
2,24,70,50,0.862021327018738,0.778751611709595
2,25,70,50,0.864165186882019,1.09519124031067
2,27,70,50,1.01377236843109,0.780767381191254
2,28,70,50,0.807897329330444,0.510643005371094
2,29,70,50,0.875404119491577,0.293848693370819
2,30,70,50,0.929381608963013,0.376205623149872
2,16,71,50,1.9862265586853,0.908522844314575
2,16,72,50,2.04967737197876,1.0343941450119
2,30,72,50,0.606069624423981,0.448151230812073
2,19,75,50,1.82727205753326,-0.308874696493149
2,18,76,50,2.62678050994873,0.81078028678894
2,19,76,50,3.61863303184509,0.484866321086884
2,20,76,50,2.03563022613525,-0.714292347431183
2,18,77,50,3.3008279800415,1.20515692234039
2,19,77,50,4.34872817993164,2.88149690628052
2,20,77,50,3.22406196594238,2.27740454673767
2,19,78,50,2.68405818939209,2.66610789299011
2,21,67,51,0.840015113353729,-0.358780741691589
2,22,67,51,0.988251566886902,-0.393071889877319
2,23,67,51,0.966527581214905,-0.0650675296783447
2,24,67,51,1.12909781932831,0.194398403167725
2,25,67,51,1.09615278244019,0.0995158553123474
2,18,68,51,0.834675550460815,0.537027716636658
2,19,68,51,1.03105533123016,0.567610621452332
2,20,68,51,1.27291202545166,0.521391749382019
2,21,68,51,1.51797640323639,0.0359240770339966
2,22,68,51,1.52148461341858,0.0382264852523804
2,23,68,51,1.52896571159363,0.330460786819458
2,24,68,51,1.61646437644958,0.81201183795929
2,25,68,51,1.45168161392212,0.865742862224579
2,26,68,51,0.933327198028564,0.830512464046478
2,17,69,51,1.26613938808441,0.0569701194763184
2,18,69,51,1.09742283821106,1.02633881568909
2,21,69,51,1.21784591674805,1.2047575712204
2,22,69,51,1.21456074714661,0.828164339065552
2,23,69,51,1.16054546833038,0.953871369361877
2,24,69,51,1.12070071697235,1.13678193092346
2,25,69,51,1.23135435581207,1.60194540023804
2,26,69,51,1.23200535774231,1.64440655708313
2,27,69,51,1.27681148052216,1.271160364151
2,28,69,51,1.08073377609253,0.820840775966644
2,29,69,51,0.750026822090149,0.203717708587646
2,30,69,51,0.728767931461334,-0.106648810207844
2,17,70,51,1.50047302246094,0.0638139843940735
2,27,70,51,1.05985260009766,1.26696407794952
2,28,70,51,0.789666712284088,0.764055192470551
2,29,70,51,0.75596421957016,0.29178586602211
2,30,70,51,0.866566896438599,0.151449471712112
2,18,75,51,2.09740924835205,1.47273373603821
2,18,76,51,2.44562721252441,1.33452963829041
2,19,76,51,2.34526371955872,0.498623043298721
2,26,76,51,1.3100688457489,0.558598399162292
2,27,76,51,1.31486773490906,0.699763298034668
2,19,77,51,3.10721302032471,2.36046171188354
2,20,77,51,2.24010038375854,1.65897226333618
2,22,78,51,1.55879592895508,-0.410893201828003
2,22,79,51,2.14783000946045,0.646939992904663
2,23,79,51,1.72730386257172,0.286644220352173
2,22,67,52,0.868456661701202,-0.706959128379822
2,20,68,52,0.959120869636536,0.423067986965179
2,21,68,52,1.14066934585571,0.139287412166595
2,22,68,52,1.24450850486755,-0.134287714958191
2,23,68,52,1.13982844352722,0.272072613239288
2,24,68,52,1.13606548309326,0.39822918176651
2,25,68,52,1.18399405479431,0.401786804199219
2,26,68,52,0.908221840858459,0.420756280422211
2,25,69,52,1.1539740562439,1.08006346225739
2,26,69,52,1.33853530883789,1.18077087402344
2,27,69,52,1.15697813034058,1.06536710262299
2,28,69,52,0.779687702655792,0.678141474723816
2,26,70,52,0.896357715129852,1.38616836071014
2,27,70,52,0.834533870220184,1.03139591217041
2,28,70,52,0.740930676460266,0.52839857339859
2,17,72,52,2.01497983932495,-0.153918296098709
2,17,73,52,2.44909191131592,-0.125253200531006
2,18,76,52,2.48298335075378,0.932727932929993
2,19,77,52,2.42374658584595,1.70440196990967
2,22,79,52,1.66058373451233,0.94515061378479
2,23,80,52,1.75809967517853,2.05914211273193
2,24,68,53,0.893622398376465,0.430091559886932
2,25,68,53,0.970359921455383,0.412619233131409
2,26,69,53,0.849985241889954,0.612573981285095
2,27,69,53,0.771753132343292,0.492430329322815
2,26,70,53,0.907511532306671,0.493402481079102
2,27,70,53,0.858797550201416,0.290498197078705
2,28,70,53,0.755658030509949,0.0284959673881531
2,27,71,53,0.816150963306427,-0.0769806951284409
2,28,71,53,0.811375677585602,-0.16772785782814
2,27,72,53,0.738595247268677,0.0399243049323559
2,28,72,53,0.700192809104919,0.113373979926109
2,23,74,53,0.779030740261078,0.110287792980671
2,25,68,54,0.753359496593475,0.597242414951324
2,26,70,54,0.868004262447357,-0.0479459166526794
2,27,70,54,0.87945294380188,-0.257767349481583
2,28,70,54,0.626562774181366,-0.359544932842255
2,26,71,54,0.818192958831787,-0.178142338991165
2,27,71,54,0.971078038215637,-0.23508009314537
2,28,71,54,0.68917191028595,-0.365506052970886
2,24,65,55,0.802522778511047,0.0945717990398407
2,25,65,55,0.795766592025757,0.364923566579819
2,24,65,56,1.05023527145386,-0.107229024171829
2,25,65,56,1.0020592212677,0.42633730173111
2,23,66,56,1.08009004592896,-0.121284857392311
2,24,66,56,1.1553920507431,0.217244043946266
2,25,66,56,0.866067826747894,0.845938622951508
2,25,67,56,0.911460816860199,0.898921310901642
2,25,68,56,0.733778834342957,0.490727216005325
2,24,65,57,0.860201239585876,-0.194243416190147
2,24,66,57,1.1032053232193,-0.00804772973060608
4,20,79,33,0.885324060916901,0.14747242629528
4,21,79,33,0.523969531059265,0.194031074643135
4,20,80,34,0.517613589763641,0.631809294223785
4,26,84,37,0.374241769313812,-0.467165499925613
4,25,85,37,0.45219412446022,-0.440645039081573
