roi_label,x,y,z,effect_size_photo,effect_size_sent
2,24,72,49,3.02940630912781,3.345543384552
2,25,72,49,2.63952970504761,2.83618688583374
2,21,73,49,4.64675951004028,4.58587741851807
2,22,73,49,5.27843904495239,5.34702444076538
2,23,73,49,4.91561889648438,4.92715311050415
2,24,73,49,4.2707142829895,4.23917579650879
2,25,73,49,3.41499972343445,3.58083629608154
2,20,74,49,3.06672143936157,2.46768379211426
2,21,74,49,3.90771317481995,3.37932944297791
2,22,74,49,4.24788045883179,3.97297859191895
2,23,74,49,4.13235425949097,3.92236137390137
2,24,74,49,3.69509029388428,3.62555122375488
2,25,74,49,2.93763041496277,3.11888718605042
2,22,75,49,3.19077157974243,2.72498416900635
2,23,75,49,3.43408513069153,2.97339034080505
2,24,75,49,3.07243585586548,2.82134866714478
2,25,71,50,2.67721700668335,2.84513306617737
2,26,71,50,2.31093406677246,2.57089638710022
2,22,72,50,6.17456531524658,6.78102827072144
2,23,72,50,5.92347955703735,6.08795499801636
2,24,72,50,5.44948720932007,5.42710399627686
2,25,72,50,4.7481107711792,4.78692483901978
2,26,72,50,3.3765230178833,3.55753564834595
2,20,73,50,6.39468145370483,5.26622104644775
2,21,73,50,7.78701972961426,7.09791898727417
2,22,73,50,8.00748062133789,7.71972322463989
2,23,73,50,7.32272148132324,7.02389526367188
2,24,73,50,6.5313835144043,6.24866962432861
2,25,73,50,5.49865913391113,5.48564195632935
2,26,73,50,3.70725321769714,4.06783962249756
2,20,74,50,5.27734661102295,3.94489359855652
2,21,74,50,6.17597770690918,4.94655799865723
2,22,74,50,5.8982310295105,5.1979775428772
2,23,74,50,5.26648569107056,4.77575778961182
2,24,74,50,4.87022542953491,4.3540735244751
2,25,74,50,4.15888833999634,3.98996782302856
2,24,75,50,2.91986179351807,2.41444396972656
2,25,75,50,2.41307091712952,2.04364562034607
2,23,71,51,3.8428521156311,4.73273277282715
2,24,71,51,3.77920150756836,4.28286218643188
2,25,71,51,3.93458533287048,4.29042053222656
2,26,71,51,3.77460861206055,4.23559379577637
2,27,71,51,3.10335159301758,3.90655708312988
2,20,72,51,7.10428953170776,7.3841404914856
2,21,72,51,7.67112064361572,8.62839031219482
2,22,72,51,7.62648820877075,8.5699987411499
2,23,72,51,7.00633716583252,7.62025785446167
2,24,72,51,6.42726373672485,6.83109188079834
2,25,72,51,6.04860782623291,6.34670162200928
2,26,72,51,4.84594488143921,5.36812829971313
2,27,72,51,3.25787019729614,3.90524768829346
2,19,73,51,7.08189249038696,6.64820384979248
2,20,73,51,8.54398632049561,7.6619701385498
2,21,73,51,8.64651107788086,8.16578006744385
2,22,73,51,7.97459840774536,7.86175012588501
2,23,73,51,7.10006904602051,7.07397699356079
2,24,73,51,6.65603971481323,6.50727272033691
2,25,73,51,6.0894341468811,6.12306213378906
2,26,73,51,4.56205415725708,5.00923585891724
2,19,74,51,5.19851160049438,4.54255962371826
2,20,74,51,6.03986358642578,4.86083602905273
2,21,74,51,5.99846172332764,4.98280954360962
2,22,74,51,5.20510673522949,4.6398811340332
2,23,74,51,4.36714220046997,3.99288415908813
2,24,74,51,4.17908573150635,3.6788444519043
2,25,74,51,3.93088293075562,3.59999132156372
2,25,70,52,2.53339219093323,3.10412573814392
2,26,70,52,2.74152231216431,3.63418912887573
2,19,71,52,5.63965034484863,5.77431726455688
2,20,71,52,6.59539985656738,8.02934837341309
2,21,71,52,5.93200206756592,8.32221412658691
2,22,71,52,4.96267032623291,7.1737642288208
2,23,71,52,4.30642461776733,5.78947591781616
2,24,71,52,4.05722904205322,5.12861251831055
2,25,71,52,4.40842247009277,5.13986349105835
2,26,71,52,4.55959129333496,5.42379236221313
2,27,71,52,3.91407632827759,4.92107248306274
2,18,72,52,5.68637657165527,5.70403242111206
2,19,72,52,8.39061641693115,8.93034362792969
2,20,72,52,8.69880771636963,9.87905502319336
2,21,72,52,7.33604526519775,8.89660263061523
2,22,72,52,6.31139469146729,7.68880319595337
2,23,72,52,5.60612344741821,6.79927158355713
2,24,72,52,5.41282987594604,6.41438388824463
2,25,72,52,5.60001707077026,6.28457927703857
2,26,72,52,5.11569356918335,5.92405700683594
2,27,72,52,3.68062925338745,4.46324348449707
2,18,73,52,6.29799842834473,6.76782512664795
2,19,73,52,8.3750638961792,8.73649501800537
2,20,73,52,7.93527221679688,8.15168285369873
2,21,73,52,6.40550518035889,6.58769273757935
2,22,73,52,5.32124280929565,5.61899948120117
2,23,73,52,4.70881843566895,5.03656005859375
2,24,73,52,4.70810842514038,4.85415124893188
2,25,73,52,4.79990196228027,4.98440742492676
2,26,73,52,3.90571546554565,4.37709617614746
2,18,74,52,4.55238485336304,5.04508113861084
2,19,74,52,6.04000377655029,6.00112724304199
2,20,74,52,5.41724634170532,5.12787008285522
2,24,74,52,2.49784111976624,2.41683793067932
2,25,74,52,2.57503819465637,2.41975045204163
2,19,70,53,4.47550773620605,4.35082006454468
2,20,70,53,5.28769111633301,6.30190372467041
2,21,70,53,4.49108982086182,6.39074420928955
2,22,70,53,3.63872528076172,5.34943437576294
2,23,70,53,2.98385143280029,4.11095285415649
2,26,70,53,2.65657496452332,3.58216714859009
2,18,71,53,4.245285987854,3.93142223358154
2,19,71,53,7.22066211700439,7.47042655944824
2,20,71,53,7.56909275054932,9.01029872894287
2,21,71,53,5.68590068817139,7.9854588508606
2,22,71,53,4.15836524963379,6.19811058044434
2,23,71,53,3.45909070968628,4.97321605682373
2,24,71,53,3.1511025428772,4.39662742614746
2,25,71,53,3.56008768081665,4.5880184173584
2,26,71,53,3.92134475708008,4.89874982833862
2,27,71,53,3.48266220092773,4.3358416557312
2,18,72,53,6.32159996032715,6.50922632217407
2,19,72,53,8.53235721588135,9.42432880401611
2,20,72,53,7.44537734985352,8.87967777252197
2,21,72,53,4.91113901138306,6.60717582702637
2,22,72,53,3.57260751724243,4.86203002929688
2,23,72,53,3.20571517944336,4.29737901687622
2,24,72,53,3.28962922096252,4.32356595993042
2,25,72,53,3.68529987335205,4.54817056655884
2,26,72,53,3.6528902053833,4.50028228759766
2,27,72,53,2.76506042480469,3.44767141342163
2,18,73,53,6.39653873443604,7.07185935974121
2,19,73,53,7.92977046966553,8.78291511535645
2,20,73,53,5.90971279144287,6.93107271194458
2,23,73,53,2.2654504776001,2.74390316009521
2,24,73,53,2.37968921661377,2.80619668960571
2,25,73,53,2.57987093925476,2.93261885643005
2,26,73,53,2.23125743865967,2.61919236183167
2,18,74,53,4.8234920501709,5.503258228302
2,19,74,53,6.62586545944214,6.98899936676025
2,20,74,53,5.02929592132568,5.38799858093262
2,20,69,54,3.03056573867798,3.9422333240509
2,21,69,54,2.74804782867432,3.81642198562622
2,22,69,54,2.61962747573853,3.62171125411987
2,19,70,54,4.71941375732422,4.45388412475586
2,20,70,54,5.28700923919678,5.90234661102295
2,21,70,54,4.26048374176025,5.58949327468872
2,22,70,54,3.39305067062378,4.58377552032471
2,23,70,54,2.71930694580078,3.55127429962158
2,18,71,54,3.85922861099243,3.39366149902344
2,19,71,54,6.23473930358887,6.00009918212891
2,20,71,54,6.20259571075439,6.86196422576904
