UID,EventsOrig_instrsep_2runs,events2move_instrsep,EventsRev_instrsep,SWNloc_IPS168_3runs,langlocSN,spatialFIN,EXCLUDED
40,KAN_langevents_01,NA,NA,KAN_langevents_01,NA,NA,no
57,KAN_langevents_02,NA,NA,KAN_langevents_02,NA,NA,no
59,KAN_langevents_04,NA,NA,KAN_langevents_04,NA,NA,no
56,KAN_langevents_05,NA,NA,KAN_langevents_05,NA,NA,no
67,KAN_langevents_06,NA,NA,KAN_langevents_06,NA,NA,no
68,KAN_langevents_07,NA,NA,KAN_langevents_07,NA,NA,no
19,KAN_langevents_08,NA,NA,KAN_langevents_08,NA,NA,no
69,KAN_langevents_10,NA,NA,KAN_langevents_10,NA,NA,yes
70,KAN_langevents_11,NA,NA,KAN_langevents_11,NA,NA,no
87,KAN_langevents_12,NA,NA,KAN_langevents_12,NA,NA,no
78,KAN_langevents_13,NA,NA,KAN_langevents_13,NA,NA,no
88,KAN_langevents_14,NA,NA,KAN_langevents_14,NA,NA,yes
89,KAN_langevents_15,NA,NA,KAN_langevents_15,NA,NA,no
76,KAN_langevents_16,NA,NA,KAN_langevents_16,NA,NA,no
199,NA,FED_20160711c_3T1,NA,NA,KAN_parametric_20,KAN_parametric_20,no
261,NA,FED_20160523c_3T2,NA,NA,FED_20160523c_3T2,FED_20160523c_3T3,no
407,NA,FED_20160804a_3T1,NA,NA,FED_20160804a_3T1,FED_20160804a_3T2,no
408,NA,FED_20160711a2_3T1,NA,NA,FED_20160711a2_3T1,FED_20160711a2_3T2,no
409,NA,FED_20160622a_3T1,NA,NA,FED_20160622a_3T1,FED_20160622a_3T2,no
410,NA,FED_20160623b_3T2,NA,NA,FED_20160623b_3T2,FED_20160623b_3T3,no
414,NA,FED_20160711b_3T1,NA,NA,FED_20160711b_3T1,FED_20160711b_3T2,no
421,NA,FED_20160804b_3T1,NA,NA,FED_20160804b_3T1,FED_20160804b_3T2,no
730,NA,FED_20190306a_3T2,NA,NA,FED_20190306a_3T2,FED_20190306a_3T3,no
776,NA,FED_20190611b_3T2,NA,NA,FED_20190611b_3T2,FED_20190611b_3T3,no
249,NA,NA,FED_20160519a_3T1,NA,FED_20160519a_3T1,FED_20160519a_3T2,no
252,NA,NA,FED_20160907b_3T2,NA,FED_20160907b_3T2,FED_20160907b_3T3,no
291,NA,FED_20160803c_3T1,FED_20160803c_3T1,NA,FED_20160803c_3T1,FED_20160803c_3T2,no
301,NA,NA,FED_20160908b_3T1,NA,FED_20160908b_3T1,FED_20160908b_3T2,no
343,NA,NA,FED_20160519c_3T1,NA,FED_20160519c_3T1,FED_20160519c_3T2,yes
376,NA,NA,FED_20160519b_3T1,NA,FED_20160519b_3T1,FED_20160519b_3T2,no
399,NA,NA,FED_20160519d_3T1,NA,FED_20160519d_3T1,FED_20160519d_3T2,no
400,NA,FED_20160520a_3T1,FED_20160520a_3T1,NA,FED_20160520a_3T1,FED_20160520a_3T2,no
401,NA,NA,FED_20160520d_3T1,NA,FED_20160520d_3T1,FED_20160520d_3T2,no
419,NA,FED_20160805a_3T1,FED_20160805a_3T1,NA,FED_20160805a_3T1,FED_20160805a_3T2,no
420,NA,NA,FED_20160805b_3T1,NA,FED_20160805b_3T1,FED_20160805b_3T2,no
426,NA,NA,FED_20160908d_3T1,NA,FED_20160908d_3T1,FED_20160908d_3T2,no
433,NA,NA,FED_20160908c_3T1,NA,FED_20160908c_3T1,FED_20160908c_3T2,yes
671,NA,NA,FED_20190625a_3T2,NA,FED_20190625a_3T2,FED_20190625a_3T3,yes
682,NA,NA,FED_20190426a_3T2,NA,FED_20190426a_3T2,FED_20190426a_3T3,no
741,NA,NA,FED_20190320a_3T2,NA,FED_20190320a_3T2,FED_20190320a_3T3,yes
767,NA,NA,FED_20190418b_3T2,NA,FED_20190418b_3T2,FED_20190418b_3T3,no
768,NA,NA,FED_20190517a_3T2,NA,FED_20190517a_3T2,NA,no
769,NA,NA,FED_20190522a_3T2,NA,FED_20190522a_3T2,FED_20190522a_3T3,no
770,NA,NA,FED_20190523b_3T2,NA,FED_20190523b_3T2,FED_20190523b_3T3,no
773,NA,FED_20190605c_3T2,FED_20190605c_3T2,NA,FED_20190605c_3T2,FED_20190605c_3T3,no
774,NA,FED_20190605b_3T2,FED_20190605b_3T2,NA,FED_20190605b_3T2,FED_20190605b_3T3,no
775,NA,FED_20190611a_3T2,FED_20190611a_3T2,NA,FED_20190611a_3T2,FED_20190611a_3T3,no
777,NA,FED_20190611c_3T2,FED_20190611c_3T2,NA,FED_20190611c_3T2,FED_20190611c_3T3,yes
778,NA,FED_20190614b_3T2,FED_20190614b_3T2,NA,FED_20190614b_3T2,FED_20190614b_3T3,no
863,NA,NA,FED_20211124a_3T1,NA,FED_20211124a_3T1,FED_20211124a_3T1,no
