"","Subject","Experiment","EffectSize"
"1","019_KAN_langevents_08_PL2017","Experiment 1",-0.2155364
"2","040_KAN_langevents_01_PL2017","Experiment 1",0.4304706
"3","056_KAN_langevents_05_PL2017","Experiment 1",0.8316344
"4","057_KAN_langevents_02_PL2017","Experiment 1",0.280774
"5","059_KAN_langevents_04_PL2017","Experiment 1",0.844404
"6","067_KAN_langevents_06_PL2017","Experiment 1",0.9163584
"7","068_KAN_langevents_07_PL2017","Experiment 1",0.585621
"8","070_KAN_langevents_11_PL2017","Experiment 1",0.8876234
"9","076_KAN_langevents_16_PL2017","Experiment 1",0.3939584
"10","078_KAN_langevents_13_PL2017","Experiment 1",-0.2854038
"11","087_KAN_langevents_12_PL2017","Experiment 1",0.2096552
"12","089_KAN_langevents_15_PL2017","Experiment 1",0.4267472
