Group,Regression Term,Beta,SE,p.value.FDR,pLabel
FALSE,(Intercept),1.31,0.25,<.001,***
FALSE,EffectS-N,-0.12,0.08,0.29,
FALSE,EffectH-E,0.36,0.1,<.001,***
FALSE,EffectTaskSem>Perc,0.92,0.11,<.001,***
FALSE,EffectStimTypeSent>Pic,-1.15,0.11,<.001,***
FALSE,EffectTask:StimType,-0.24,0.11,0.068,
FALSE,EffectSent_Sem>S,0.15,0.08,0.066,
FALSE,EffectSemTask>WMTask,1.44,0.14,<.001,***
FALSE,ExperimentE2>E3,0.33,0.1,0.002,**
FALSE,ExperimentE1>E3,-0.27,0.15,0.178,
FALSE,EffectS-N:ExperimentE2>E3,-0.01,0.12,0.949,
FALSE,EffectH-E:ExperimentE2>E3,-0.03,0.1,0.855,
FALSE,EffectTaskSem>Perc:ExperimentE2>E3,-0.09,0.16,0.579,
FALSE,EffectStimTypeSent>Pic:ExperimentE2>E3,0.22,0.16,0.184,
FALSE,EffectTask:StimType:ExperimentE2>E3,0.03,0.16,0.843,
FALSE,EffectSent_Sem>S:ExperimentE2>E3,0.23,0.12,0.098,
FALSE,EffectSemTask>WMTask:ExperimentE2>E3,-0.06,0.14,0.677,
FALSE,EffectS-N:ExperimentE1>E3,-0.06,0.12,0.59,
FALSE,EffectTaskSem>Perc:ExperimentE1>E3,-0.12,0.16,0.467,
FALSE,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.38,0.16,0.042,*
FALSE,EffectTask:StimType:ExperimentE1>E3,-0.04,0.16,0.812,
FALSE,EffectSent_Sem>S:ExperimentE1>E3,-0.35,0.12,0.004,**
TRUE,(Intercept),2.05,0.32,<.001,***
TRUE,EffectS-N,-0.04,0.17,0.795,
TRUE,EffectH-E,0.3,0.16,0.06,
TRUE,EffectTaskSem>Perc,1.23,0.24,<.001,***
TRUE,EffectStimTypeSent>Pic,-1.21,0.24,<.001,***
TRUE,EffectTask:StimType,-0.22,0.24,0.36,
TRUE,EffectSent_Sem>S,1.08,0.17,<.001,***
TRUE,EffectSemTask>WMTask,2.37,0.22,<.001,***
TRUE,ExperimentE2>E3,0.54,0.16,0.002,**
TRUE,ExperimentE1>E3,-0.26,0.28,0.351,
TRUE,EffectS-N:ExperimentE2>E3,0.12,0.22,0.949,
TRUE,EffectH-E:ExperimentE2>E3,-0.03,0.16,0.855,
TRUE,EffectTaskSem>Perc:ExperimentE2>E3,0.87,0.32,0.012,*
TRUE,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.45,0.32,0.184,
TRUE,EffectTask:StimType:ExperimentE2>E3,-0.13,0.32,0.843,
TRUE,EffectSent_Sem>S:ExperimentE2>E3,0.14,0.22,0.518,
TRUE,EffectSemTask>WMTask:ExperimentE2>E3,1.1,0.22,<.001,***
TRUE,EffectS-N:ExperimentE1>E3,-0.15,0.29,0.59,
TRUE,EffectTaskSem>Perc:ExperimentE1>E3,-0.81,0.4,0.088,
TRUE,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.24,0.4,0.546,
TRUE,EffectTask:StimType:ExperimentE1>E3,-0.19,0.4,0.812,
TRUE,EffectSent_Sem>S:ExperimentE1>E3,0.02,0.29,0.942,
