ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
LIFG_orb,(Intercept),1.01,0.11,<.001,***
LIFG_orb,EffectS-N,1.29,0.17,<.001,***
LIFG_orb,EffectH-E,-0.3,0.18,0.15,
LIFG_orb,EffectTaskSem>Perc,1.08,0.14,<.001,***
LIFG_orb,EffectStimTypeSent>Pic,0.68,0.28,0.014,*
LIFG_orb,EffectTask:StimType,0.46,0.28,0.099,
LIFG_orb,EffectSent_Sem>S,-0.42,0.18,0.026,*
LIFG_orb,EffectSemTask>WMTask,3.78,0.29,<.001,***
LIFG_orb,ExperimentE2>E3,0.42,0.15,0.006,**
LIFG_orb,ExperimentE1>E3,-0.36,0.16,0.032,*
LIFG_orb,EffectS-N:ExperimentE2>E3,0.23,0.22,0.291,
LIFG_orb,EffectH-E:ExperimentE2>E3,0,0.18,1,
LIFG_orb,EffectTaskSem>Perc:ExperimentE2>E3,0.42,0.2,0.17,
LIFG_orb,EffectStimTypeSent>Pic:ExperimentE2>E3,0,0.39,0.998,
LIFG_orb,EffectTask:StimType:ExperimentE2>E3,0,0.39,0.997,
LIFG_orb,EffectSent_Sem>S:ExperimentE2>E3,0.13,0.25,0.769,
LIFG_orb,EffectSemTask>WMTask:ExperimentE2>E3,0.47,0.29,0.178,
LIFG_orb,EffectS-N:ExperimentE1>E3,-0.47,0.28,0.093,
LIFG_orb,EffectTaskSem>Perc:ExperimentE1>E3,-0.44,0.21,0.178,
LIFG_orb,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.18,0.41,0.998,
LIFG_orb,EffectTask:StimType:ExperimentE1>E3,-0.23,0.41,0.846,
LIFG_orb,EffectSent_Sem>S:ExperimentE1>E3,0.11,0.29,0.697,
LIFG,(Intercept),1.76,0.11,<.001,***
LIFG,EffectS-N,1.39,0.16,<.001,***
LIFG,EffectH-E,0,0.16,0.977,
LIFG,EffectTaskSem>Perc,1.11,0.13,<.001,***
LIFG,EffectStimTypeSent>Pic,0.82,0.26,0.002,**
LIFG,EffectTask:StimType,0.62,0.26,0.021,*
LIFG,EffectSent_Sem>S,0.07,0.17,0.673,
LIFG,EffectSemTask>WMTask,4.21,0.27,<.001,***
LIFG,ExperimentE2>E3,0.41,0.14,0.006,**
LIFG,ExperimentE1>E3,-0.6,0.17,0.002,**
LIFG,EffectS-N:ExperimentE2>E3,0.31,0.21,0.189,
LIFG,EffectH-E:ExperimentE2>E3,0,0.16,1,
LIFG,EffectTaskSem>Perc:ExperimentE2>E3,0.26,0.18,0.255,
LIFG,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.02,0.36,0.998,
LIFG,EffectTask:StimType:ExperimentE2>E3,0.12,0.36,0.997,
LIFG,EffectSent_Sem>S:ExperimentE2>E3,0.05,0.24,0.831,
LIFG,EffectSemTask>WMTask:ExperimentE2>E3,0.22,0.27,0.414,
LIFG,EffectS-N:ExperimentE1>E3,-0.61,0.26,0.027,*
LIFG,EffectTaskSem>Perc:ExperimentE1>E3,-0.26,0.19,0.221,
LIFG,EffectStimTypeSent>Pic:ExperimentE1>E3,0,0.39,0.998,
LIFG,EffectTask:StimType:ExperimentE1>E3,-0.15,0.39,0.846,
LIFG,EffectSent_Sem>S:ExperimentE1>E3,0.13,0.27,0.697,
LMFG,(Intercept),1.81,0.15,<.001,***
LMFG,EffectS-N,1.56,0.15,<.001,***
LMFG,EffectH-E,0.13,0.16,0.511,
LMFG,EffectTaskSem>Perc,0.55,0.12,<.001,***
LMFG,EffectStimTypeSent>Pic,0.93,0.24,<.001,***
LMFG,EffectTask:StimType,0.67,0.24,0.021,*
LMFG,EffectSent_Sem>S,-0.47,0.16,0.007,**
LMFG,EffectSemTask>WMTask,1.85,0.26,<.001,***
LMFG,ExperimentE2>E3,0.73,0.16,<.001,***
LMFG,ExperimentE1>E3,-0.55,0.23,0.03,*
LMFG,EffectS-N:ExperimentE2>E3,0.33,0.2,0.189,
LMFG,EffectH-E:ExperimentE2>E3,0,0.16,1,
LMFG,EffectTaskSem>Perc:ExperimentE2>E3,-0.18,0.17,0.381,
LMFG,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.14,0.35,0.998,
LMFG,EffectTask:StimType:ExperimentE2>E3,-0.11,0.35,0.997,
LMFG,EffectSent_Sem>S:ExperimentE2>E3,0.17,0.23,0.755,
LMFG,EffectSemTask>WMTask:ExperimentE2>E3,0.92,0.26,0.003,**
LMFG,EffectS-N:ExperimentE1>E3,-0.66,0.25,0.022,*
LMFG,EffectTaskSem>Perc:ExperimentE1>E3,-0.01,0.18,0.958,
LMFG,EffectStimTypeSent>Pic:ExperimentE1>E3,0.44,0.37,0.595,
LMFG,EffectTask:StimType:ExperimentE1>E3,0.09,0.37,0.846,
LMFG,EffectSent_Sem>S:ExperimentE1>E3,0.59,0.25,0.11,
LAntTemp,(Intercept),0.35,0.07,<.001,***
LAntTemp,EffectS-N,1.09,0.1,<.001,***
LAntTemp,EffectH-E,-0.39,0.1,<.001,***
LAntTemp,EffectTaskSem>Perc,0.41,0.08,<.001,***
LAntTemp,EffectStimTypeSent>Pic,0.7,0.15,<.001,***
LAntTemp,EffectTask:StimType,0.37,0.15,0.021,*
LAntTemp,EffectSent_Sem>S,-0.53,0.1,<.001,***
LAntTemp,EffectSemTask>WMTask,1.85,0.16,<.001,***
LAntTemp,ExperimentE2>E3,0.02,0.08,0.767,
LAntTemp,ExperimentE1>E3,-0.19,0.1,0.049,*
LAntTemp,EffectS-N:ExperimentE2>E3,0.2,0.12,0.189,
LAntTemp,EffectH-E:ExperimentE2>E3,0,0.1,1,
LAntTemp,EffectTaskSem>Perc:ExperimentE2>E3,0.08,0.11,0.441,
LAntTemp,EffectStimTypeSent>Pic:ExperimentE2>E3,0.02,0.22,0.998,
LAntTemp,EffectTask:StimType:ExperimentE2>E3,0.04,0.22,0.997,
LAntTemp,EffectSent_Sem>S:ExperimentE2>E3,-0.22,0.14,0.58,
LAntTemp,EffectSemTask>WMTask:ExperimentE2>E3,-0.14,0.16,0.414,
LAntTemp,EffectS-N:ExperimentE1>E3,-0.41,0.16,0.022,*
LAntTemp,EffectTaskSem>Perc:ExperimentE1>E3,-0.21,0.12,0.178,
LAntTemp,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.43,0.23,0.315,
LAntTemp,EffectTask:StimType:ExperimentE1>E3,-0.08,0.23,0.846,
LAntTemp,EffectSent_Sem>S:ExperimentE1>E3,0.2,0.16,0.503,
LPostTemp,(Intercept),0.98,0.08,<.001,***
LPostTemp,EffectS-N,1.41,0.13,<.001,***
LPostTemp,EffectH-E,-0.29,0.13,0.065,
LPostTemp,EffectTaskSem>Perc,0.65,0.1,<.001,***
LPostTemp,EffectStimTypeSent>Pic,1.16,0.21,<.001,***
LPostTemp,EffectTask:StimType,0.51,0.21,0.021,*
LPostTemp,EffectSent_Sem>S,-0.49,0.14,0.001,**
LPostTemp,EffectSemTask>WMTask,3.1,0.21,<.001,***
LPostTemp,ExperimentE2>E3,0.5,0.11,<.001,***
LPostTemp,ExperimentE1>E3,-0.39,0.12,0.005,**
LPostTemp,EffectS-N:ExperimentE2>E3,0.24,0.17,0.189,
LPostTemp,EffectH-E:ExperimentE2>E3,0,0.13,1,
LPostTemp,EffectTaskSem>Perc:ExperimentE2>E3,0.26,0.15,0.18,
LPostTemp,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.03,0.29,0.998,
LPostTemp,EffectTask:StimType:ExperimentE2>E3,0.03,0.29,0.997,
LPostTemp,EffectSent_Sem>S:ExperimentE2>E3,0.2,0.19,0.705,
LPostTemp,EffectSemTask>WMTask:ExperimentE2>E3,0.6,0.22,0.015,*
LPostTemp,EffectS-N:ExperimentE1>E3,-0.48,0.21,0.027,*
LPostTemp,EffectTaskSem>Perc:ExperimentE1>E3,-0.24,0.16,0.215,
LPostTemp,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.01,0.31,0.998,
LPostTemp,EffectTask:StimType:ExperimentE1>E3,0.06,0.31,0.846,
LPostTemp,EffectSent_Sem>S:ExperimentE1>E3,0.2,0.21,0.573,
