Hemisphere,Regression Term,Beta,SE,p.value.FDR,pLabel
LH,(Intercept),1.19,0.23,0.002,**
LH,EffectS-N,1.35,0.07,<.001,***
LH,EffectH-E,-0.17,0.08,0.025,*
LH,EffectTaskSem>Perc,1.52,0.12,<.001,***
LH,EffectStimTypeSent>Pic,0.86,0.12,<.001,***
LH,EffectTask:StimType,0.52,0.12,<.001,***
LH,EffectSent_Sem>S,-0.36,0.08,<.001,***
LH,EffectSemTask>WMTask,2.97,0.12,<.001,***
LH,ExperimentE2>E3,0.43,0.07,<.001,***
LH,ExperimentE1>E3,-0.42,0.1,<.001,***
LH,EffectS-N:ExperimentE2>E3,0.26,0.09,0.006,**
LH,EffectH-E:ExperimentE2>E3,0,0.08,1,
LH,EffectTaskSem>Perc:ExperimentE2>E3,0.34,0.17,0.043,*
LH,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.03,0.17,0.844,
LH,EffectTask:StimType:ExperimentE2>E3,0.01,0.17,0.93,
LH,EffectSent_Sem>S:ExperimentE2>E3,0.08,0.11,0.464,
LH,EffectSemTask>WMTask:ExperimentE2>E3,0.43,0.13,<.001,***
LH,EffectS-N:ExperimentE1>E3,-0.52,0.12,<.001,***
LH,EffectTaskSem>Perc:ExperimentE1>E3,-0.46,0.18,0.009,**
LH,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.04,0.18,0.841,
LH,EffectTask:StimType:ExperimentE1>E3,-0.06,0.18,0.731,
LH,EffectSent_Sem>S:ExperimentE1>E3,0.24,0.12,0.048,*
