ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
LH_postParietal,(Intercept),2.18,0.2,<.001,***
LH_postParietal,EffectS-N,-0.3,0.16,0.193,
LH_postParietal,EffectH-E,1.23,0.16,<.001,***
LH_postParietal,EffectTaskSem>Perc,1.05,0.28,<.001,***
LH_postParietal,EffectStimTypeSent>Pic,-1.33,0.28,<.001,***
LH_postParietal,EffectTask:StimType,-0.48,0.28,0.47,
LH_postParietal,EffectSent_Sem>S,1.56,0.18,<.001,***
LH_postParietal,EffectSemTask>WMTask,-3.81,0.26,<.001,***
LH_postParietal,ExperimentE2>E3,0.35,0.11,0.002,**
LH_postParietal,EffectS-N:ExperimentE2>E3,0,0.16,1,
LH_postParietal,EffectH-E:ExperimentE2>E3,0,0.16,1,
LH_postParietal,EffectTaskSem>Perc:ExperimentE2>E3,0.33,0.28,0.344,
LH_postParietal,EffectStimTypeSent>Pic:ExperimentE2>E3,-1.12,0.28,0.002,**
LH_postParietal,EffectTask:StimType:ExperimentE2>E3,-0.15,0.28,0.977,
LH_postParietal,EffectSent_Sem>S:ExperimentE2>E3,0.03,0.18,0.946,
LH_postParietal,EffectSemTask>WMTask:ExperimentE2>E3,0.71,0.27,0.018,*
LH_midParietal,(Intercept),2.19,0.24,<.001,***
LH_midParietal,EffectS-N,-0.53,0.18,0.03,*
LH_midParietal,EffectH-E,1.41,0.18,<.001,***
LH_midParietal,EffectTaskSem>Perc,0.74,0.32,0.034,*
LH_midParietal,EffectStimTypeSent>Pic,-0.26,0.32,0.789,
LH_midParietal,EffectTask:StimType,-0.33,0.32,0.714,
LH_midParietal,EffectSent_Sem>S,1.58,0.21,<.001,***
LH_midParietal,EffectSemTask>WMTask,-2.38,0.29,<.001,***
LH_midParietal,ExperimentE2>E3,0.37,0.12,0.005,**
LH_midParietal,EffectS-N:ExperimentE2>E3,0,0.18,1,
LH_midParietal,EffectH-E:ExperimentE2>E3,0,0.18,1,
LH_midParietal,EffectTaskSem>Perc:ExperimentE2>E3,0.47,0.32,0.275,
LH_midParietal,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.7,0.32,0.2,
LH_midParietal,EffectTask:StimType:ExperimentE2>E3,-0.21,0.32,0.977,
LH_midParietal,EffectSent_Sem>S:ExperimentE2>E3,0.14,0.21,0.716,
LH_midParietal,EffectSemTask>WMTask:ExperimentE2>E3,0.73,0.3,0.029,*
LH_antParietal,(Intercept),1.88,0.17,<.001,***
LH_antParietal,EffectS-N,-0.43,0.14,0.03,*
LH_antParietal,EffectH-E,1.14,0.14,<.001,***
LH_antParietal,EffectTaskSem>Perc,0.38,0.25,0.181,
LH_antParietal,EffectStimTypeSent>Pic,-0.48,0.25,0.22,
LH_antParietal,EffectTask:StimType,-0.38,0.25,0.47,
LH_antParietal,EffectSent_Sem>S,1.45,0.16,<.001,***
LH_antParietal,EffectSemTask>WMTask,-2.33,0.23,<.001,***
LH_antParietal,ExperimentE2>E3,0.4,0.09,<.001,***
LH_antParietal,EffectS-N:ExperimentE2>E3,0,0.14,1,
LH_antParietal,EffectH-E:ExperimentE2>E3,0,0.14,1,
LH_antParietal,EffectTaskSem>Perc:ExperimentE2>E3,0.3,0.25,0.344,
