Hemisphere,Regression Term,Beta,SE,p.value.FDR,pLabel
LH,(Intercept),2.16,0.19,<.001,***
LH,EffectS-N,-0.31,0.07,<.001,***
LH,EffectH-E,1.19,0.07,<.001,***
LH,EffectTaskSem>Perc,1.16,0.12,<.001,***
LH,EffectStimTypeSent>Pic,-0.27,0.12,0.028,*
LH,EffectTask:StimType,-0.2,0.12,0.108,
LH,EffectSent_Sem>S,1.69,0.08,<.001,***
LH,EffectSemTask>WMTask,-0.76,0.11,<.001,***
LH,ExperimentE2>E3,0.45,0.05,<.001,***
LH,EffectS-N:ExperimentE2>E3,0,0.07,1,
LH,EffectH-E:ExperimentE2>E3,0,0.07,1,
LH,EffectTaskSem>Perc:ExperimentE2>E3,0.52,0.12,<.001,***
LH,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.5,0.12,<.001,***
LH,EffectTask:StimType:ExperimentE2>E3,-0.05,0.12,0.653,
LH,EffectSent_Sem>S:ExperimentE2>E3,0.31,0.08,<.001,***
LH,EffectSemTask>WMTask:ExperimentE2>E3,0.89,0.11,<.001,***
RH,(Intercept),1.78,0.19,<.001,***
RH,EffectS-N,-0.18,0.07,0.013,*
RH,EffectH-E,1.46,0.07,<.001,***
RH,EffectTaskSem>Perc,-0.18,0.13,0.181,
RH,EffectStimTypeSent>Pic,-0.53,0.13,<.001,***
RH,EffectTask:StimType,-0.29,0.13,0.056,
RH,EffectSent_Sem>S,1.21,0.08,<.001,***
RH,EffectSemTask>WMTask,-1.84,0.12,<.001,***
RH,ExperimentE2>E3,0.08,0.05,0.117,
RH,EffectS-N:ExperimentE2>E3,0,0.07,1,
RH,EffectH-E:ExperimentE2>E3,0,0.07,1,
RH,EffectTaskSem>Perc:ExperimentE2>E3,-0.27,0.13,0.04,*
RH,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.33,0.13,0.013,*
RH,EffectTask:StimType:ExperimentE2>E3,-0.08,0.13,0.653,
RH,EffectSent_Sem>S:ExperimentE2>E3,-0.02,0.09,0.773,
RH,EffectSemTask>WMTask:ExperimentE2>E3,0.16,0.12,0.209,
