ROI,Experiment,Regression Term,Beta,SE,p.value.FDR,pLabel
F2,Experiment 1,(Intercept),1.43,0.3,<.001,***
F2,Experiment 1,TaskSem,0.57,0.19,0.012,*
F2,Experiment 1,StimTypeSent,-0.66,0.21,0.02,*
F2,Experiment 1,TaskSem:StimTypeSent,-0.12,0.22,0.675,
F1,Experiment 1,(Intercept),0.79,0.28,0.017,*
F1,Experiment 1,TaskSem,0.79,0.2,0.003,**
F1,Experiment 1,StimTypeSent,-0.57,0.23,0.047,*
F1,Experiment 1,TaskSem:StimTypeSent,-0.3,0.25,0.443,
F3,Experiment 1,(Intercept),-0.03,0.28,0.918,
F3,Experiment 1,TaskSem,-0.02,0.14,0.909,
F3,Experiment 1,StimTypeSent,-0.12,0.1,0.306,
F3,Experiment 1,TaskSem:StimTypeSent,-0.08,0.14,0.675,
TP1,Experiment 1,(Intercept),1.61,0.3,<.001,***
TP1,Experiment 1,TaskSem,0.58,0.12,<.001,***
TP1,Experiment 1,StimTypeSent,-1.07,0.19,<.001,***
TP1,Experiment 1,TaskSem:StimTypeSent,-0.66,0.16,0.014,*
TP4,Experiment 1,(Intercept),1.39,0.36,0.003,**
TP4,Experiment 1,TaskSem,0.48,0.23,0.059,
TP4,Experiment 1,StimTypeSent,-1.09,0.36,0.025,*
TP4,Experiment 1,TaskSem:StimTypeSent,-0.32,0.19,0.251,
TP2,Experiment 1,(Intercept),0.59,0.2,0.016,*
TP2,Experiment 1,TaskSem,0.53,0.15,0.004,**
TP2,Experiment 1,StimTypeSent,-0.45,0.19,0.058,
TP2,Experiment 1,TaskSem:StimTypeSent,-0.34,0.16,0.153,
TP3,Experiment 1,(Intercept),0.57,0.16,0.006,**
TP3,Experiment 1,TaskSem,0.45,0.12,0.003,**
TP3,Experiment 1,StimTypeSent,-0.68,0.14,0.002,**
TP3,Experiment 1,TaskSem:StimTypeSent,-0.26,0.11,0.153,
O1,Experiment 1,(Intercept),1.85,0.37,<.001,***
O1,Experiment 1,TaskSem,0.96,0.23,0.003,**
O1,Experiment 1,StimTypeSent,-0.46,0.28,0.195,
O1,Experiment 1,TaskSem:StimTypeSent,-0.44,0.2,0.153,
O2,Experiment 1,(Intercept),2.47,0.51,<.001,***
O2,Experiment 1,TaskSem,0.93,0.19,<.001,***
O2,Experiment 1,StimTypeSent,-0.73,0.4,0.145,
O2,Experiment 1,TaskSem:StimTypeSent,-0.63,0.24,0.145,
Cer1,Experiment 1,(Intercept),1.2,0.31,0.003,**
Cer1,Experiment 1,TaskSem,0.43,0.12,0.004,**
Cer1,Experiment 1,StimTypeSent,-0.64,0.19,0.019,*
Cer1,Experiment 1,TaskSem:StimTypeSent,-0.24,0.12,0.153,
Cer2,Experiment 1,(Intercept),0.19,0.16,0.302,
Cer2,Experiment 1,TaskSem,0,0.09,0.979,
Cer2,Experiment 1,StimTypeSent,-0.19,0.06,0.025,*
Cer2,Experiment 1,TaskSem:StimTypeSent,0.08,0.08,0.471,
F2,Experiment 2,(Intercept),1.64,0.22,<.001,***
F2,Experiment 2,TaskSem,1.05,0.35,0.012,*
F2,Experiment 2,StimTypeSent,-0.46,0.15,0.02,*
F2,Experiment 2,TaskSem:StimTypeSent,-0.25,0.13,0.165,
F1,Experiment 2,(Intercept),1.13,0.34,0.007,**
F1,Experiment 2,TaskSem,0.92,0.25,0.003,**
F1,Experiment 2,StimTypeSent,-0.42,0.16,0.035,*
F1,Experiment 2,TaskSem:StimTypeSent,-0.28,0.19,0.332,
F3,Experiment 2,(Intercept),-0.12,0.2,0.589,
F3,Experiment 2,TaskSem,0.65,0.25,0.026,*
F3,Experiment 2,StimTypeSent,0.03,0.08,0.713,
F3,Experiment 2,TaskSem:StimTypeSent,-0.22,0.11,0.153,
TP1,Experiment 2,(Intercept),2.43,0.32,<.001,***
TP1,Experiment 2,TaskSem,0.66,0.14,<.001,***
TP1,Experiment 2,StimTypeSent,-1.37,0.24,<.001,***
TP1,Experiment 2,TaskSem:StimTypeSent,-0.48,0.17,0.11,
TP4,Experiment 2,(Intercept),1.77,0.37,<.001,***
TP4,Experiment 2,TaskSem,0.84,0.24,0.004,**
TP4,Experiment 2,StimTypeSent,-1.02,0.3,0.011,*
TP4,Experiment 2,TaskSem:StimTypeSent,-0.82,0.31,0.145,
TP2,Experiment 2,(Intercept),0.79,0.19,0.002,**
TP2,Experiment 2,TaskSem,0.63,0.17,0.004,**
TP2,Experiment 2,StimTypeSent,-0.45,0.12,0.005,**
TP2,Experiment 2,TaskSem:StimTypeSent,-0.28,0.13,0.153,
TP3,Experiment 2,(Intercept),0.36,0.23,0.155,
TP3,Experiment 2,TaskSem,0.65,0.18,0.004,**
TP3,Experiment 2,StimTypeSent,-0.64,0.17,0.007,**
TP3,Experiment 2,TaskSem:StimTypeSent,-0.31,0.15,0.165,
O1,Experiment 2,(Intercept),2.94,0.4,<.001,***
O1,Experiment 2,TaskSem,1.03,0.26,0.003,**
O1,Experiment 2,StimTypeSent,-0.31,0.21,0.237,
O1,Experiment 2,TaskSem:StimTypeSent,0.05,0.18,0.864,
O2,Experiment 2,(Intercept),3.1,0.51,<.001,***
O2,Experiment 2,TaskSem,0.99,0.36,0.019,*
O2,Experiment 2,StimTypeSent,-0.11,0.29,0.713,
O2,Experiment 2,TaskSem:StimTypeSent,0.04,0.29,0.911,
Cer1,Experiment 2,(Intercept),1.03,0.14,<.001,***
Cer1,Experiment 2,TaskSem,0.51,0.14,0.004,**
Cer1,Experiment 2,StimTypeSent,-0.43,0.14,0.02,*
Cer1,Experiment 2,TaskSem:StimTypeSent,0.01,0.14,0.964,
Cer2,Experiment 2,(Intercept),-0.14,0.12,0.302,
Cer2,Experiment 2,TaskSem,0.37,0.11,0.009,**
Cer2,Experiment 2,StimTypeSent,0.14,0.06,0.061,
Cer2,Experiment 2,TaskSem:StimTypeSent,-0.3,0.08,0.016,*
F2,Experiment 3,(Intercept),1.66,0.33,<.001,***
F2,Experiment 3,TaskSem,0.93,0.25,0.003,**
F2,Experiment 3,StimTypeSent,-0.22,0.23,0.39,
F2,Experiment 3,TaskSem:StimTypeSent,-0.34,0.28,0.443,
F1,Experiment 3,(Intercept),0.95,0.35,0.017,*
F1,Experiment 3,TaskSem,0.77,0.26,0.01,*
F1,Experiment 3,StimTypeSent,-0.19,0.26,0.507,
F1,Experiment 3,TaskSem:StimTypeSent,-0.19,0.3,0.674,
F3,Experiment 3,(Intercept),-0.04,0.24,0.883,
F3,Experiment 3,TaskSem,0.42,0.23,0.079,
F3,Experiment 3,StimTypeSent,0.31,0.22,0.245,
F3,Experiment 3,TaskSem:StimTypeSent,-0.3,0.29,0.471,
TP1,Experiment 3,(Intercept),2.09,0.39,<.001,***
TP1,Experiment 3,TaskSem,0.63,0.22,0.012,*
TP1,Experiment 3,StimTypeSent,-1.16,0.42,0.025,*
TP1,Experiment 3,TaskSem:StimTypeSent,-0.24,0.3,0.59,
TP4,Experiment 3,(Intercept),1.61,0.46,0.003,**
TP4,Experiment 3,TaskSem,0.7,0.29,0.026,*
TP4,Experiment 3,StimTypeSent,-0.43,0.34,0.28,
