ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
LInfPole,(Intercept),0.24,0.04,<.001,***
LInfPole,EffectS-N,0.14,0.06,0.021,*
LInfPole,EffectH-E,-0.16,0.07,0.021,*
LInfPole,EffectTaskSem>Perc,0.53,0.08,<.001,***
LInfPole,EffectStimTypeSent>Pic,-0.05,0.08,0.514,
LInfPole,EffectTask:StimType,-0.07,0.08,0.499,
LInfPole,EffectSent_Sem>S,0.05,0.06,0.552,
LInfPole,EffectSemTask>WMTask,0.91,0.1,<.001,***
LInfPole,ExperimentE2>E3,0.13,0.05,0.02,*
LInfPole,ExperimentE1>E3,0,0.06,0.973,
LInfPole,EffectS-N:ExperimentE2>E3,0.03,0.08,0.86,
LInfPole,EffectH-E:ExperimentE2>E3,0.01,0.07,0.838,
LInfPole,EffectTaskSem>Perc:ExperimentE2>E3,0.08,0.12,0.998,
LInfPole,EffectStimTypeSent>Pic:ExperimentE2>E3,-0.06,0.12,0.945,
LInfPole,EffectTask:StimType:ExperimentE2>E3,-0.05,0.12,0.836,
LInfPole,EffectSent_Sem>S:ExperimentE2>E3,0.06,0.08,0.678,
LInfPole,EffectSemTask>WMTask:ExperimentE2>E3,0.24,0.1,0.048,*
LInfPole,EffectS-N:ExperimentE1>E3,-0.03,0.09,0.932,
LInfPole,EffectTaskSem>Perc:ExperimentE1>E3,-0.03,0.12,0.789,
LInfPole,EffectStimTypeSent>Pic:ExperimentE1>E3,-0.12,0.12,0.487,
LInfPole,EffectTask:StimType:ExperimentE1>E3,0.05,0.12,0.973,
LInfPole,EffectSent_Sem>S:ExperimentE1>E3,0.02,0.09,0.787,
RInfPole,(Intercept),0.08,0.04,0.042,*
RInfPole,EffectS-N,0.08,0.06,0.199,
RInfPole,EffectH-E,-0.11,0.07,0.112,
RInfPole,EffectTaskSem>Perc,0.24,0.08,0.005,**
RInfPole,EffectStimTypeSent>Pic,-0.14,0.08,0.354,
RInfPole,EffectTask:StimType,-0.16,0.08,0.256,
RInfPole,EffectSent_Sem>S,-0.02,0.06,0.767,
RInfPole,EffectSemTask>WMTask,0.46,0.1,<.001,***
RInfPole,ExperimentE2>E3,0.11,0.05,0.048,*
