ROI,Experiment,Regression Term,Beta,SE,p.value.FDR,pLabel
F1,Experiment 1,(Intercept),0.73,0.42,0.218,
F1,Experiment 1,TaskSem,0.98,0.32,0.009,**
F1,Experiment 1,StimTypeSent,-0.34,0.13,0.047,*
F1,Experiment 1,TaskSem:StimTypeSent,0.54,0.16,0.045,*
F1,Experiment 2,(Intercept),0.41,0.28,0.284,
F1,Experiment 2,TaskSem,2.61,0.5,<.001,***
F1,Experiment 2,StimTypeSent,-0.21,0.13,0.171,
F1,Experiment 2,TaskSem:StimTypeSent,0.12,0.16,0.767,
F1,Experiment 3,(Intercept),0.04,0.16,0.863,
F1,Experiment 3,TaskSem,1.24,0.3,<.001,***
F1,Experiment 3,StimTypeSent,0.24,0.12,0.115,
F1,Experiment 3,TaskSem:StimTypeSent,0.01,0.16,0.972,
F2,Experiment 1,(Intercept),0.81,0.17,0.002,**
F2,Experiment 1,TaskSem,1.01,0.3,0.006,**
F2,Experiment 1,StimTypeSent,-0.18,0.1,0.135,
F2,Experiment 1,TaskSem:StimTypeSent,0.55,0.14,0.007,**
F2,Experiment 2,(Intercept),1.07,0.24,0.002,**
F2,Experiment 2,TaskSem,2.15,0.47,<.001,***
F2,Experiment 2,StimTypeSent,-0.38,0.11,0.009,**
F2,Experiment 2,TaskSem:StimTypeSent,0.36,0.14,0.092,
F2,Experiment 3,(Intercept),0.85,0.21,0.002,**
F2,Experiment 3,TaskSem,1.25,0.35,0.002,**
F2,Experiment 3,StimTypeSent,0.17,0.14,0.32,
F2,Experiment 3,TaskSem:StimTypeSent,0.05,0.19,0.917,
F3,Experiment 1,(Intercept),-0.07,0.36,0.89,
F3,Experiment 1,TaskSem,0.77,0.37,0.053,
F3,Experiment 1,StimTypeSent,-0.34,0.18,0.133,
F3,Experiment 1,TaskSem:StimTypeSent,0.03,0.24,0.972,
F3,Experiment 2,(Intercept),-0.65,0.26,0.081,
F3,Experiment 2,TaskSem,2.5,0.79,0.007,**
F3,Experiment 2,StimTypeSent,-0.35,0.21,0.171,
F3,Experiment 2,TaskSem:StimTypeSent,0.27,0.27,0.63,
F3,Experiment 3,(Intercept),-0.23,0.35,0.745,
F3,Experiment 3,TaskSem,1.06,0.29,0.002,**
F3,Experiment 3,StimTypeSent,0.51,0.18,0.03,*
F3,Experiment 3,TaskSem:StimTypeSent,-0.39,0.26,0.361,
TP1,Experiment 1,(Intercept),1.12,0.15,<.001,***
TP1,Experiment 1,TaskSem,0.65,0.16,0.003,**
TP1,Experiment 1,StimTypeSent,-0.37,0.08,0.003,**
TP1,Experiment 1,TaskSem:StimTypeSent,0.02,0.06,0.917,
TP1,Experiment 2,(Intercept),1.38,0.18,<.001,***
TP1,Experiment 2,TaskSem,1.35,0.24,<.001,***
TP1,Experiment 2,StimTypeSent,-0.4,0.1,0.006,**
TP1,Experiment 2,TaskSem:StimTypeSent,-0.2,0.08,0.122,
TP1,Experiment 3,(Intercept),1.25,0.21,<.001,***
TP1,Experiment 3,TaskSem,0.75,0.18,<.001,***
TP1,Experiment 3,StimTypeSent,-0.18,0.17,0.368,
TP1,Experiment 3,TaskSem:StimTypeSent,-0.35,0.16,0.122,
TP2,Experiment 1,(Intercept),0.19,0.18,0.518,
TP2,Experiment 1,TaskSem,0.53,0.19,0.017,*
TP2,Experiment 1,StimTypeSent,-0.02,0.13,0.904,
TP2,Experiment 1,TaskSem:StimTypeSent,0.42,0.1,0.006,**
TP2,Experiment 2,(Intercept),0.26,0.27,0.537,
TP2,Experiment 2,TaskSem,1.63,0.33,<.001,***
TP2,Experiment 2,StimTypeSent,-0.07,0.15,0.701,
TP2,Experiment 2,TaskSem:StimTypeSent,0.36,0.13,0.088,
TP2,Experiment 3,(Intercept),0.05,0.12,0.755,
TP2,Experiment 3,TaskSem,0.98,0.25,0.002,**
TP2,Experiment 3,StimTypeSent,0.49,0.15,0.009,**
TP2,Experiment 3,TaskSem:StimTypeSent,0.13,0.13,0.63,
TP3,Experiment 1,(Intercept),-0.02,0.17,0.905,
TP3,Experiment 1,TaskSem,0.61,0.16,0.003,**
TP3,Experiment 1,StimTypeSent,-0.12,0.1,0.335,
TP3,Experiment 1,TaskSem:StimTypeSent,0.11,0.12,0.66,
TP3,Experiment 2,(Intercept),-0.13,0.25,0.752,
TP3,Experiment 2,TaskSem,1.39,0.28,<.001,***
TP3,Experiment 2,StimTypeSent,-0.39,0.14,0.03,*
TP3,Experiment 2,TaskSem:StimTypeSent,0.15,0.13,0.53,
TP3,Experiment 3,(Intercept),-0.11,0.23,0.752,
TP3,Experiment 3,TaskSem,1.54,0.35,<.001,***
TP3,Experiment 3,StimTypeSent,0.14,0.15,0.424,
TP3,Experiment 3,TaskSem:StimTypeSent,-0.3,0.21,0.361,
TP4,Experiment 1,(Intercept),0.35,0.19,0.213,
TP4,Experiment 1,TaskSem,1.04,0.22,<.001,***
TP4,Experiment 1,StimTypeSent,-0.44,0.11,0.006,**
TP4,Experiment 1,TaskSem:StimTypeSent,0.06,0.15,0.917,
TP4,Experiment 2,(Intercept),0.35,0.5,0.742,
TP4,Experiment 2,TaskSem,2.2,0.47,<.001,***
TP4,Experiment 2,StimTypeSent,-0.64,0.24,0.038,*
TP4,Experiment 2,TaskSem:StimTypeSent,-0.06,0.2,0.917,
TP4,Experiment 3,(Intercept),-0.14,0.24,0.752,
TP4,Experiment 3,TaskSem,1.35,0.29,<.001,***
TP4,Experiment 3,StimTypeSent,0.58,0.17,0.007,**
TP4,Experiment 3,TaskSem:StimTypeSent,-0.5,0.23,0.122,
Cer1,Experiment 1,(Intercept),0.54,0.24,0.117,
Cer1,Experiment 1,TaskSem,0.47,0.14,0.004,**
Cer1,Experiment 1,StimTypeSent,-0.22,0.19,0.365,
Cer1,Experiment 1,TaskSem:StimTypeSent,0.02,0.1,0.955,
Cer1,Experiment 2,(Intercept),0.43,0.15,0.05,
Cer1,Experiment 2,TaskSem,0.96,0.19,<.001,***
Cer1,Experiment 2,StimTypeSent,-0.17,0.09,0.133,
Cer1,Experiment 2,TaskSem:StimTypeSent,0.15,0.1,0.361,
Cer1,Experiment 3,(Intercept),0.28,0.16,0.216,
Cer1,Experiment 3,TaskSem,0.62,0.17,0.002,**
Cer1,Experiment 3,StimTypeSent,0.17,0.09,0.133,
Cer1,Experiment 3,TaskSem:StimTypeSent,0,0.13,0.972,
Cer2,Experiment 1,(Intercept),-0.05,0.09,0.752,
Cer2,Experiment 1,TaskSem,0.32,0.13,0.025,*
Cer2,Experiment 1,StimTypeSent,-0.04,0.05,0.444,
Cer2,Experiment 1,TaskSem:StimTypeSent,0.02,0.06,0.917,
Cer2,Experiment 2,(Intercept),-0.17,0.1,0.216,
Cer2,Experiment 2,TaskSem,0.97,0.18,<.001,***
Cer2,Experiment 2,StimTypeSent,0.01,0.08,0.904,
