ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
F2,Intercept,2.51,0.14,<.001,***
F2,S-N,0.2,0.2,0.484,
F2,H-E,0.48,0.23,0.226,
F2,Task Sem>Perc,3.26,0.29,<.001,***
F2,StimType Sent>Pic,0.06,0.29,0.971,
F2,Task:StimType,0.32,0.29,0.951,
F2,Sent_Sem>S,1.51,0.2,<.001,***
F2,SemTask>WMTask,3.23,0.33,<.001,***
F2,E2>E3,0.82,0.17,<.001,***
F2,E1>E3,-0.49,0.21,0.04,*
F2,S>N:E2>E3,-0.06,0.29,0.946,
F2,H-E:E2>E3,0.04,0.23,0.994,
F2,Sem>Perc:E2>E3,1.39,0.41,0.001,**
F2,Sent>Pic:E2>E3,-0.46,0.41,0.616,
F2,Task:StimType:E2>E3,0.04,0.41,0.992,
F2,Sent_Sem>S:E2>E3,0.81,0.29,0.009,**
F2,SemTask>WMTask:E2>E3,0.99,0.33,0.004,**
F2,S-N:E1>E3,-0.21,0.31,0.843,
F2,Sem>Perc:E1>E3,-0.69,0.43,0.178,
F2,Sent>Pic:E1>E3,0.13,0.43,0.802,
F2,Task:StimType:E1>E3,0.23,0.43,0.915,
F2,Sent_Sem>S:E1>E3,-0.35,0.31,0.349,
F1,Intercept,2.09,0.16,<.001,***
F1,S-N,0.18,0.2,0.484,
F1,H-E,0.16,0.23,0.609,
F1,Task Sem>Perc,3.44,0.28,<.001,***
F1,StimType Sent>Pic,0.02,0.28,0.971,
F1,Task:StimType,0.22,0.28,0.951,
F1,Sent_Sem>S,1.39,0.2,<.001,***
F1,SemTask>WMTask,4.04,0.32,<.001,***
F1,E2>E3,0.94,0.18,<.001,***
F1,E1>E3,-0.28,0.24,0.245,
F1,S>N:E2>E3,-0.31,0.28,0.946,
F1,H-E:E2>E3,0.08,0.23,0.994,
F1,Sem>Perc:E2>E3,1.9,0.4,<.001,***
F1,Sent>Pic:E2>E3,-0.32,0.4,0.616,
F1,Task:StimType:E2>E3,-0.11,0.4,0.992,
F1,Sent_Sem>S:E2>E3,1.17,0.28,<.001,***
F1,SemTask>WMTask:E2>E3,1.19,0.32,<.001,***
