ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,37,334,0,0
1,2,37,73,0,0
1,3,37,66,0,0
1,4,37,17,0,0
1,5,37,31,0,0
1,6,37,26,0,0
1,7,37,334,0,0
1,8,37,73,0,0
1,9,37,66,0,0
1,10,37,17,0,0
1,11,37,31,0,0
1,12,37,26,0,0
2,1,74,334,0,0
2,2,74,73,0,0
2,3,74,66,0,0
2,4,74,17,0,0
2,5,74,31,0,0
2,6,74,26,0,0
2,7,74,334,0,0
2,8,74,73,0,0
2,9,74,66,0,0
2,10,74,17,0,0
2,11,74,31,0,0
2,12,74,26,0,0
3,1,46,334,0,0
3,2,46,73,0,0
3,3,46,66,0,0
3,4,46,17,0,0
3,5,46,31,0,0
3,6,46,26,0,0
3,7,46,334,0,0
3,8,46,73,0,0
3,9,46,66,0,0
3,10,46,17,0,0
3,11,46,31,0,0
3,12,46,26,0,0
4,1,162,334,0,0
4,2,162,73,0,0
4,3,162,66,0,0
4,4,162,17,0,0
4,5,162,31,0,0
4,6,162,26,0,0
4,7,162,334,0,0
4,8,162,73,0,0
4,9,162,66,0,0
4,10,162,17,0,0
4,11,162,31,0,0
4,12,162,26,0,0
5,1,294,334,0,0
5,2,294,73,0,0
5,3,294,66,0,0
5,4,294,17,0,0
5,5,294,31,0,0
5,6,294,26,0,0
5,7,294,334,0,0
5,8,294,73,0,0
5,9,294,66,0,0
5,10,294,17,0,0
5,11,294,31,0,0
5,12,294,26,0,0
6,1,64,334,0,0
6,2,64,73,0,0
6,3,64,66,4,0.0625
6,4,64,17,0,0
6,5,64,31,0,0
6,6,64,26,0,0
6,7,64,334,0,0
6,8,64,73,0,0
6,9,64,66,0,0
6,10,64,17,0,0
6,11,64,31,0,0
6,12,64,26,0,0
7,1,37,334,0,0
7,2,37,73,0,0
7,3,37,66,0,0
7,4,37,17,0,0
7,5,37,31,0,0
7,6,37,26,0,0
7,7,37,334,0,0
7,8,37,73,0,0
7,9,37,66,0,0
7,10,37,17,0,0
7,11,37,31,0,0
7,12,37,26,0,0
8,1,74,334,0,0
8,2,74,73,0,0
8,3,74,66,0,0
8,4,74,17,0,0
8,5,74,31,0,0
8,6,74,26,0,0
8,7,74,334,0,0
8,8,74,73,0,0
8,9,74,66,0,0
8,10,74,17,0,0
8,11,74,31,0,0
8,12,74,26,0,0
9,1,46,334,0,0
9,2,46,73,0,0
9,3,46,66,0,0
9,4,46,17,0,0
9,5,46,31,0,0
9,6,46,26,0,0
9,7,46,334,0,0
9,8,46,73,0,0
9,9,46,66,0,0
9,10,46,17,0,0
9,11,46,31,0,0
9,12,46,26,0,0
10,1,162,334,0,0
10,2,162,73,0,0
10,3,162,66,0,0
10,4,162,17,0,0
10,5,162,31,0,0
10,6,162,26,0,0
10,7,162,334,0,0
10,8,162,73,0,0
10,9,162,66,0,0
10,10,162,17,0,0
10,11,162,31,0,0
10,12,162,26,0,0
11,1,294,334,0,0
11,2,294,73,0,0
11,3,294,66,0,0
11,4,294,17,0,0
11,5,294,31,0,0
11,6,294,26,0,0
11,7,294,334,0,0
11,8,294,73,0,0
11,9,294,66,0,0
11,10,294,17,0,0
11,11,294,31,0,0
11,12,294,26,0,0
12,1,64,334,0,0
12,2,64,73,0,0
12,3,64,66,0,0
12,4,64,17,0,0
12,5,64,31,0,0
12,6,64,26,0,0
12,7,64,334,0,0
12,8,64,73,0,0
12,9,64,66,1,0.015625
12,10,64,17,0,0
12,11,64,31,0,0
12,12,64,26,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
