ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,178,178,110,0.617977528089888
1,2,178,116,0,0
1,3,178,181,0,0
1,4,178,125,0,0
1,5,178,118,0,0
1,6,178,98,0,0
1,7,178,46,0,0
1,8,178,107,0,0
1,9,178,65,0,0
1,10,178,58,0,0
1,11,178,55,0,0
2,1,116,178,0,0
2,2,116,116,51,0.439655172413793
2,3,116,181,0,0
2,4,116,125,0,0
2,5,116,118,0,0
2,6,116,98,0,0
2,7,116,46,0,0
2,8,116,107,0,0
2,9,116,65,0,0
2,10,116,58,0,0
2,11,116,55,0,0
3,1,181,178,0,0
3,2,181,116,0,0
3,3,181,181,123,0.679558011049724
3,4,181,125,0,0
3,5,181,118,0,0
3,6,181,98,0,0
3,7,181,46,0,0
3,8,181,107,0,0
3,9,181,65,0,0
3,10,181,58,0,0
3,11,181,55,0,0
4,1,125,178,0,0
4,2,125,116,0,0
4,3,125,181,0,0
4,4,125,125,85,0.68
4,5,125,118,0,0
4,6,125,98,0,0
4,7,125,46,0,0
4,8,125,107,0,0
4,9,125,65,0,0
4,10,125,58,0,0
4,11,125,55,0,0
5,1,118,178,0,0
5,2,118,116,0,0
5,3,118,181,0,0
5,4,118,125,0,0
5,5,118,118,21,0.177966101694915
5,6,118,98,0,0
5,7,118,46,0,0
5,8,118,107,0,0
5,9,118,65,0,0
5,10,118,58,0,0
5,11,118,55,0,0
6,1,98,178,0,0
6,2,98,116,0,0
6,3,98,181,0,0
6,4,98,125,0,0
6,5,98,118,0,0
6,6,98,98,48,0.489795918367347
6,7,98,46,0,0
6,8,98,107,0,0
6,9,98,65,0,0
6,10,98,58,0,0
6,11,98,55,0,0
7,1,46,178,0,0
7,2,46,116,0,0
7,3,46,181,0,0
7,4,46,125,0,0
7,5,46,118,0,0
7,6,46,98,0,0
7,7,46,46,25,0.543478260869565
7,8,46,107,0,0
7,9,46,65,0,0
7,10,46,58,0,0
7,11,46,55,0,0
8,1,107,178,0,0
8,2,107,116,0,0
8,3,107,181,0,0
8,4,107,125,0,0
8,5,107,118,0,0
8,6,107,98,0,0
8,7,107,46,0,0
8,8,107,107,13,0.121495327102804
8,9,107,65,0,0
8,10,107,58,0,0
8,11,107,55,0,0
9,1,65,178,0,0
9,2,65,116,0,0
9,3,65,181,0,0
9,4,65,125,0,0
9,5,65,118,0,0
9,6,65,98,0,0
9,7,65,46,0,0
9,8,65,107,0,0
9,9,65,65,24,0.369230769230769
9,10,65,58,0,0
9,11,65,55,0,0
10,1,58,178,0,0
10,2,58,116,0,0
10,3,58,181,0,0
10,4,58,125,0,0
10,5,58,118,0,0
10,6,58,98,0,0
10,7,58,46,0,0
10,8,58,107,0,0
10,9,58,65,0,0
10,10,58,58,10,0.172413793103448
10,11,58,55,0,0
11,1,55,178,0,0
11,2,55,116,0,0
11,3,55,181,0,0
11,4,55,125,0,0
11,5,55,118,0,0
11,6,55,98,0,0
11,7,55,46,0,0
11,8,55,107,0,0
11,9,55,65,0,0
11,10,55,58,0,0
11,11,55,55,29,0.527272727272727
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
