ROI,Subject,Effect, LocalizerSize,EffectSize
1,408_FED_20160711a2_3T1_PL2017,SEM, 334,-0.661429
1,408_FED_20160711a2_3T1_PL2017,PERC, 334,-0.545352
1,409_FED_20160622a_3T1_PL2017,SEM, 334,-0.458138
1,409_FED_20160622a_3T1_PL2017,PERC, 334,-1.453832
1,410_FED_20160623b_3T2_PL2017,SEM, 334,-0.318222
1,410_FED_20160623b_3T2_PL2017,PERC, 334,-0.153217
1,249_FED_20160519a_3T1_PL2017,SEM, 334,-0.754004
1,249_FED_20160519a_3T1_PL2017,PERC, 334,-0.942420
1,252_FED_20160907b_3T2_PL2017,SEM, 334,0.540102
1,252_FED_20160907b_3T2_PL2017,PERC, 334,0.889160
1,376_FED_20160519b_3T1_PL2017,SEM, 334,0.008183
1,376_FED_20160519b_3T1_PL2017,PERC, 334,-0.454892
1,399_FED_20160519d_3T1_PL2017,SEM, 334,-0.950429
1,399_FED_20160519d_3T1_PL2017,PERC, 334,-0.084840
1,400_FED_20160520a_3T1_PL2017,SEM, 334,-1.029220
1,400_FED_20160520a_3T1_PL2017,PERC, 334,-1.821398
1,401_FED_20160520d_3T1_PL2017,SEM, 334,-1.000993
1,401_FED_20160520d_3T1_PL2017,PERC, 334,-0.137507
2,408_FED_20160711a2_3T1_PL2017,SEM, 73,0.163236
2,408_FED_20160711a2_3T1_PL2017,PERC, 73,-0.103616
2,409_FED_20160622a_3T1_PL2017,SEM, 73,-1.167964
2,409_FED_20160622a_3T1_PL2017,PERC, 73,-1.791285
2,410_FED_20160623b_3T2_PL2017,SEM, 73,0.245372
2,410_FED_20160623b_3T2_PL2017,PERC, 73,0.153202
2,249_FED_20160519a_3T1_PL2017,SEM, 73,-1.211484
2,249_FED_20160519a_3T1_PL2017,PERC, 73,-1.292507
2,252_FED_20160907b_3T2_PL2017,SEM, 73,0.158089
2,252_FED_20160907b_3T2_PL2017,PERC, 73,0.100411
2,376_FED_20160519b_3T1_PL2017,SEM, 73,-1.131059
2,376_FED_20160519b_3T1_PL2017,PERC, 73,-1.518209
2,399_FED_20160519d_3T1_PL2017,SEM, 73,-0.896970
2,399_FED_20160519d_3T1_PL2017,PERC, 73,-0.638805
2,400_FED_20160520a_3T1_PL2017,SEM, 73,-0.468096
2,400_FED_20160520a_3T1_PL2017,PERC, 73,-0.741111
2,401_FED_20160520d_3T1_PL2017,SEM, 73,-0.786844
