ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 334,-1.187089
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 334,-1.442148
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 334,-1.105898
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 334,-0.872332
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 334,-0.161702
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 334,0.399542
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 334,0.924111
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 334,-0.544594
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 334,0.018588
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 334,2.737517
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 334,2.196755
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 334,0.980099
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 334,-5.106449
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 334,-6.680563
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 334,-5.104314
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 334,-5.991219
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 334,0.508388
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 334,-0.434867
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 334,0.657301
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 334,-0.764476
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 334,-0.866909
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 334,1.381770
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 334,-0.513983
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 334,0.320967
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 334,0.642892
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 334,1.085011
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 334,1.322077
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 334,2.846161
