ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,199_KAN_parametric_20_PL2017,S, 395,0.861745
LH_postParietal,199_KAN_parametric_20_PL2017,N, 395,0.807397
LH_postParietal,261_FED_20160523c_3T2_PL2017,S, 395,-0.009845
LH_postParietal,261_FED_20160523c_3T2_PL2017,N, 395,0.393789
LH_postParietal,407_FED_20160804a_3T1_PL2017,S, 395,-0.168626
LH_postParietal,407_FED_20160804a_3T1_PL2017,N, 395,0.075317
LH_postParietal,408_FED_20160711a2_3T1_PL2017,S, 395,-0.247912
LH_postParietal,408_FED_20160711a2_3T1_PL2017,N, 395,-0.340629
LH_postParietal,409_FED_20160622a_3T1_PL2017,S, 395,0.052624
LH_postParietal,409_FED_20160622a_3T1_PL2017,N, 395,1.264072
LH_postParietal,410_FED_20160623b_3T2_PL2017,S, 395,0.058840
LH_postParietal,410_FED_20160623b_3T2_PL2017,N, 395,0.024409
LH_postParietal,730_FED_20190306a_3T2_PL2017,S, 395,-0.115653
LH_postParietal,730_FED_20190306a_3T2_PL2017,N, 395,0.979214
LH_postParietal,776_FED_20190611b_3T2_PL2017,S, 395,-0.923264
LH_postParietal,776_FED_20190611b_3T2_PL2017,N, 395,-0.373124
LH_postParietal,249_FED_20160519a_3T1_PL2017,S, 395,1.478073
LH_postParietal,249_FED_20160519a_3T1_PL2017,N, 395,0.589607
LH_postParietal,252_FED_20160907b_3T2_PL2017,S, 395,1.242406
LH_postParietal,252_FED_20160907b_3T2_PL2017,N, 395,1.483279
LH_postParietal,291_FED_20160803c_3T1_PL2017,S, 395,-0.081757
LH_postParietal,291_FED_20160803c_3T1_PL2017,N, 395,0.045608
LH_postParietal,301_FED_20160908b_3T1_PL2017,S, 395,-0.507832
LH_postParietal,301_FED_20160908b_3T1_PL2017,N, 395,-0.147496
LH_postParietal,376_FED_20160519b_3T1_PL2017,S, 395,-0.048025
LH_postParietal,376_FED_20160519b_3T1_PL2017,N, 395,0.098557
LH_postParietal,399_FED_20160519d_3T1_PL2017,S, 395,0.096602
LH_postParietal,399_FED_20160519d_3T1_PL2017,N, 395,-0.107464
LH_postParietal,400_FED_20160520a_3T1_PL2017,S, 395,-1.533590
LH_postParietal,400_FED_20160520a_3T1_PL2017,N, 395,-0.820564
LH_postParietal,401_FED_20160520d_3T1_PL2017,S, 395,0.062341
LH_postParietal,401_FED_20160520d_3T1_PL2017,N, 395,0.329528
LH_postParietal,419_FED_20160805a_3T1_PL2017,S, 395,-0.325849
LH_postParietal,419_FED_20160805a_3T1_PL2017,N, 395,-0.307256
LH_postParietal,420_FED_20160805b_3T1_PL2017,S, 395,-0.463767
LH_postParietal,420_FED_20160805b_3T1_PL2017,N, 395,-0.215944
LH_postParietal,426_FED_20160908d_3T1_PL2017,S, 395,0.538785
LH_postParietal,426_FED_20160908d_3T1_PL2017,N, 395,1.024813
LH_postParietal,682_FED_20190426a_3T2_PL2017,S, 395,1.908952
LH_postParietal,682_FED_20190426a_3T2_PL2017,N, 395,1.635505
LH_postParietal,767_FED_20190418b_3T2_PL2017,S, 395,0.752906
LH_postParietal,767_FED_20190418b_3T2_PL2017,N, 395,1.227797
LH_postParietal,769_FED_20190522a_3T2_PL2017,S, 395,-0.216794
LH_postParietal,769_FED_20190522a_3T2_PL2017,N, 395,0.088447
LH_postParietal,770_FED_20190523b_3T2_PL2017,S, 395,-0.284782
LH_postParietal,770_FED_20190523b_3T2_PL2017,N, 395,-0.086507
LH_postParietal,773_FED_20190605c_3T2_PL2017,S, 395,0.712758
LH_postParietal,773_FED_20190605c_3T2_PL2017,N, 395,2.162961
LH_postParietal,774_FED_20190605b_3T2_PL2017,S, 395,-0.172228
LH_postParietal,774_FED_20190605b_3T2_PL2017,N, 395,0.304595
LH_postParietal,775_FED_20190611a_3T2_PL2017,S, 395,-0.340145
LH_postParietal,775_FED_20190611a_3T2_PL2017,N, 395,-0.697219
LH_postParietal,778_FED_20190614b_3T2_PL2017,S, 395,0.808742
LH_postParietal,778_FED_20190614b_3T2_PL2017,N, 395,1.617121
LH_postParietal,863_FED_20211124a_3T1_PL2017,S, 395,1.090702
LH_postParietal,863_FED_20211124a_3T1_PL2017,N, 395,1.519811
LH_midParietal,199_KAN_parametric_20_PL2017,S, 86,0.165071
LH_midParietal,199_KAN_parametric_20_PL2017,N, 86,0.774529
LH_midParietal,261_FED_20160523c_3T2_PL2017,S, 86,0.566312
LH_midParietal,261_FED_20160523c_3T2_PL2017,N, 86,0.934981
LH_midParietal,407_FED_20160804a_3T1_PL2017,S, 86,0.772746
LH_midParietal,407_FED_20160804a_3T1_PL2017,N, 86,1.448706
LH_midParietal,408_FED_20160711a2_3T1_PL2017,S, 86,-0.206270
LH_midParietal,408_FED_20160711a2_3T1_PL2017,N, 86,0.783606
LH_midParietal,409_FED_20160622a_3T1_PL2017,S, 86,-1.133660
LH_midParietal,409_FED_20160622a_3T1_PL2017,N, 86,-0.620260
LH_midParietal,410_FED_20160623b_3T2_PL2017,S, 86,-0.019476
LH_midParietal,410_FED_20160623b_3T2_PL2017,N, 86,0.074690
