ROI,Subject,Effect, LocalizerSize,EffectSize
1,400_FED_20160520a_3T1_PL2017,LD, 178,4.671805
1,400_FED_20160520a_3T1_PL2017,HD, 178,4.388980
2,400_FED_20160520a_3T1_PL2017,LD, 116,3.494737
2,400_FED_20160520a_3T1_PL2017,HD, 116,2.599750
3,400_FED_20160520a_3T1_PL2017,LD, 181,0.273622
3,400_FED_20160520a_3T1_PL2017,HD, 181,0.184052
4,400_FED_20160520a_3T1_PL2017,LD, 125,0.340561
4,400_FED_20160520a_3T1_PL2017,HD, 125,0.220126
5,400_FED_20160520a_3T1_PL2017,LD, 118,1.089802
5,400_FED_20160520a_3T1_PL2017,HD, 118,1.064064
6,400_FED_20160520a_3T1_PL2017,LD, 98,1.375202
6,400_FED_20160520a_3T1_PL2017,HD, 98,1.217856
7,400_FED_20160520a_3T1_PL2017,LD, 46,0.404223
7,400_FED_20160520a_3T1_PL2017,HD, 46,1.065123
8,400_FED_20160520a_3T1_PL2017,LD, 107,2.067755
8,400_FED_20160520a_3T1_PL2017,HD, 107,1.822066
9,400_FED_20160520a_3T1_PL2017,LD, 65,2.177479
9,400_FED_20160520a_3T1_PL2017,HD, 65,2.012562
10,400_FED_20160520a_3T1_PL2017,LD, 58,0.341798
10,400_FED_20160520a_3T1_PL2017,HD, 58,0.339466
11,400_FED_20160520a_3T1_PL2017,LD, 55,1.702196
11,400_FED_20160520a_3T1_PL2017,HD, 55,1.619138
