ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 0,NaN
1,040_KAN_langevents_01_PL2017,W, 0,NaN
1,040_KAN_langevents_01_PL2017,N, 0,NaN
1,057_KAN_langevents_02_PL2017,S, 0,NaN
1,057_KAN_langevents_02_PL2017,W, 0,NaN
1,057_KAN_langevents_02_PL2017,N, 0,NaN
1,059_KAN_langevents_04_PL2017,S, 0,NaN
1,059_KAN_langevents_04_PL2017,W, 0,NaN
1,059_KAN_langevents_04_PL2017,N, 0,NaN
1,056_KAN_langevents_05_PL2017,S, 0,NaN
1,056_KAN_langevents_05_PL2017,W, 0,NaN
1,056_KAN_langevents_05_PL2017,N, 0,NaN
1,067_KAN_langevents_06_PL2017,S, 0,NaN
1,067_KAN_langevents_06_PL2017,W, 0,NaN
1,067_KAN_langevents_06_PL2017,N, 0,NaN
1,068_KAN_langevents_07_PL2017,S, 0,NaN
1,068_KAN_langevents_07_PL2017,W, 0,NaN
1,068_KAN_langevents_07_PL2017,N, 0,NaN
1,019_KAN_langevents_08_PL2017,S, 0,NaN
1,019_KAN_langevents_08_PL2017,W, 0,NaN
1,019_KAN_langevents_08_PL2017,N, 0,NaN
1,070_KAN_langevents_11_PL2017,S, 0,NaN
1,070_KAN_langevents_11_PL2017,W, 0,NaN
1,070_KAN_langevents_11_PL2017,N, 0,NaN
1,087_KAN_langevents_12_PL2017,S, 0,NaN
1,087_KAN_langevents_12_PL2017,W, 0,NaN
1,087_KAN_langevents_12_PL2017,N, 0,NaN
1,078_KAN_langevents_13_PL2017,S, 0,NaN
1,078_KAN_langevents_13_PL2017,W, 0,NaN
1,078_KAN_langevents_13_PL2017,N, 0,NaN
1,089_KAN_langevents_15_PL2017,S, 0,NaN
1,089_KAN_langevents_15_PL2017,W, 0,NaN
1,089_KAN_langevents_15_PL2017,N, 0,NaN
1,076_KAN_langevents_16_PL2017,S, 0,NaN
1,076_KAN_langevents_16_PL2017,W, 0,NaN
1,076_KAN_langevents_16_PL2017,N, 0,NaN
2,040_KAN_langevents_01_PL2017,S, 178,1.782219
2,040_KAN_langevents_01_PL2017,W, 178,1.943961
2,040_KAN_langevents_01_PL2017,N, 178,2.390461
2,057_KAN_langevents_02_PL2017,S, 178,2.557183
2,057_KAN_langevents_02_PL2017,W, 178,4.807716
2,057_KAN_langevents_02_PL2017,N, 178,2.613335
2,059_KAN_langevents_04_PL2017,S, 178,1.355160
2,059_KAN_langevents_04_PL2017,W, 178,1.293370
2,059_KAN_langevents_04_PL2017,N, 178,1.140449
2,056_KAN_langevents_05_PL2017,S, 178,0.104791
2,056_KAN_langevents_05_PL2017,W, 178,0.347299
2,056_KAN_langevents_05_PL2017,N, 178,0.327197
2,067_KAN_langevents_06_PL2017,S, 178,0.289136
2,067_KAN_langevents_06_PL2017,W, 178,-0.864304
2,067_KAN_langevents_06_PL2017,N, 178,-0.056077
2,068_KAN_langevents_07_PL2017,S, 178,0.440380
2,068_KAN_langevents_07_PL2017,W, 178,0.777146
2,068_KAN_langevents_07_PL2017,N, 178,1.039013
2,019_KAN_langevents_08_PL2017,S, 178,0.172995
2,019_KAN_langevents_08_PL2017,W, 178,0.309795
2,019_KAN_langevents_08_PL2017,N, 178,1.117212
2,070_KAN_langevents_11_PL2017,S, 178,1.241273
2,070_KAN_langevents_11_PL2017,W, 178,1.251659
2,070_KAN_langevents_11_PL2017,N, 178,1.465562
2,087_KAN_langevents_12_PL2017,S, 178,0.129388
2,087_KAN_langevents_12_PL2017,W, 178,0.024315
2,087_KAN_langevents_12_PL2017,N, 178,0.262997
2,078_KAN_langevents_13_PL2017,S, 178,0.076423
2,078_KAN_langevents_13_PL2017,W, 178,0.187295
2,078_KAN_langevents_13_PL2017,N, 178,0.065361
2,089_KAN_langevents_15_PL2017,S, 178,-0.115766
2,089_KAN_langevents_15_PL2017,W, 178,-0.118122
2,089_KAN_langevents_15_PL2017,N, 178,-0.055808
2,076_KAN_langevents_16_PL2017,S, 178,1.524514
2,076_KAN_langevents_16_PL2017,W, 178,1.650019
2,076_KAN_langevents_16_PL2017,N, 178,2.349061
3,040_KAN_langevents_01_PL2017,S, 0,NaN
3,040_KAN_langevents_01_PL2017,W, 0,NaN
3,040_KAN_langevents_01_PL2017,N, 0,NaN
3,057_KAN_langevents_02_PL2017,S, 0,NaN
3,057_KAN_langevents_02_PL2017,W, 0,NaN
3,057_KAN_langevents_02_PL2017,N, 0,NaN
3,059_KAN_langevents_04_PL2017,S, 0,NaN
3,059_KAN_langevents_04_PL2017,W, 0,NaN
3,059_KAN_langevents_04_PL2017,N, 0,NaN
3,056_KAN_langevents_05_PL2017,S, 0,NaN
3,056_KAN_langevents_05_PL2017,W, 0,NaN
3,056_KAN_langevents_05_PL2017,N, 0,NaN
3,067_KAN_langevents_06_PL2017,S, 0,NaN
3,067_KAN_langevents_06_PL2017,W, 0,NaN
3,067_KAN_langevents_06_PL2017,N, 0,NaN
3,068_KAN_langevents_07_PL2017,S, 0,NaN
3,068_KAN_langevents_07_PL2017,W, 0,NaN
3,068_KAN_langevents_07_PL2017,N, 0,NaN
3,019_KAN_langevents_08_PL2017,S, 0,NaN
3,019_KAN_langevents_08_PL2017,W, 0,NaN
3,019_KAN_langevents_08_PL2017,N, 0,NaN
3,070_KAN_langevents_11_PL2017,S, 0,NaN
3,070_KAN_langevents_11_PL2017,W, 0,NaN
3,070_KAN_langevents_11_PL2017,N, 0,NaN
3,087_KAN_langevents_12_PL2017,S, 0,NaN
3,087_KAN_langevents_12_PL2017,W, 0,NaN
3,087_KAN_langevents_12_PL2017,N, 0,NaN
3,078_KAN_langevents_13_PL2017,S, 0,NaN
3,078_KAN_langevents_13_PL2017,W, 0,NaN
3,078_KAN_langevents_13_PL2017,N, 0,NaN
3,089_KAN_langevents_15_PL2017,S, 0,NaN
3,089_KAN_langevents_15_PL2017,W, 0,NaN
3,089_KAN_langevents_15_PL2017,N, 0,NaN
3,076_KAN_langevents_16_PL2017,S, 0,NaN
3,076_KAN_langevents_16_PL2017,W, 0,NaN
3,076_KAN_langevents_16_PL2017,N, 0,NaN
4,040_KAN_langevents_01_PL2017,S, 116,0.748271
4,040_KAN_langevents_01_PL2017,W, 116,0.875717
4,040_KAN_langevents_01_PL2017,N, 116,0.894834
4,057_KAN_langevents_02_PL2017,S, 116,2.648839
4,057_KAN_langevents_02_PL2017,W, 116,4.519156
4,057_KAN_langevents_02_PL2017,N, 116,2.046673
4,059_KAN_langevents_04_PL2017,S, 116,0.567745
4,059_KAN_langevents_04_PL2017,W, 116,0.638575
4,059_KAN_langevents_04_PL2017,N, 116,0.449376
4,056_KAN_langevents_05_PL2017,S, 116,-0.051166
4,056_KAN_langevents_05_PL2017,W, 116,-0.109227
4,056_KAN_langevents_05_PL2017,N, 116,0.299278
4,067_KAN_langevents_06_PL2017,S, 116,-0.406702
4,067_KAN_langevents_06_PL2017,W, 116,-1.043938
4,067_KAN_langevents_06_PL2017,N, 116,0.072524
4,068_KAN_langevents_07_PL2017,S, 116,0.706622
4,068_KAN_langevents_07_PL2017,W, 116,0.769494
4,068_KAN_langevents_07_PL2017,N, 116,0.437400
4,019_KAN_langevents_08_PL2017,S, 116,-0.211684
4,019_KAN_langevents_08_PL2017,W, 116,0.835056
4,019_KAN_langevents_08_PL2017,N, 116,1.334922
4,070_KAN_langevents_11_PL2017,S, 116,0.882451
4,070_KAN_langevents_11_PL2017,W, 116,0.523068
4,070_KAN_langevents_11_PL2017,N, 116,0.843448
4,087_KAN_langevents_12_PL2017,S, 116,0.107199
4,087_KAN_langevents_12_PL2017,W, 116,0.142473
4,087_KAN_langevents_12_PL2017,N, 116,0.220852
4,078_KAN_langevents_13_PL2017,S, 116,0.266449
4,078_KAN_langevents_13_PL2017,W, 116,0.529886
4,078_KAN_langevents_13_PL2017,N, 116,0.144679
4,089_KAN_langevents_15_PL2017,S, 116,0.225892
4,089_KAN_langevents_15_PL2017,W, 116,0.194625
4,089_KAN_langevents_15_PL2017,N, 116,0.375891
4,076_KAN_langevents_16_PL2017,S, 116,0.490898
4,076_KAN_langevents_16_PL2017,W, 116,0.503612
4,076_KAN_langevents_16_PL2017,N, 116,0.535991
5,040_KAN_langevents_01_PL2017,S, 0,NaN
5,040_KAN_langevents_01_PL2017,W, 0,NaN
5,040_KAN_langevents_01_PL2017,N, 0,NaN
5,057_KAN_langevents_02_PL2017,S, 0,NaN
5,057_KAN_langevents_02_PL2017,W, 0,NaN
5,057_KAN_langevents_02_PL2017,N, 0,NaN
5,059_KAN_langevents_04_PL2017,S, 0,NaN
5,059_KAN_langevents_04_PL2017,W, 0,NaN
5,059_KAN_langevents_04_PL2017,N, 0,NaN
5,056_KAN_langevents_05_PL2017,S, 0,NaN
5,056_KAN_langevents_05_PL2017,W, 0,NaN
5,056_KAN_langevents_05_PL2017,N, 0,NaN
5,067_KAN_langevents_06_PL2017,S, 0,NaN
5,067_KAN_langevents_06_PL2017,W, 0,NaN
5,067_KAN_langevents_06_PL2017,N, 0,NaN
5,068_KAN_langevents_07_PL2017,S, 0,NaN
5,068_KAN_langevents_07_PL2017,W, 0,NaN
5,068_KAN_langevents_07_PL2017,N, 0,NaN
5,019_KAN_langevents_08_PL2017,S, 0,NaN
5,019_KAN_langevents_08_PL2017,W, 0,NaN
5,019_KAN_langevents_08_PL2017,N, 0,NaN
5,070_KAN_langevents_11_PL2017,S, 0,NaN
5,070_KAN_langevents_11_PL2017,W, 0,NaN
5,070_KAN_langevents_11_PL2017,N, 0,NaN
5,087_KAN_langevents_12_PL2017,S, 0,NaN
5,087_KAN_langevents_12_PL2017,W, 0,NaN
5,087_KAN_langevents_12_PL2017,N, 0,NaN
5,078_KAN_langevents_13_PL2017,S, 0,NaN
5,078_KAN_langevents_13_PL2017,W, 0,NaN
5,078_KAN_langevents_13_PL2017,N, 0,NaN
