ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,LD, 37,-0.156089
1,249_FED_20160519a_3T1_PL2017,HD, 37,0.265795
1,376_FED_20160519b_3T1_PL2017,LD, 37,0.397316
1,376_FED_20160519b_3T1_PL2017,HD, 37,0.516798
1,399_FED_20160519d_3T1_PL2017,LD, 37,1.058954
1,399_FED_20160519d_3T1_PL2017,HD, 37,1.035165
1,400_FED_20160520a_3T1_PL2017,LD, 37,-0.215632
1,400_FED_20160520a_3T1_PL2017,HD, 37,-0.254466
1,401_FED_20160520d_3T1_PL2017,LD, 37,-0.311716
1,401_FED_20160520d_3T1_PL2017,HD, 37,-0.544056
2,249_FED_20160519a_3T1_PL2017,LD, 74,1.327075
2,249_FED_20160519a_3T1_PL2017,HD, 74,1.981914
2,376_FED_20160519b_3T1_PL2017,LD, 74,1.076234
2,376_FED_20160519b_3T1_PL2017,HD, 74,1.566730
2,399_FED_20160519d_3T1_PL2017,LD, 74,1.496918
2,399_FED_20160519d_3T1_PL2017,HD, 74,1.636785
2,400_FED_20160520a_3T1_PL2017,LD, 74,1.925508
2,400_FED_20160520a_3T1_PL2017,HD, 74,2.070685
2,401_FED_20160520d_3T1_PL2017,LD, 74,-0.343280
2,401_FED_20160520d_3T1_PL2017,HD, 74,-0.486255
3,249_FED_20160519a_3T1_PL2017,LD, 46,0.505228
3,249_FED_20160519a_3T1_PL2017,HD, 46,0.851829
3,376_FED_20160519b_3T1_PL2017,LD, 46,1.003286
3,376_FED_20160519b_3T1_PL2017,HD, 46,1.245375
3,399_FED_20160519d_3T1_PL2017,LD, 46,0.871298
3,399_FED_20160519d_3T1_PL2017,HD, 46,0.562214
3,400_FED_20160520a_3T1_PL2017,LD, 46,0.837045
3,400_FED_20160520a_3T1_PL2017,HD, 46,0.850948
3,401_FED_20160520d_3T1_PL2017,LD, 46,-0.666606
3,401_FED_20160520d_3T1_PL2017,HD, 46,-0.708085
4,249_FED_20160519a_3T1_PL2017,LD, 162,-0.366625
4,249_FED_20160519a_3T1_PL2017,HD, 162,-0.356995
4,376_FED_20160519b_3T1_PL2017,LD, 162,-0.329264
4,376_FED_20160519b_3T1_PL2017,HD, 162,-0.085653
4,399_FED_20160519d_3T1_PL2017,LD, 162,0.231211
4,399_FED_20160519d_3T1_PL2017,HD, 162,0.336410
4,400_FED_20160520a_3T1_PL2017,LD, 162,-0.399917
4,400_FED_20160520a_3T1_PL2017,HD, 162,-0.217014
4,401_FED_20160520d_3T1_PL2017,LD, 162,-0.301401
4,401_FED_20160520d_3T1_PL2017,HD, 162,-0.628644
5,249_FED_20160519a_3T1_PL2017,LD, 294,0.345167
5,249_FED_20160519a_3T1_PL2017,HD, 294,0.502557
5,376_FED_20160519b_3T1_PL2017,LD, 294,0.071636
5,376_FED_20160519b_3T1_PL2017,HD, 294,0.298041
5,399_FED_20160519d_3T1_PL2017,LD, 294,-0.162814
5,399_FED_20160519d_3T1_PL2017,HD, 294,-0.320175
5,400_FED_20160520a_3T1_PL2017,LD, 294,0.062056
5,400_FED_20160520a_3T1_PL2017,HD, 294,0.015000
5,401_FED_20160520d_3T1_PL2017,LD, 294,-0.264846
5,401_FED_20160520d_3T1_PL2017,HD, 294,-0.675025
6,249_FED_20160519a_3T1_PL2017,LD, 64,0.252794
6,249_FED_20160519a_3T1_PL2017,HD, 64,0.794547
6,376_FED_20160519b_3T1_PL2017,LD, 64,-0.800143
6,376_FED_20160519b_3T1_PL2017,HD, 64,-0.208878
6,399_FED_20160519d_3T1_PL2017,LD, 64,-0.361901
6,399_FED_20160519d_3T1_PL2017,HD, 64,-0.069326
6,400_FED_20160520a_3T1_PL2017,LD, 64,-0.638943
6,400_FED_20160520a_3T1_PL2017,HD, 64,-0.312706
6,401_FED_20160520d_3T1_PL2017,LD, 64,-0.896055
6,401_FED_20160520d_3T1_PL2017,HD, 64,-1.170166
7,249_FED_20160519a_3T1_PL2017,LD, 37,0.088056
7,249_FED_20160519a_3T1_PL2017,HD, 37,0.395389
7,376_FED_20160519b_3T1_PL2017,LD, 37,0.183885
7,376_FED_20160519b_3T1_PL2017,HD, 37,0.794033
7,399_FED_20160519d_3T1_PL2017,LD, 37,-0.276220
7,399_FED_20160519d_3T1_PL2017,HD, 37,-0.142382
7,400_FED_20160520a_3T1_PL2017,LD, 37,0.756009
7,400_FED_20160520a_3T1_PL2017,HD, 37,0.688853
7,401_FED_20160520d_3T1_PL2017,LD, 37,-0.482117
7,401_FED_20160520d_3T1_PL2017,HD, 37,-0.848429
8,249_FED_20160519a_3T1_PL2017,LD, 74,1.299869
8,249_FED_20160519a_3T1_PL2017,HD, 74,1.351599
8,376_FED_20160519b_3T1_PL2017,LD, 74,0.402649
8,376_FED_20160519b_3T1_PL2017,HD, 74,1.220655
8,399_FED_20160519d_3T1_PL2017,LD, 74,-0.376502
8,399_FED_20160519d_3T1_PL2017,HD, 74,-0.162318
8,400_FED_20160520a_3T1_PL2017,LD, 74,0.359667
8,400_FED_20160520a_3T1_PL2017,HD, 74,0.236854
8,401_FED_20160520d_3T1_PL2017,LD, 74,-0.874610
8,401_FED_20160520d_3T1_PL2017,HD, 74,-1.217669
9,249_FED_20160519a_3T1_PL2017,LD, 46,0.764415
9,249_FED_20160519a_3T1_PL2017,HD, 46,0.994118
9,376_FED_20160519b_3T1_PL2017,LD, 46,0.619232
9,376_FED_20160519b_3T1_PL2017,HD, 46,1.188162
9,399_FED_20160519d_3T1_PL2017,LD, 46,0.106968
9,399_FED_20160519d_3T1_PL2017,HD, 46,0.283547
9,400_FED_20160520a_3T1_PL2017,LD, 46,1.477362
9,400_FED_20160520a_3T1_PL2017,HD, 46,1.454070
9,401_FED_20160520d_3T1_PL2017,LD, 46,-0.421632
9,401_FED_20160520d_3T1_PL2017,HD, 46,-0.692764
10,249_FED_20160519a_3T1_PL2017,LD, 162,-0.056751
10,249_FED_20160519a_3T1_PL2017,HD, 162,-0.040953
10,376_FED_20160519b_3T1_PL2017,LD, 162,-0.438658
10,376_FED_20160519b_3T1_PL2017,HD, 162,0.065611
10,399_FED_20160519d_3T1_PL2017,LD, 162,0.284203
10,399_FED_20160519d_3T1_PL2017,HD, 162,0.376660
10,400_FED_20160520a_3T1_PL2017,LD, 162,-0.622416
10,400_FED_20160520a_3T1_PL2017,HD, 162,-0.603563
10,401_FED_20160520d_3T1_PL2017,LD, 162,-0.184815
10,401_FED_20160520d_3T1_PL2017,HD, 162,-0.624697
11,249_FED_20160519a_3T1_PL2017,LD, 294,0.337241
11,249_FED_20160519a_3T1_PL2017,HD, 294,0.528678
11,376_FED_20160519b_3T1_PL2017,LD, 294,-0.240507
11,376_FED_20160519b_3T1_PL2017,HD, 294,0.113173
11,399_FED_20160519d_3T1_PL2017,LD, 294,-0.261531
11,399_FED_20160519d_3T1_PL2017,HD, 294,-0.281057
11,400_FED_20160520a_3T1_PL2017,LD, 294,0.477268
11,400_FED_20160520a_3T1_PL2017,HD, 294,0.410564
11,401_FED_20160520d_3T1_PL2017,LD, 294,-0.204931
11,401_FED_20160520d_3T1_PL2017,HD, 294,-0.667423
12,249_FED_20160519a_3T1_PL2017,LD, 64,1.164994
12,249_FED_20160519a_3T1_PL2017,HD, 64,1.678821
12,376_FED_20160519b_3T1_PL2017,LD, 64,-1.378665
12,376_FED_20160519b_3T1_PL2017,HD, 64,-0.939456
12,399_FED_20160519d_3T1_PL2017,LD, 64,-0.508826
12,399_FED_20160519d_3T1_PL2017,HD, 64,-0.242675
12,400_FED_20160520a_3T1_PL2017,LD, 64,-1.189010
12,400_FED_20160520a_3T1_PL2017,HD, 64,-1.242746
12,401_FED_20160520d_3T1_PL2017,LD, 64,-0.772390
12,401_FED_20160520d_3T1_PL2017,HD, 64,-0.953799
