ROI,Subject,Effect, LocalizerSize,EffectSize
1,408_FED_20160711a2_3T1_PL2017,SEM, 37,0.701750
1,408_FED_20160711a2_3T1_PL2017,PERC, 37,0.659157
1,409_FED_20160622a_3T1_PL2017,SEM, 37,0.488273
1,409_FED_20160622a_3T1_PL2017,PERC, 37,0.378151
1,410_FED_20160623b_3T2_PL2017,SEM, 37,0.127449
1,410_FED_20160623b_3T2_PL2017,PERC, 37,0.048540
1,249_FED_20160519a_3T1_PL2017,SEM, 37,0.258239
1,249_FED_20160519a_3T1_PL2017,PERC, 37,-0.060210
1,252_FED_20160907b_3T2_PL2017,SEM, 37,1.988380
1,252_FED_20160907b_3T2_PL2017,PERC, 37,2.587682
1,376_FED_20160519b_3T1_PL2017,SEM, 37,0.598717
1,376_FED_20160519b_3T1_PL2017,PERC, 37,0.363408
1,399_FED_20160519d_3T1_PL2017,SEM, 37,1.010648
1,399_FED_20160519d_3T1_PL2017,PERC, 37,1.128890
1,400_FED_20160520a_3T1_PL2017,SEM, 37,-0.277858
1,400_FED_20160520a_3T1_PL2017,PERC, 37,-0.334980
1,401_FED_20160520d_3T1_PL2017,SEM, 37,-0.525259
1,401_FED_20160520d_3T1_PL2017,PERC, 37,-0.222082
2,408_FED_20160711a2_3T1_PL2017,SEM, 74,1.300500
2,408_FED_20160711a2_3T1_PL2017,PERC, 74,1.003053
2,409_FED_20160622a_3T1_PL2017,SEM, 74,-0.105577
2,409_FED_20160622a_3T1_PL2017,PERC, 74,0.095396
2,410_FED_20160623b_3T2_PL2017,SEM, 74,0.852949
2,410_FED_20160623b_3T2_PL2017,PERC, 74,0.702952
2,249_FED_20160519a_3T1_PL2017,SEM, 74,1.861365
2,249_FED_20160519a_3T1_PL2017,PERC, 74,1.445261
2,252_FED_20160907b_3T2_PL2017,SEM, 74,1.707678
2,252_FED_20160907b_3T2_PL2017,PERC, 74,2.446095
2,376_FED_20160519b_3T1_PL2017,SEM, 74,1.556957
2,376_FED_20160519b_3T1_PL2017,PERC, 74,1.007367
2,399_FED_20160519d_3T1_PL2017,SEM, 74,1.527091
2,399_FED_20160519d_3T1_PL2017,PERC, 74,1.653640
2,400_FED_20160520a_3T1_PL2017,SEM, 74,2.078974
2,400_FED_20160520a_3T1_PL2017,PERC, 74,1.604031
2,401_FED_20160520d_3T1_PL2017,SEM, 74,-0.481991
2,401_FED_20160520d_3T1_PL2017,PERC, 74,-0.332649
3,408_FED_20160711a2_3T1_PL2017,SEM, 46,0.870878
3,408_FED_20160711a2_3T1_PL2017,PERC, 46,0.649462
3,409_FED_20160622a_3T1_PL2017,SEM, 46,-1.089154
3,409_FED_20160622a_3T1_PL2017,PERC, 46,-0.374517
3,410_FED_20160623b_3T2_PL2017,SEM, 46,0.627851
3,410_FED_20160623b_3T2_PL2017,PERC, 46,0.334861
