ROI,Subject,Effect, LocalizerSize,EffectSize
1,408_FED_20160711a2_3T1_PL2017,LD, 37,0.728203
1,408_FED_20160711a2_3T1_PL2017,HD, 37,0.561822
1,409_FED_20160622a_3T1_PL2017,LD, 37,0.467791
1,409_FED_20160622a_3T1_PL2017,HD, 37,0.358915
1,410_FED_20160623b_3T2_PL2017,LD, 37,0.032315
1,410_FED_20160623b_3T2_PL2017,HD, 37,0.234879
1,252_FED_20160907b_3T2_PL2017,LD, 37,2.389292
1,252_FED_20160907b_3T2_PL2017,HD, 37,1.996491
2,408_FED_20160711a2_3T1_PL2017,LD, 74,1.122721
2,408_FED_20160711a2_3T1_PL2017,HD, 74,1.171232
2,409_FED_20160622a_3T1_PL2017,LD, 74,0.065270
2,409_FED_20160622a_3T1_PL2017,HD, 74,-0.206450
2,410_FED_20160623b_3T2_PL2017,LD, 74,0.668495
2,410_FED_20160623b_3T2_PL2017,HD, 74,0.996864
2,252_FED_20160907b_3T2_PL2017,LD, 74,2.265665
2,252_FED_20160907b_3T2_PL2017,HD, 74,1.687706
3,408_FED_20160711a2_3T1_PL2017,LD, 46,0.918094
3,408_FED_20160711a2_3T1_PL2017,HD, 46,0.654329
3,409_FED_20160622a_3T1_PL2017,LD, 46,-0.648953
3,409_FED_20160622a_3T1_PL2017,HD, 46,-1.093925
3,410_FED_20160623b_3T2_PL2017,LD, 46,0.294736
3,410_FED_20160623b_3T2_PL2017,HD, 46,0.747845
3,252_FED_20160907b_3T2_PL2017,LD, 46,1.197027
3,252_FED_20160907b_3T2_PL2017,HD, 46,1.233881
4,408_FED_20160711a2_3T1_PL2017,LD, 162,0.176558
4,408_FED_20160711a2_3T1_PL2017,HD, 162,0.383034
4,409_FED_20160622a_3T1_PL2017,LD, 162,-0.755181
4,409_FED_20160622a_3T1_PL2017,HD, 162,-0.626724
4,410_FED_20160623b_3T2_PL2017,LD, 162,-0.221902
4,410_FED_20160623b_3T2_PL2017,HD, 162,-0.215142
4,252_FED_20160907b_3T2_PL2017,LD, 162,0.766086
4,252_FED_20160907b_3T2_PL2017,HD, 162,0.600122
5,408_FED_20160711a2_3T1_PL2017,LD, 294,0.193699
5,408_FED_20160711a2_3T1_PL2017,HD, 294,0.243806
5,409_FED_20160622a_3T1_PL2017,LD, 294,-0.186183
5,409_FED_20160622a_3T1_PL2017,HD, 294,-0.290073
5,410_FED_20160623b_3T2_PL2017,LD, 294,0.171421
5,410_FED_20160623b_3T2_PL2017,HD, 294,0.246933
5,252_FED_20160907b_3T2_PL2017,LD, 294,1.508110
5,252_FED_20160907b_3T2_PL2017,HD, 294,1.186194
6,408_FED_20160711a2_3T1_PL2017,LD, 64,0.463878
6,408_FED_20160711a2_3T1_PL2017,HD, 64,0.681615
6,409_FED_20160622a_3T1_PL2017,LD, 64,-0.138917
6,409_FED_20160622a_3T1_PL2017,HD, 64,0.737327
6,410_FED_20160623b_3T2_PL2017,LD, 64,0.446154
6,410_FED_20160623b_3T2_PL2017,HD, 64,0.470317
6,252_FED_20160907b_3T2_PL2017,LD, 64,1.711978
6,252_FED_20160907b_3T2_PL2017,HD, 64,1.599395
7,408_FED_20160711a2_3T1_PL2017,LD, 37,0.429797
7,408_FED_20160711a2_3T1_PL2017,HD, 37,0.635968
7,409_FED_20160622a_3T1_PL2017,LD, 37,0.247671
7,409_FED_20160622a_3T1_PL2017,HD, 37,0.409731
7,410_FED_20160623b_3T2_PL2017,LD, 37,-0.273979
7,410_FED_20160623b_3T2_PL2017,HD, 37,-0.208150
7,252_FED_20160907b_3T2_PL2017,LD, 37,1.638511
7,252_FED_20160907b_3T2_PL2017,HD, 37,1.257976
8,408_FED_20160711a2_3T1_PL2017,LD, 74,0.383139
8,408_FED_20160711a2_3T1_PL2017,HD, 74,0.561909
8,409_FED_20160622a_3T1_PL2017,LD, 74,0.061483
8,409_FED_20160622a_3T1_PL2017,HD, 74,0.361568
8,410_FED_20160623b_3T2_PL2017,LD, 74,-0.439304
8,410_FED_20160623b_3T2_PL2017,HD, 74,-0.276258
8,252_FED_20160907b_3T2_PL2017,LD, 74,1.320631
8,252_FED_20160907b_3T2_PL2017,HD, 74,1.306575
9,408_FED_20160711a2_3T1_PL2017,LD, 46,1.276150
9,408_FED_20160711a2_3T1_PL2017,HD, 46,1.237889
9,409_FED_20160622a_3T1_PL2017,LD, 46,-1.155997
9,409_FED_20160622a_3T1_PL2017,HD, 46,-1.154833
9,410_FED_20160623b_3T2_PL2017,LD, 46,0.032559
9,410_FED_20160623b_3T2_PL2017,HD, 46,0.061182
9,252_FED_20160907b_3T2_PL2017,LD, 46,0.932131
9,252_FED_20160907b_3T2_PL2017,HD, 46,0.632501
10,408_FED_20160711a2_3T1_PL2017,LD, 162,-0.095148
10,408_FED_20160711a2_3T1_PL2017,HD, 162,0.265514
