ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 337,0.029846
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 337,0.452574
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 337,0.595810
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 337,0.165356
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 337,-0.054140
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 337,-0.139716
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 337,-0.167349
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 337,0.129107
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 337,0.351818
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 337,0.396045
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 337,-0.407281
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 337,-0.184246
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 337,-0.323263
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 337,0.236467
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 337,-0.623548
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 337,0.316459
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 337,0.059251
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 337,0.397513
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 337,0.075383
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 337,0.375031
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 337,-0.250674
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 337,-0.407456
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 337,-0.081946
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 337,-0.377908
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 337,1.188421
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 337,-0.012866
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 337,1.288338
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 337,0.660038
