ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 337,-0.051127
1,199_KAN_parametric_20_PL2017,E, 337,-0.070198
1,261_FED_20160523c_3T2_PL2017,H, 337,-0.613731
1,261_FED_20160523c_3T2_PL2017,E, 337,-0.269562
1,407_FED_20160804a_3T1_PL2017,H, 337,-0.918653
1,407_FED_20160804a_3T1_PL2017,E, 337,-0.735441
1,408_FED_20160711a2_3T1_PL2017,H, 337,-0.088093
1,408_FED_20160711a2_3T1_PL2017,E, 337,-0.120556
1,409_FED_20160622a_3T1_PL2017,H, 337,-0.365671
1,409_FED_20160622a_3T1_PL2017,E, 337,0.216603
1,410_FED_20160623b_3T2_PL2017,H, 337,0.166828
1,410_FED_20160623b_3T2_PL2017,E, 337,0.278260
1,730_FED_20190306a_3T2_PL2017,H, 337,-0.277207
1,730_FED_20190306a_3T2_PL2017,E, 337,-0.177335
1,776_FED_20190611b_3T2_PL2017,H, 337,-0.492131
1,776_FED_20190611b_3T2_PL2017,E, 337,-0.278200
1,291_FED_20160803c_3T1_PL2017,H, 337,-1.132921
1,291_FED_20160803c_3T1_PL2017,E, 337,-0.816378
1,400_FED_20160520a_3T1_PL2017,H, 337,-0.182024
1,400_FED_20160520a_3T1_PL2017,E, 337,0.056496
1,419_FED_20160805a_3T1_PL2017,H, 337,-0.034991
1,419_FED_20160805a_3T1_PL2017,E, 337,-0.017192
1,773_FED_20190605c_3T2_PL2017,H, 337,-0.782799
1,773_FED_20190605c_3T2_PL2017,E, 337,-0.424060
1,774_FED_20190605b_3T2_PL2017,H, 337,-0.646493
1,774_FED_20190605b_3T2_PL2017,E, 337,-0.450303
1,775_FED_20190611a_3T2_PL2017,H, 337,-0.447074
1,775_FED_20190611a_3T2_PL2017,E, 337,-0.067827
1,778_FED_20190614b_3T2_PL2017,H, 337,-0.842458
1,778_FED_20190614b_3T2_PL2017,E, 337,-0.530886
