ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 338,-0.101374
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 338,0.866095
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 338,0.734423
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 338,0.194360
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 338,0.040289
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 338,0.287472
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 338,0.252732
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 338,0.236034
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 338,-0.740796
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 338,0.105405
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 338,0.014300
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 338,-1.077828
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 338,-0.271194
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 338,1.275743
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 338,-0.624976
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 338,0.625395
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 338,-0.300051
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 338,-0.229837
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 338,-0.548605
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 338,-0.235626
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 338,-0.312884
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 338,-0.278613
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 338,0.160125
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 338,-0.335343
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 338,1.649518
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 338,0.210237
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 338,1.651703
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 338,0.858204
