ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 0,NaN
1,249_FED_20160519a_3T1_PL2017,E, 0,NaN
1,252_FED_20160907b_3T2_PL2017,H, 0,NaN
1,252_FED_20160907b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,301_FED_20160908b_3T1_PL2017,H, 0,NaN
1,301_FED_20160908b_3T1_PL2017,E, 0,NaN
1,376_FED_20160519b_3T1_PL2017,H, 0,NaN
1,376_FED_20160519b_3T1_PL2017,E, 0,NaN
1,399_FED_20160519d_3T1_PL2017,H, 0,NaN
1,399_FED_20160519d_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,401_FED_20160520d_3T1_PL2017,H, 0,NaN
1,401_FED_20160520d_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,420_FED_20160805b_3T1_PL2017,H, 0,NaN
1,420_FED_20160805b_3T1_PL2017,E, 0,NaN
1,426_FED_20160908d_3T1_PL2017,H, 0,NaN
1,426_FED_20160908d_3T1_PL2017,E, 0,NaN
1,682_FED_20190426a_3T2_PL2017,H, 0,NaN
1,682_FED_20190426a_3T2_PL2017,E, 0,NaN
1,767_FED_20190418b_3T2_PL2017,H, 0,NaN
1,767_FED_20190418b_3T2_PL2017,E, 0,NaN
1,769_FED_20190522a_3T2_PL2017,H, 0,NaN
1,769_FED_20190522a_3T2_PL2017,E, 0,NaN
1,770_FED_20190523b_3T2_PL2017,H, 0,NaN
1,770_FED_20190523b_3T2_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
1,863_FED_20211124a_3T1_PL2017,H, 0,NaN
1,863_FED_20211124a_3T1_PL2017,E, 0,NaN
2,249_FED_20160519a_3T1_PL2017,H, 178,0.969142
2,249_FED_20160519a_3T1_PL2017,E, 178,0.810398
2,252_FED_20160907b_3T2_PL2017,H, 178,2.988683
2,252_FED_20160907b_3T2_PL2017,E, 178,1.342962
2,291_FED_20160803c_3T1_PL2017,H, 178,1.848915
2,291_FED_20160803c_3T1_PL2017,E, 178,1.428189
2,301_FED_20160908b_3T1_PL2017,H, 178,1.551822
2,301_FED_20160908b_3T1_PL2017,E, 178,0.495110
2,376_FED_20160519b_3T1_PL2017,H, 178,1.519122
2,376_FED_20160519b_3T1_PL2017,E, 178,0.758063
2,399_FED_20160519d_3T1_PL2017,H, 178,-0.011725
2,399_FED_20160519d_3T1_PL2017,E, 178,-0.119679
2,400_FED_20160520a_3T1_PL2017,H, 178,0.941950
2,400_FED_20160520a_3T1_PL2017,E, 178,0.562709
2,401_FED_20160520d_3T1_PL2017,H, 178,1.426658
2,401_FED_20160520d_3T1_PL2017,E, 178,1.337457
2,419_FED_20160805a_3T1_PL2017,H, 178,1.091373
2,419_FED_20160805a_3T1_PL2017,E, 178,1.233585
2,420_FED_20160805b_3T1_PL2017,H, 178,0.708714
2,420_FED_20160805b_3T1_PL2017,E, 178,0.565515
2,426_FED_20160908d_3T1_PL2017,H, 178,1.538296
2,426_FED_20160908d_3T1_PL2017,E, 178,0.912117
2,682_FED_20190426a_3T2_PL2017,H, 178,0.710052
2,682_FED_20190426a_3T2_PL2017,E, 178,0.421368
2,767_FED_20190418b_3T2_PL2017,H, 178,0.462332
2,767_FED_20190418b_3T2_PL2017,E, 178,-0.166657
2,769_FED_20190522a_3T2_PL2017,H, 178,-0.267372
2,769_FED_20190522a_3T2_PL2017,E, 178,0.290249
2,770_FED_20190523b_3T2_PL2017,H, 178,0.273343
2,770_FED_20190523b_3T2_PL2017,E, 178,0.058951
2,773_FED_20190605c_3T2_PL2017,H, 178,0.731880
2,773_FED_20190605c_3T2_PL2017,E, 178,0.556829
2,774_FED_20190605b_3T2_PL2017,H, 178,1.864767
2,774_FED_20190605b_3T2_PL2017,E, 178,0.849960
2,775_FED_20190611a_3T2_PL2017,H, 178,4.858906
2,775_FED_20190611a_3T2_PL2017,E, 178,3.775717
2,778_FED_20190614b_3T2_PL2017,H, 178,-0.194035
2,778_FED_20190614b_3T2_PL2017,E, 178,-0.125126
2,863_FED_20211124a_3T1_PL2017,H, 178,2.381455
2,863_FED_20211124a_3T1_PL2017,E, 178,1.674533
3,249_FED_20160519a_3T1_PL2017,H, 0,NaN
3,249_FED_20160519a_3T1_PL2017,E, 0,NaN
3,252_FED_20160907b_3T2_PL2017,H, 0,NaN
3,252_FED_20160907b_3T2_PL2017,E, 0,NaN
3,291_FED_20160803c_3T1_PL2017,H, 0,NaN
3,291_FED_20160803c_3T1_PL2017,E, 0,NaN
3,301_FED_20160908b_3T1_PL2017,H, 0,NaN
3,301_FED_20160908b_3T1_PL2017,E, 0,NaN
3,376_FED_20160519b_3T1_PL2017,H, 0,NaN
3,376_FED_20160519b_3T1_PL2017,E, 0,NaN
3,399_FED_20160519d_3T1_PL2017,H, 0,NaN
3,399_FED_20160519d_3T1_PL2017,E, 0,NaN
3,400_FED_20160520a_3T1_PL2017,H, 0,NaN
3,400_FED_20160520a_3T1_PL2017,E, 0,NaN
3,401_FED_20160520d_3T1_PL2017,H, 0,NaN
3,401_FED_20160520d_3T1_PL2017,E, 0,NaN
3,419_FED_20160805a_3T1_PL2017,H, 0,NaN
3,419_FED_20160805a_3T1_PL2017,E, 0,NaN
3,420_FED_20160805b_3T1_PL2017,H, 0,NaN
3,420_FED_20160805b_3T1_PL2017,E, 0,NaN
3,426_FED_20160908d_3T1_PL2017,H, 0,NaN
3,426_FED_20160908d_3T1_PL2017,E, 0,NaN
