ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 202,-0.163138
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 202,-0.433911
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 202,-0.043074
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 202,0.125557
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 202,0.333953
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 202,0.495965
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 202,0.240705
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 202,0.204751
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 202,0.037501
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 202,0.683369
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 202,0.603606
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 202,-0.022408
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 202,0.303818
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 202,-0.599793
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 202,0.267049
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 202,-0.462498
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 202,0.537757
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 202,0.249198
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 202,0.585603
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 202,0.216658
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 202,-0.600168
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 202,-0.600463
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 202,-0.289911
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 202,-0.140310
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 202,-0.070695
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 202,-0.202376
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 202,-0.279654
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 202,0.007290
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 202,0.279290
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 202,-0.505160
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 202,0.139062
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 202,-0.614339
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 202,-0.332375
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 202,-0.013704
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 202,-0.626172
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 202,-0.667356
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 202,0.150192
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 202,0.048088
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 202,0.307485
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 202,0.132298
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 202,-0.053181
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 202,-0.160700
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 202,0.127751
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 202,-0.062622
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 202,0.202263
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 202,-0.546283
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 202,0.039871
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 202,-0.471185
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 202,0.051387
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 202,-1.537879
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 202,0.041642
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 202,-0.421778
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 202,1.136967
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 202,0.410670
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 202,0.808281
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 202,0.304713
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 202,0.422363
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 202,-0.362394
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 202,0.615699
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 202,-0.022620
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 202,-0.358650
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 202,-0.175257
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 202,-0.107224
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 202,-0.229360
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 202,-0.188089
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 202,0.074095
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 202,-0.422324
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 202,0.390863
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 202,-0.290967
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 202,0.009925
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 202,-0.128384
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 202,-0.041760
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 202,-0.490693
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 202,-0.611788
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 202,-0.046256
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 202,-0.313667
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 202,0.683339
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 202,0.016229
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 202,0.509109
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 202,-0.047969
1,863_FED_20211124a_3T1_PL2017,Pic_Sem, 202,0.300539
1,863_FED_20211124a_3T1_PL2017,Pic_Perc, 202,-0.242261
1,863_FED_20211124a_3T1_PL2017,Sent_Sem, 202,-0.011159
1,863_FED_20211124a_3T1_PL2017,Sent_Perc, 202,0.186035
