ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 202,-0.294607
1,249_FED_20160519a_3T1_PL2017,E, 202,-0.097510
1,252_FED_20160907b_3T2_PL2017,H, 202,0.068792
1,252_FED_20160907b_3T2_PL2017,E, 202,0.089374
1,291_FED_20160803c_3T1_PL2017,H, 202,-0.772500
1,291_FED_20160803c_3T1_PL2017,E, 202,-0.558578
1,301_FED_20160908b_3T1_PL2017,H, 202,-0.803295
1,301_FED_20160908b_3T1_PL2017,E, 202,-0.143412
1,376_FED_20160519b_3T1_PL2017,H, 202,-0.076761
1,376_FED_20160519b_3T1_PL2017,E, 202,0.131420
1,399_FED_20160519d_3T1_PL2017,H, 202,-0.373003
1,399_FED_20160519d_3T1_PL2017,E, 202,-0.348695
1,400_FED_20160520a_3T1_PL2017,H, 202,-0.106887
1,400_FED_20160520a_3T1_PL2017,E, 202,-0.032218
1,401_FED_20160520d_3T1_PL2017,H, 202,-0.371518
1,401_FED_20160520d_3T1_PL2017,E, 202,-0.045790
1,419_FED_20160805a_3T1_PL2017,H, 202,0.039029
1,419_FED_20160805a_3T1_PL2017,E, 202,0.010658
1,420_FED_20160805b_3T1_PL2017,H, 202,-0.332840
1,420_FED_20160805b_3T1_PL2017,E, 202,0.113945
1,426_FED_20160908d_3T1_PL2017,H, 202,-0.440860
1,426_FED_20160908d_3T1_PL2017,E, 202,-0.239728
1,682_FED_20190426a_3T2_PL2017,H, 202,-0.394822
1,682_FED_20190426a_3T2_PL2017,E, 202,-0.456495
1,767_FED_20190418b_3T2_PL2017,H, 202,-0.964431
1,767_FED_20190418b_3T2_PL2017,E, 202,-0.686153
1,769_FED_20190522a_3T2_PL2017,H, 202,-0.268672
1,769_FED_20190522a_3T2_PL2017,E, 202,-0.009401
1,770_FED_20190523b_3T2_PL2017,H, 202,-0.132991
1,770_FED_20190523b_3T2_PL2017,E, 202,0.016800
1,773_FED_20190605c_3T2_PL2017,H, 202,-0.231229
1,773_FED_20190605c_3T2_PL2017,E, 202,-0.163887
1,774_FED_20190605b_3T2_PL2017,H, 202,-0.443659
1,774_FED_20190605b_3T2_PL2017,E, 202,-0.234453
1,775_FED_20190611a_3T2_PL2017,H, 202,-0.366647
1,775_FED_20190611a_3T2_PL2017,E, 202,-0.285165
1,778_FED_20190614b_3T2_PL2017,H, 202,-0.409416
1,778_FED_20190614b_3T2_PL2017,E, 202,-0.262481
1,863_FED_20211124a_3T1_PL2017,H, 202,-0.087226
1,863_FED_20211124a_3T1_PL2017,E, 202,-0.017428
