ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 202,-0.081592
1,199_KAN_parametric_20_PL2017,E, 202,-0.139643
1,261_FED_20160523c_3T2_PL2017,H, 202,-0.648985
1,261_FED_20160523c_3T2_PL2017,E, 202,-0.345992
1,407_FED_20160804a_3T1_PL2017,H, 202,-0.536761
1,407_FED_20160804a_3T1_PL2017,E, 202,-0.304783
1,408_FED_20160711a2_3T1_PL2017,H, 202,-0.083632
1,408_FED_20160711a2_3T1_PL2017,E, 202,-0.116754
1,409_FED_20160622a_3T1_PL2017,H, 202,-0.233506
1,409_FED_20160622a_3T1_PL2017,E, 202,0.252256
1,410_FED_20160623b_3T2_PL2017,H, 202,0.046961
1,410_FED_20160623b_3T2_PL2017,E, 202,0.172585
1,730_FED_20190306a_3T2_PL2017,H, 202,-0.054434
1,730_FED_20190306a_3T2_PL2017,E, 202,-0.040861
1,776_FED_20190611b_3T2_PL2017,H, 202,-0.376979
1,776_FED_20190611b_3T2_PL2017,E, 202,-0.181031
1,291_FED_20160803c_3T1_PL2017,H, 202,-0.529615
1,291_FED_20160803c_3T1_PL2017,E, 202,-0.341873
1,400_FED_20160520a_3T1_PL2017,H, 202,-0.204118
1,400_FED_20160520a_3T1_PL2017,E, 202,0.034670
1,419_FED_20160805a_3T1_PL2017,H, 202,0.002570
1,419_FED_20160805a_3T1_PL2017,E, 202,-0.074221
1,773_FED_20190605c_3T2_PL2017,H, 202,-0.532092
1,773_FED_20190605c_3T2_PL2017,E, 202,-0.295977
1,774_FED_20190605b_3T2_PL2017,H, 202,-0.487520
1,774_FED_20190605b_3T2_PL2017,E, 202,-0.291495
1,775_FED_20190611a_3T2_PL2017,H, 202,-0.237787
1,775_FED_20190611a_3T2_PL2017,E, 202,-0.253137
1,778_FED_20190614b_3T2_PL2017,H, 202,-0.585776
1,778_FED_20190614b_3T2_PL2017,E, 202,-0.372416
