subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160711a2_3T1,2,1,2,18.02687907218933,Perc-photo,27,A man is grating cheese.,1,3,"[[0.4666666666666666, 1.9761031048475675, 0.3082474963593436], [0.9333333333333332, -0.7211013899236413, -1.8654792374749691], [1.4, -1.2550017149239259, 1.5572317411156265]]",1,,,
FED_20160711a2_3T1,2,1,2,20.027132034301758,Perc-photo,20,A man is plugging in his laptop.,0,4,"[[0.35, -1.4130668747721395, -0.5032315644131422], [0.7, 0.27072211861810247, 1.4753675930055283], [1.0499999999999998, -1.4130668747721395, -0.5032315644131422], [1.4, 0.27072211861810247, 1.4753675930055283]]",0,1,0.4000070095062256,0
FED_20160711a2_3T1,2,1,2,22.02739715576172,Perc-photo,46,A woman is cutting a banana.,1,3,"[[0.4666666666666666, -1.3923530796258632, 1.4357412377083743], [0.9333333333333332, 1.9395649249292959, 0.48794251913930914], [1.4, -0.5472118453034319, -1.9236837568476823]]",1,1,1.9168510437011719,1
FED_20160711a2_3T1,2,1,2,24.027592182159424,Perc-photo,39,A woman is hanging up a sweater.,0,4,"[[0.35, -0.6446528296539177, -1.3544086271207803], [0.7, -0.8506258633644423, 1.2354900406622051], [1.0499999999999998, -0.6446528296539177, -1.3544086271207803], [1.4, -0.8506258633644423, 1.2354900406622051]]",0,0,1.8669040203094482,1
FED_20160711a2_3T1,2,1,2,26.027852058410645,Perc-photo,56,A man is putting an ice cube in a water bottle.,1,3,"[[0.4666666666666666, 1.6144673723726113, 1.1804639357236952], [0.9333333333333332, 0.21507807040177462, -1.9884017259176399], [1.4, -1.8295454427743858, 0.8079377901939461]]",1,1,1.833564043045044,1
FED_20160711a2_3T1,2,1,2,28.028114080429077,Perc-photo,25,A woman is putting on a glove.,0,3,"[[0.4666666666666666, -1.8283613068603135, -0.8106139226389134], [0.9333333333333332, 0.21216840376350363, 1.9887143003570038], [1.4, -1.8283613068603135, -0.8106139226389134]]",1,0,1.9169120788574219,0
FED_20160711a2_3T1,2,1,2,30.02837300300598,Perc-photo,52,A man is putting a pear in a fruit basket.,0,3,"[[0.4666666666666666, -1.5829312081356752, 1.222427417195038], [0.9333333333333332, 1.8501188016413386, 0.7596449300911692], [1.4, -0.2671875935056633, -1.9820723472862065]]",1,1,1.8168981075286865,1
FED_20160711a2_3T1,2,1,2,34.0288941860199,Perc-sent,56,A man is putting dirty socks into the laundry basket.,0,3,"[[0.4666666666666666, 1.8767807363222255, -0.6911541562993058], [0.9333333333333332, -0.3398333108747152, 1.970916873137964], [1.4, 1.8767807363222255, -0.6911541562993058]]",1,1,1.8002398014068604,1
FED_20160711a2_3T1,2,1,2,36.02915406227112,Perc-sent,40,A woman is gluing a picture in her scrapbook.,1,4,"[[0.35, 0.610345194774917, -1.3702112038715668], [0.7, -1.491810308490294, 0.1565311581829437], [1.0499999999999998, 0.610345194774917, -1.3702112038715668], [1.4, -1.491810308490294, 0.1565311581829437]]",0,0,1.550126075744629,1
FED_20160711a2_3T1,2,1,2,38.02921009063721,Perc-sent,2,A man is drilling a hole in the wall with a drill.,1,3,"[[0.4666666666666666, 1.9628464633922553, 0.3837105173806369], [0.9333333333333332, -1.3137262874470295, 1.508019642335817], [1.4, 1.9628464633922553, 0.3837105173806369]]",1,1,1.9170548915863037,1
FED_20160711a2_3T1,2,1,2,40.029614210128784,Perc-sent,49,A woman is putting a parakeet into a cage.,0,4,"[[0.35, -1.3794723533408069, 0.5891146122516195], [0.7, 1.199924396620926, 0.9001007956856312], [1.0499999999999998, -1.3794723533408069, 0.5891146122516195], [1.4, 1.199924396620926, 0.9001007956856312]]",0,0,1.666867971420288,1
FED_20160711a2_3T1,2,1,2,42.02987313270569,Perc-sent,27,A man is grinding some lamb cubes in the meat grinder.,1,3,"[[0.4666666666666666, -1.63520336051261, 1.1515684824482941], [0.9333333333333332, 1.8148892402540218, 0.8403434093334581], [1.4, -1.63520336051261, 1.1515684824482941]]",1,1,1.8335669040679932,1
FED_20160711a2_3T1,2,1,2,44.030134201049805,Perc-sent,51,A woman is pouring hot water into a coffee mug.,0,4,"[[0.35, -0.9470511652741127, -1.1632257263115124], [0.7, 1.480908611958431, -0.23855750465527964], [1.0499999999999998, -0.9470511652741127, -1.1632257263115124], [1.4, 1.480908611958431, -0.23855750465527964]]",0,1,1.9669179916381836,0
FED_20160711a2_3T1,2,1,2,46.03039908409119,Perc-sent,30,A woman is putting a necklace in a jewelry box.,0,3,"[[0.4666666666666666, -1.9550572303578775, -0.4216055336750044], [0.9333333333333332, 0.6124075126402885, 1.9039319941798696], [1.4, 1.3426497177175885, -1.4823264605048647]]",1,1,1.91690993309021,1
FED_20160711a2_3T1,2,1,2,50.03091812133789,Sem-photo,108,A man is cleaning a toilet.,0,3,"[[0.4666666666666666, 1.239233296391292, -1.5698091721974274], [0.9333333333333332, -1.9791112704124385, -0.28830292979167493], [1.4, 0.7398779740211461, 1.8581121019891034]]",0,,,
FED_20160711a2_3T1,2,1,2,52.03117918968201,Sem-photo,88,A man is kissing a woman.,0,4,"[[0.35, -1.4766061562438724, -0.263883041028969], [0.7, 0.5097736609629577, 1.410719963206172], [1.0499999999999998, -1.4766061562438724, -0.263883041028969], [1.4, 0.5097736609629577, 1.410719963206172]]",0,0,1.5001749992370605,1
FED_20160711a2_3T1,2,1,2,54.03138208389282,Sem-photo,102,A woman is toasting some bread.,1,3,"[[0.4666666666666666, 1.7620449304093557, -0.9461488589110535], [0.9333333333333332, -1.700411412783308, -1.0529012428885598], [1.4, 1.7620449304093557, -0.9461488589110535]]",1,1,1.6835980415344238,1
FED_20160711a2_3T1,2,1,2,56.03163409233093,Sem-photo,75,A woman is brushing her hair.,0,3,"[[0.4666666666666666, 0.2556779794631979, 1.9835898696095462], [0.9333333333333332, -1.8456782075029283, -0.7703713094013673], [1.4, 1.5900002280397292, -1.21321856020818]]",0,0,1.7335541248321533,1
FED_20160711a2_3T1,2,1,2,58.031901121139526,Sem-photo,89,A woman is weighing herself.,0,4,"[[0.35, -1.277163882263346, -0.7866717344877838], [0.7, 1.3198596476372602, -0.7127204995921244], [1.0499999999999998, -0.042695765373914646, 1.4993922340799073], [1.4, -1.277163882263346, -0.7866717344877838]]",0,0,1.9835610389709473,1
FED_20160711a2_3T1,2,1,2,60.03215408325195,Sem-photo,105,A man is wrapping a box.,0,4,"[[0.35, -0.19262797053083613, 1.4875800701035127], [0.7, -1.1919681456076605, -0.9106107510108998], [1.0499999999999998, -0.19262797053083613, 1.4875800701035127], [1.4, -1.1919681456076605, -0.9106107510108998]]",0,0,1.9502649307250977,1
FED_20160711a2_3T1,2,1,2,62.0324170589447,Sem-photo,93,A woman is throwing away trash.,0,4,"[[0.35, -1.483619231068438, 0.2210745964689222], [0.7, 0.5503533988607408, -1.3953892418828628], [1.0499999999999998, -1.483619231068438, 0.2210745964689222], [1.4, 0.9332658322076985, 1.1743146454139417]]",0,0,1.9835901260375977,1
FED_20160711a2_3T1,2,1,2,66.03294801712036,Sem-sent,109,A boy is looking at the butterfly on the flower.,0,4,"[[0.35, -0.6003841350658525, 1.374604994302446], [0.7, -0.8902507777019564, -1.2072504101473984], [1.0499999999999998, 1.490634912767808, -0.16735458415504742], [1.4, -0.8902507777019564, -1.2072504101473984]]",0,,,
FED_20160711a2_3T1,2,1,2,68.03320002555847,Sem-sent,103,A man is pouring whiskey into a flask.,0,4,"[[0.35, -1.02580615763418, -1.0944047363566187], [0.7, -0.4348792248897537, 1.4355765600480133], [1.0499999999999998, -1.02580615763418, -1.0944047363566187], [1.4, 1.4606853825239332, -0.341171823691393]]",0,0,0.43337416648864746,1
FED_20160711a2_3T1,2,1,2,70.01674509048462,Sem-sent,107,A man is attaching a lapel pin to the jacket.,0,3,"[[0.4666666666666666, 1.7392392539631094, 0.9874445895714082], [0.9333333333333332, -0.014467527583215253, -1.9999476719768516], [1.4, -1.724771726379892, 1.0125030824054446]]",0,1,1.7168760299682617,0
FED_20160711a2_3T1,2,1,2,72.01700115203857,Sem-sent,95,A man is mowing the lawn.,1,3,"[[0.4666666666666666, -0.5107627149526066, 1.9336808032905126], [0.9333333333333332, -1.41923534098358, -1.4091738881001243], [1.4, 1.9299980559361876, -0.5245069151903877]]",1,,,
FED_20160711a2_3T1,2,1,2,74.0172791481018,Sem-sent,62,A man is surfing using a surfboard.,0,4,"[[0.35, 1.285124689483248, 0.7735984310225723], [0.7, -1.3125182383349552, 0.7261514126117949], [1.0499999999999998, 0.027393548851706386, -1.4997498436343673], [1.4, 1.285124689483248, 0.7735984310225723]]",0,0,0.2666800022125244,1
