subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611b_3T2,2,2,1,18.026827096939087,Sem-photo,89,A woman is weighing herself.,0,3,"[[0.4666666666666666, 1.994418070213757, 0.1493203308489265], [0.9333333333333332, -1.126524234923545, 1.6525565491473875], [1.4, 1.994418070213757, 0.1493203308489265]]",0,0,1.0502018928527832,1
FED_20190611b_3T2,2,2,1,20.02709412574768,Sem-photo,81,A woman is stapling some papers.,1,3,"[[0.4666666666666666, -1.9688091638830154, -0.35183870766341513], [0.9333333333333332, 0.6797033230703031, 1.880958104957999], [1.4, 1.2891058408127114, -1.5291193972945842]]",1,1,1.4002418518066406,1
FED_20190611b_3T2,2,2,1,22.02736806869507,Sem-photo,63,A woman is screwing in a light bulb.,0,4,"[[0.35, -1.160880121164377, -0.9499249150777029], [0.7, -0.2422190475628757, 1.4803141332155596], [1.0499999999999998, -1.160880121164377, -0.9499249150777029], [1.4, -0.2422190475628757, 1.4803141332155596]]",0,0,1.7502920627593994,1
FED_20190611b_3T2,2,2,1,24.027547121047974,Sem-photo,84,A man is lighting up a cigarette.,1,4,"[[0.35, 0.1574890507690167, -1.4917094887704758], [0.7, -1.3706028377260386, 0.6094652256013713], [1.0499999999999998, 0.1574890507690167, -1.4917094887704758], [1.4, 1.2131137869570212, 0.8822442631691038]]",1,1,1.6003639698028564,1
FED_20190611b_3T2,2,2,1,26.02788996696472,Sem-photo,69,A woman is putting an apple in a fruit bowl.,0,4,"[[0.35, 0.3677168042293266, -1.4542298139865553], [0.7, 1.0755415597384121, 1.0455670008543039], [1.0499999999999998, -1.4432583639677392, 0.40866281313225067], [1.4, 0.3677168042293266, -1.4542298139865553]]",0,0,1.6502599716186523,1
FED_20190611b_3T2,2,2,1,28.0279541015625,Sem-photo,105,A man is wrapping a box.,0,3,"[[0.4666666666666666, -0.41362970902791624, 1.9567601957852376], [0.9333333333333332, -1.4877891841502704, -1.3365939336707588], [1.4, -0.41362970902791624, 1.9567601957852376]]",0,0,1.6337800025939941,1
FED_20190611b_3T2,2,2,1,30.063562154769897,Sem-photo,85,A woman is putting on a hat.,0,3,"[[0.4666666666666666, 0.07040303344323223, -1.9987604691112917], [0.9333333333333332, -1.7661788590520953, 0.9384094190903238], [1.4, 0.07040303344323223, -1.9987604691112917]]",0,0,1.5484209060668945,1
FED_20190611b_3T2,2,2,1,34.045581102371216,Sem-sent,84,A man is making a clay pot.,1,3,"[[0.4666666666666666, 0.02299627552555354, -1.9998677884580152], [0.9333333333333332, 1.7204381712520678, 1.019849253026564], [1.4, 0.02299627552555354, -1.9998677884580152]]",1,0,1.6836090087890625,0
FED_20190611b_3T2,2,2,1,36.02914309501648,Sem-sent,73,A woman is feeding the ducks some crumbs.,1,4,"[[0.35, 0.10683598381991383, 1.4961905201414796], [0.7, 1.242321007434017, -0.8406179360970886], [1.0499999999999998, 0.10683598381991383, 1.4961905201414796], [1.4, -1.3491569912539307, -0.6555725840443918]]",1,1,1.5836138725280762,1
FED_20190611b_3T2,2,2,1,38.02942705154419,Sem-sent,63,A woman is melting some butter for the recipe.,1,4,"[[0.35, -1.448596084985756, -0.38931912689198916], [0.7, 1.0614582965605184, -1.0598614459743512], [1.0499999999999998, -1.448596084985756, -0.38931912689198916], [1.4, 0.38713778842523694, 1.449180572866341]]",1,1,1.3835570812225342,1
