ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Pic_Sem, 334,-0.801351
1,199_FED_20160711c_3T1_PL2017,Pic_Perc, 334,-0.585004
1,199_FED_20160711c_3T1_PL2017,Sent_Sem, 334,-0.405408
1,199_FED_20160711c_3T1_PL2017,Sent_Perc, 334,-0.467831
1,261_FED_20160523c_3T2_PL2017,Pic_Sem, 334,-1.333448
1,261_FED_20160523c_3T2_PL2017,Pic_Perc, 334,-0.811965
1,261_FED_20160523c_3T2_PL2017,Sent_Sem, 334,-0.847110
1,261_FED_20160523c_3T2_PL2017,Sent_Perc, 334,-0.542224
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 334,2.490365
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 334,1.667459
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 334,2.186731
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 334,0.465539
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 334,-1.229154
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 334,0.037388
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 334,-1.854601
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 334,0.250091
1,407_FED_20160804a_3T1_PL2017,Pic_Sem, 334,-0.356034
1,407_FED_20160804a_3T1_PL2017,Pic_Perc, 334,-0.979725
1,407_FED_20160804a_3T1_PL2017,Sent_Sem, 334,-0.672328
1,407_FED_20160804a_3T1_PL2017,Sent_Perc, 334,-1.289498
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 334,-1.889828
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 334,-1.572347
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 334,-2.351498
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 334,-2.841589
1,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 334,-0.299642
1,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 334,-1.761021
1,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 334,-1.454539
1,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 334,-1.581945
1,409_FED_20160622a_3T1_PL2017,Pic_Sem, 334,-0.551566
1,409_FED_20160622a_3T1_PL2017,Pic_Perc, 334,-0.910441
1,409_FED_20160622a_3T1_PL2017,Sent_Sem, 334,-1.122401
1,409_FED_20160622a_3T1_PL2017,Sent_Perc, 334,-0.818227
