ROI,Subject,Effect, LocalizerSize,EffectSize
1,261_FED_20160523c_3T2_PL2017,H, 334,-1.625264
1,261_FED_20160523c_3T2_PL2017,E, 334,-0.516691
1,291_FED_20160803c_3T1_PL2017,H, 334,-0.367329
1,291_FED_20160803c_3T1_PL2017,E, 334,-0.540130
1,400_FED_20160520a_3T1_PL2017,H, 334,-3.689953
1,400_FED_20160520a_3T1_PL2017,E, 334,-0.259594
1,407_FED_20160804a_3T1_PL2017,H, 334,-1.852898
1,407_FED_20160804a_3T1_PL2017,E, 334,-1.912746
1,419_FED_20160805a_3T1_PL2017,H, 334,-1.075953
1,419_FED_20160805a_3T1_PL2017,E, 334,-1.043582
1,408_FED_20160711a2_3T1_PL2017,H, 334,0.243629
1,408_FED_20160711a2_3T1_PL2017,E, 334,0.086985
1,409_FED_20160622a_3T1_PL2017,H, 334,-0.784383
1,409_FED_20160622a_3T1_PL2017,E, 334,0.244390
1,410_FED_20160623b_3T2_PL2017,H, 334,-0.519470
1,410_FED_20160623b_3T2_PL2017,E, 334,0.159677
1,730_FED_20190306a_3T2_PL2017,H, 334,-2.067383
1,730_FED_20190306a_3T2_PL2017,E, 334,-1.042300
1,776_FED_20190611b_3T2_PL2017,H, 334,-1.921817
1,776_FED_20190611b_3T2_PL2017,E, 334,-0.854478
1,773_FED_20190605c_3T2_PL2017,H, 334,-1.822354
1,773_FED_20190605c_3T2_PL2017,E, 334,-0.842021
1,774_FED_20190605b_3T2_PL2017,H, 334,-2.491784
1,774_FED_20190605b_3T2_PL2017,E, 334,-2.019672
1,775_FED_20190611a_3T2_PL2017,H, 334,-3.897085
1,775_FED_20190611a_3T2_PL2017,E, 334,-1.201848
1,778_FED_20190614b_3T2_PL2017,H, 334,-3.409790
1,778_FED_20190614b_3T2_PL2017,E, 334,-1.823692
2,261_FED_20160523c_3T2_PL2017,H, 73,-1.395258
2,261_FED_20160523c_3T2_PL2017,E, 73,-0.419039
2,291_FED_20160803c_3T1_PL2017,H, 73,-0.797841
2,291_FED_20160803c_3T1_PL2017,E, 73,-0.833213
2,400_FED_20160520a_3T1_PL2017,H, 73,-1.532762
2,400_FED_20160520a_3T1_PL2017,E, 73,-0.331651
2,407_FED_20160804a_3T1_PL2017,H, 73,-0.900023
2,407_FED_20160804a_3T1_PL2017,E, 73,-0.900677
