ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 85,3.114069
1,199_KAN_parametric_20_PL2017,N, 85,2.215358
1,261_FED_20160523c_3T2_PL2017,S, 85,0.559975
1,261_FED_20160523c_3T2_PL2017,N, 85,0.921623
1,291_FED_20160803c_3T1_PL2017,S, 85,2.339621
1,291_FED_20160803c_3T1_PL2017,N, 85,1.826337
1,400_FED_20160520a_3T1_PL2017,S, 85,2.454649
1,400_FED_20160520a_3T1_PL2017,N, 85,2.297231
1,407_FED_20160804a_3T1_PL2017,S, 85,1.066575
1,407_FED_20160804a_3T1_PL2017,N, 85,0.743699
1,419_FED_20160805a_3T1_PL2017,S, 85,0.139716
1,419_FED_20160805a_3T1_PL2017,N, 85,0.545961
1,408_FED_20160711a2_3T1_PL2017,S, 85,0.328925
1,408_FED_20160711a2_3T1_PL2017,N, 85,0.346292
1,409_FED_20160622a_3T1_PL2017,S, 85,-0.111446
1,409_FED_20160622a_3T1_PL2017,N, 85,-0.090658
1,410_FED_20160623b_3T2_PL2017,S, 85,0.619127
1,410_FED_20160623b_3T2_PL2017,N, 85,0.036453
1,730_FED_20190306a_3T2_PL2017,S, 85,1.699048
1,730_FED_20190306a_3T2_PL2017,N, 85,2.405141
1,776_FED_20190611b_3T2_PL2017,S, 85,0.044957
1,776_FED_20190611b_3T2_PL2017,N, 85,0.115204
1,773_FED_20190605c_3T2_PL2017,S, 85,0.843946
1,773_FED_20190605c_3T2_PL2017,N, 85,0.565291
1,774_FED_20190605b_3T2_PL2017,S, 85,0.382957
1,774_FED_20190605b_3T2_PL2017,N, 85,0.015273
1,775_FED_20190611a_3T2_PL2017,S, 85,0.450749
1,775_FED_20190611a_3T2_PL2017,N, 85,-0.431135
1,778_FED_20190614b_3T2_PL2017,S, 85,2.564399
1,778_FED_20190614b_3T2_PL2017,N, 85,1.812377
2,199_KAN_parametric_20_PL2017,S, 134,0.952340
2,199_KAN_parametric_20_PL2017,N, 134,0.343291
2,261_FED_20160523c_3T2_PL2017,S, 134,1.494993
2,261_FED_20160523c_3T2_PL2017,N, 134,0.553122
2,291_FED_20160803c_3T1_PL2017,S, 134,1.836717
2,291_FED_20160803c_3T1_PL2017,N, 134,0.919682
2,400_FED_20160520a_3T1_PL2017,S, 134,1.008802
2,400_FED_20160520a_3T1_PL2017,N, 134,-0.113778
2,407_FED_20160804a_3T1_PL2017,S, 134,0.640505
2,407_FED_20160804a_3T1_PL2017,N, 134,0.067410
2,419_FED_20160805a_3T1_PL2017,S, 134,2.171355
2,419_FED_20160805a_3T1_PL2017,N, 134,1.618231
2,408_FED_20160711a2_3T1_PL2017,S, 134,0.282220
2,408_FED_20160711a2_3T1_PL2017,N, 134,0.022300
2,409_FED_20160622a_3T1_PL2017,S, 134,1.735266
2,409_FED_20160622a_3T1_PL2017,N, 134,1.049503
2,410_FED_20160623b_3T2_PL2017,S, 134,0.865220
2,410_FED_20160623b_3T2_PL2017,N, 134,0.046542
2,730_FED_20190306a_3T2_PL2017,S, 134,0.652645
2,730_FED_20190306a_3T2_PL2017,N, 134,0.252969
2,776_FED_20190611b_3T2_PL2017,S, 134,1.418540
2,776_FED_20190611b_3T2_PL2017,N, 134,0.557423
2,773_FED_20190605c_3T2_PL2017,S, 133,0.864603
2,773_FED_20190605c_3T2_PL2017,N, 133,-0.484446
