ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 85,3.809341
1,199_KAN_parametric_20_PL2017,E, 85,2.298786
1,261_FED_20160523c_3T2_PL2017,H, 85,2.238201
1,261_FED_20160523c_3T2_PL2017,E, 85,1.408151
1,291_FED_20160803c_3T1_PL2017,H, 85,1.464044
1,291_FED_20160803c_3T1_PL2017,E, 85,1.105673
1,400_FED_20160520a_3T1_PL2017,H, 85,3.428464
1,400_FED_20160520a_3T1_PL2017,E, 85,2.074043
1,407_FED_20160804a_3T1_PL2017,H, 85,1.774420
1,407_FED_20160804a_3T1_PL2017,E, 85,1.327472
1,419_FED_20160805a_3T1_PL2017,H, 85,-0.205846
1,419_FED_20160805a_3T1_PL2017,E, 85,-0.195125
1,408_FED_20160711a2_3T1_PL2017,H, 85,-0.214695
1,408_FED_20160711a2_3T1_PL2017,E, 85,-0.068653
1,409_FED_20160622a_3T1_PL2017,H, 85,1.329174
1,409_FED_20160622a_3T1_PL2017,E, 85,0.647221
1,410_FED_20160623b_3T2_PL2017,H, 85,2.595292
1,410_FED_20160623b_3T2_PL2017,E, 85,1.777004
1,730_FED_20190306a_3T2_PL2017,H, 85,2.864793
1,730_FED_20190306a_3T2_PL2017,E, 85,1.370693
1,776_FED_20190611b_3T2_PL2017,H, 85,1.257868
1,776_FED_20190611b_3T2_PL2017,E, 85,0.804014
1,773_FED_20190605c_3T2_PL2017,H, 85,0.110435
1,773_FED_20190605c_3T2_PL2017,E, 85,0.123702
1,774_FED_20190605b_3T2_PL2017,H, 85,1.754249
1,774_FED_20190605b_3T2_PL2017,E, 85,0.370906
1,775_FED_20190611a_3T2_PL2017,H, 85,4.187274
1,775_FED_20190611a_3T2_PL2017,E, 85,3.352800
1,778_FED_20190614b_3T2_PL2017,H, 85,0.580251
1,778_FED_20190614b_3T2_PL2017,E, 85,0.364010
2,199_KAN_parametric_20_PL2017,H, 134,-0.448241
2,199_KAN_parametric_20_PL2017,E, 134,-0.368585
2,261_FED_20160523c_3T2_PL2017,H, 134,-0.731503
2,261_FED_20160523c_3T2_PL2017,E, 134,-0.602226
2,291_FED_20160803c_3T1_PL2017,H, 134,-0.032478
2,291_FED_20160803c_3T1_PL2017,E, 134,0.353413
2,400_FED_20160520a_3T1_PL2017,H, 134,-0.974119
2,400_FED_20160520a_3T1_PL2017,E, 134,-0.248824
2,407_FED_20160804a_3T1_PL2017,H, 134,-0.112063
2,407_FED_20160804a_3T1_PL2017,E, 134,-0.139959
2,419_FED_20160805a_3T1_PL2017,H, 134,0.003529
2,419_FED_20160805a_3T1_PL2017,E, 134,-0.241497
2,408_FED_20160711a2_3T1_PL2017,H, 134,-0.039817
2,408_FED_20160711a2_3T1_PL2017,E, 134,0.082146
2,409_FED_20160622a_3T1_PL2017,H, 134,-0.647324
2,409_FED_20160622a_3T1_PL2017,E, 134,0.623275
2,410_FED_20160623b_3T2_PL2017,H, 134,-0.040762
2,410_FED_20160623b_3T2_PL2017,E, 134,0.157362
2,730_FED_20190306a_3T2_PL2017,H, 134,-0.373512
2,730_FED_20190306a_3T2_PL2017,E, 134,-0.286101
2,776_FED_20190611b_3T2_PL2017,H, 134,-0.668871
2,776_FED_20190611b_3T2_PL2017,E, 134,-0.503102
2,773_FED_20190605c_3T2_PL2017,H, 133,-2.360836
2,773_FED_20190605c_3T2_PL2017,E, 133,-1.308799
2,774_FED_20190605b_3T2_PL2017,H, 134,-0.635543
2,774_FED_20190605b_3T2_PL2017,E, 134,-0.607069
