ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,261_FED_20160523c_3T2_PL2017,H, 395,4.503077
LH_postParietal,261_FED_20160523c_3T2_PL2017,E, 395,3.178972
LH_postParietal,291_FED_20160803c_3T1_PL2017,H, 395,2.049592
LH_postParietal,291_FED_20160803c_3T1_PL2017,E, 395,1.752347
LH_postParietal,400_FED_20160520a_3T1_PL2017,H, 395,4.832537
LH_postParietal,400_FED_20160520a_3T1_PL2017,E, 395,3.124534
LH_postParietal,407_FED_20160804a_3T1_PL2017,H, 395,3.092098
LH_postParietal,407_FED_20160804a_3T1_PL2017,E, 395,2.533417
LH_postParietal,419_FED_20160805a_3T1_PL2017,H, 395,0.605643
LH_postParietal,419_FED_20160805a_3T1_PL2017,E, 395,0.640146
LH_postParietal,408_FED_20160711a2_3T1_PL2017,H, 395,-0.145721
LH_postParietal,408_FED_20160711a2_3T1_PL2017,E, 395,-0.170888
LH_postParietal,409_FED_20160622a_3T1_PL2017,H, 395,6.364290
LH_postParietal,409_FED_20160622a_3T1_PL2017,E, 395,4.291421
LH_postParietal,410_FED_20160623b_3T2_PL2017,H, 395,4.978901
LH_postParietal,410_FED_20160623b_3T2_PL2017,E, 395,3.221687
LH_postParietal,730_FED_20190306a_3T2_PL2017,H, 395,5.841082
LH_postParietal,730_FED_20190306a_3T2_PL2017,E, 395,4.604511
LH_postParietal,776_FED_20190611b_3T2_PL2017,H, 395,5.659934
LH_postParietal,776_FED_20190611b_3T2_PL2017,E, 395,3.787765
LH_postParietal,773_FED_20190605c_3T2_PL2017,H, 395,8.096037
LH_postParietal,773_FED_20190605c_3T2_PL2017,E, 395,6.043052
LH_postParietal,774_FED_20190605b_3T2_PL2017,H, 395,6.540056
LH_postParietal,774_FED_20190605b_3T2_PL2017,E, 395,4.482772
LH_postParietal,775_FED_20190611a_3T2_PL2017,H, 395,4.553499
LH_postParietal,775_FED_20190611a_3T2_PL2017,E, 395,3.901722
LH_postParietal,778_FED_20190614b_3T2_PL2017,H, 395,5.843050
LH_postParietal,778_FED_20190614b_3T2_PL2017,E, 395,4.873486
LH_midParietal,261_FED_20160523c_3T2_PL2017,H, 86,6.058361
LH_midParietal,261_FED_20160523c_3T2_PL2017,E, 86,3.801486
LH_midParietal,291_FED_20160803c_3T1_PL2017,H, 86,2.633701
LH_midParietal,291_FED_20160803c_3T1_PL2017,E, 86,2.109137
LH_midParietal,400_FED_20160520a_3T1_PL2017,H, 86,4.938708
