ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_FED_20160711c_3T1_PL2017,Pic_Sem, 37,0.581892
1,199_FED_20160711c_3T1_PL2017,Pic_Perc, 37,0.222531
1,199_FED_20160711c_3T1_PL2017,Sent_Sem, 37,1.918285
1,199_FED_20160711c_3T1_PL2017,Sent_Perc, 37,0.272654
1,261_FED_20160523c_3T2_PL2017,Pic_Sem, 37,0.832597
1,261_FED_20160523c_3T2_PL2017,Pic_Perc, 37,-0.444232
1,261_FED_20160523c_3T2_PL2017,Sent_Sem, 37,1.812803
1,261_FED_20160523c_3T2_PL2017,Sent_Perc, 37,0.701719
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 37,2.379614
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 37,0.669081
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 37,2.451387
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 37,0.213172
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 37,-0.174483
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 37,-0.273557
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 37,0.156202
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 37,-0.192402
1,407_FED_20160804a_3T1_PL2017,Pic_Sem, 37,0.832577
1,407_FED_20160804a_3T1_PL2017,Pic_Perc, 37,-0.806111
1,407_FED_20160804a_3T1_PL2017,Sent_Sem, 37,1.455241
1,407_FED_20160804a_3T1_PL2017,Sent_Perc, 37,-0.976226
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 37,0.206955
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 37,-0.428838
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 37,1.002035
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 37,-0.512659
1,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 37,1.465198
1,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 37,0.849399
1,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 37,0.712465
1,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 37,1.015379
1,409_FED_20160622a_3T1_PL2017,Pic_Sem, 37,1.928791
1,409_FED_20160622a_3T1_PL2017,Pic_Perc, 37,0.253958
1,409_FED_20160622a_3T1_PL2017,Sent_Sem, 37,1.833173
1,409_FED_20160622a_3T1_PL2017,Sent_Perc, 37,0.534678
1,410_FED_20160623b_3T2_PL2017,Pic_Sem, 37,0.704467
1,410_FED_20160623b_3T2_PL2017,Pic_Perc, 37,-0.021996
1,410_FED_20160623b_3T2_PL2017,Sent_Sem, 37,1.654362
1,410_FED_20160623b_3T2_PL2017,Sent_Perc, 37,-0.285121
1,730_FED_20190306a_3T2_PL2017,Pic_Sem, 37,1.845899
1,730_FED_20190306a_3T2_PL2017,Pic_Perc, 37,-0.092958
1,730_FED_20190306a_3T2_PL2017,Sent_Sem, 37,2.295597
1,730_FED_20190306a_3T2_PL2017,Sent_Perc, 37,-0.962186
1,776_FED_20190611b_3T2_PL2017,Pic_Sem, 37,0.284841
1,776_FED_20190611b_3T2_PL2017,Pic_Perc, 37,0.723038
1,776_FED_20190611b_3T2_PL2017,Sent_Sem, 37,0.817121
1,776_FED_20190611b_3T2_PL2017,Sent_Perc, 37,0.249164
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 37,1.669730
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 37,-0.937483
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 37,2.226076
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 37,-0.661284
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 37,1.334997
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 37,0.543549
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 37,1.869709
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 37,0.738773
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 37,0.711910
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 37,-0.016027
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 37,1.092381
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 37,1.274623
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 37,1.715116
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 37,-2.919757
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 37,3.562708
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 37,-2.406059
2,199_FED_20160711c_3T1_PL2017,Pic_Sem, 74,1.718577
2,199_FED_20160711c_3T1_PL2017,Pic_Perc, 74,0.666223
2,199_FED_20160711c_3T1_PL2017,Sent_Sem, 74,2.309363
2,199_FED_20160711c_3T1_PL2017,Sent_Perc, 74,0.722162
2,261_FED_20160523c_3T2_PL2017,Pic_Sem, 74,0.998893
2,261_FED_20160523c_3T2_PL2017,Pic_Perc, 74,-0.871987
2,261_FED_20160523c_3T2_PL2017,Sent_Sem, 74,2.136819
2,261_FED_20160523c_3T2_PL2017,Sent_Perc, 74,0.026487
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 74,2.112822
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 74,0.773777
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 74,2.181333
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 74,0.908213
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 74,2.722602
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 74,0.238700
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 74,4.109030
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 74,-0.141461
2,407_FED_20160804a_3T1_PL2017,Pic_Sem, 74,1.130006
2,407_FED_20160804a_3T1_PL2017,Pic_Perc, 74,0.165437
2,407_FED_20160804a_3T1_PL2017,Sent_Sem, 74,1.664871
2,407_FED_20160804a_3T1_PL2017,Sent_Perc, 74,0.164788
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 74,0.791637
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 74,-0.319594
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 74,2.417136
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 74,-0.571055
2,408_FED_20160711a2_3T1_PL2017,Pic_Sem, 74,1.908618
2,408_FED_20160711a2_3T1_PL2017,Pic_Perc, 74,1.141737
2,408_FED_20160711a2_3T1_PL2017,Sent_Sem, 74,1.574514
2,408_FED_20160711a2_3T1_PL2017,Sent_Perc, 74,2.354870
2,409_FED_20160622a_3T1_PL2017,Pic_Sem, 74,1.095208
2,409_FED_20160622a_3T1_PL2017,Pic_Perc, 74,0.129484
2,409_FED_20160622a_3T1_PL2017,Sent_Sem, 74,1.383549
2,409_FED_20160622a_3T1_PL2017,Sent_Perc, 74,0.297678
2,410_FED_20160623b_3T2_PL2017,Pic_Sem, 74,1.429315
2,410_FED_20160623b_3T2_PL2017,Pic_Perc, 74,0.623334
2,410_FED_20160623b_3T2_PL2017,Sent_Sem, 74,2.586271
2,410_FED_20160623b_3T2_PL2017,Sent_Perc, 74,0.315062
2,730_FED_20190306a_3T2_PL2017,Pic_Sem, 74,1.970991
2,730_FED_20190306a_3T2_PL2017,Pic_Perc, 74,1.910450
2,730_FED_20190306a_3T2_PL2017,Sent_Sem, 74,3.886408
2,730_FED_20190306a_3T2_PL2017,Sent_Perc, 74,1.508918
2,776_FED_20190611b_3T2_PL2017,Pic_Sem, 74,0.801163
2,776_FED_20190611b_3T2_PL2017,Pic_Perc, 74,1.365215
2,776_FED_20190611b_3T2_PL2017,Sent_Sem, 74,1.886969
2,776_FED_20190611b_3T2_PL2017,Sent_Perc, 74,1.476486
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 74,1.521685
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 74,0.254081
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 74,1.989933
2,773_FED_20190605c_3T2_PL2017,Sent_Perc, 74,-0.366102
2,774_FED_20190605b_3T2_PL2017,Pic_Sem, 74,2.413270
2,774_FED_20190605b_3T2_PL2017,Pic_Perc, 74,1.302945
2,774_FED_20190605b_3T2_PL2017,Sent_Sem, 74,3.099005
2,774_FED_20190605b_3T2_PL2017,Sent_Perc, 74,1.272475
2,775_FED_20190611a_3T2_PL2017,Pic_Sem, 74,2.356944
2,775_FED_20190611a_3T2_PL2017,Pic_Perc, 74,2.212651
2,775_FED_20190611a_3T2_PL2017,Sent_Sem, 74,2.320371
2,775_FED_20190611a_3T2_PL2017,Sent_Perc, 74,2.736336
2,778_FED_20190614b_3T2_PL2017,Pic_Sem, 74,2.329812
2,778_FED_20190614b_3T2_PL2017,Pic_Perc, 74,0.632319
2,778_FED_20190614b_3T2_PL2017,Sent_Sem, 74,3.300118
2,778_FED_20190614b_3T2_PL2017,Sent_Perc, 74,-0.003294
3,199_FED_20160711c_3T1_PL2017,Pic_Sem, 46,2.495786
3,199_FED_20160711c_3T1_PL2017,Pic_Perc, 46,3.177059
3,199_FED_20160711c_3T1_PL2017,Sent_Sem, 46,3.317449
3,199_FED_20160711c_3T1_PL2017,Sent_Perc, 46,3.883018
3,261_FED_20160523c_3T2_PL2017,Pic_Sem, 46,1.552381
3,261_FED_20160523c_3T2_PL2017,Pic_Perc, 46,0.801325
3,261_FED_20160523c_3T2_PL2017,Sent_Sem, 46,2.986952
3,261_FED_20160523c_3T2_PL2017,Sent_Perc, 46,1.144359
3,291_FED_20160803c_3T1_PL2017,Pic_Sem, 46,1.840450
3,291_FED_20160803c_3T1_PL2017,Pic_Perc, 46,2.026539
3,291_FED_20160803c_3T1_PL2017,Sent_Sem, 46,3.039717
3,291_FED_20160803c_3T1_PL2017,Sent_Perc, 46,1.676111
