ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 37,2.702456
1,199_KAN_parametric_20_PL2017,N, 37,0.616341
1,261_FED_20160523c_3T2_PL2017,S, 37,1.441903
1,261_FED_20160523c_3T2_PL2017,N, 37,0.446303
1,291_FED_20160803c_3T1_PL2017,S, 37,2.383556
1,291_FED_20160803c_3T1_PL2017,N, 37,0.412734
1,400_FED_20160520a_3T1_PL2017,S, 37,1.482760
1,400_FED_20160520a_3T1_PL2017,N, 37,-0.207133
1,407_FED_20160804a_3T1_PL2017,S, 37,1.210321
1,407_FED_20160804a_3T1_PL2017,N, 37,0.176715
1,419_FED_20160805a_3T1_PL2017,S, 37,0.931196
1,419_FED_20160805a_3T1_PL2017,N, 37,0.562401
1,408_FED_20160711a2_3T1_PL2017,S, 37,1.500763
1,408_FED_20160711a2_3T1_PL2017,N, 37,1.364738
1,409_FED_20160622a_3T1_PL2017,S, 37,0.742975
1,409_FED_20160622a_3T1_PL2017,N, 37,0.473703
1,410_FED_20160623b_3T2_PL2017,S, 37,1.037939
1,410_FED_20160623b_3T2_PL2017,N, 37,-0.064717
1,730_FED_20190306a_3T2_PL2017,S, 37,1.129534
1,730_FED_20190306a_3T2_PL2017,N, 37,0.740010
1,776_FED_20190611b_3T2_PL2017,S, 37,2.481343
1,776_FED_20190611b_3T2_PL2017,N, 37,0.652305
1,773_FED_20190605c_3T2_PL2017,S, 37,-0.016009
1,773_FED_20190605c_3T2_PL2017,N, 37,-0.723564
1,774_FED_20190605b_3T2_PL2017,S, 37,0.039730
1,774_FED_20190605b_3T2_PL2017,N, 37,-0.427567
1,775_FED_20190611a_3T2_PL2017,S, 37,0.971878
1,775_FED_20190611a_3T2_PL2017,N, 37,-0.346645
1,778_FED_20190614b_3T2_PL2017,S, 37,5.119923
1,778_FED_20190614b_3T2_PL2017,N, 37,0.902935
2,199_KAN_parametric_20_PL2017,S, 74,2.132330
2,199_KAN_parametric_20_PL2017,N, 74,0.822182
2,261_FED_20160523c_3T2_PL2017,S, 74,3.720521
2,261_FED_20160523c_3T2_PL2017,N, 74,0.837375
2,291_FED_20160803c_3T1_PL2017,S, 74,2.179775
2,291_FED_20160803c_3T1_PL2017,N, 74,0.765325
2,400_FED_20160520a_3T1_PL2017,S, 74,3.774747
2,400_FED_20160520a_3T1_PL2017,N, 74,1.174432
2,407_FED_20160804a_3T1_PL2017,S, 74,0.632304
2,407_FED_20160804a_3T1_PL2017,N, 74,0.122759
2,419_FED_20160805a_3T1_PL2017,S, 74,1.864102
2,419_FED_20160805a_3T1_PL2017,N, 74,1.019831
2,408_FED_20160711a2_3T1_PL2017,S, 74,2.010960
2,408_FED_20160711a2_3T1_PL2017,N, 74,0.888245
2,409_FED_20160622a_3T1_PL2017,S, 74,0.556544
2,409_FED_20160622a_3T1_PL2017,N, 74,0.182220
2,410_FED_20160623b_3T2_PL2017,S, 74,2.124264
2,410_FED_20160623b_3T2_PL2017,N, 74,0.623642
2,730_FED_20190306a_3T2_PL2017,S, 74,4.492102
2,730_FED_20190306a_3T2_PL2017,N, 74,1.740488
2,776_FED_20190611b_3T2_PL2017,S, 74,3.077818
2,776_FED_20190611b_3T2_PL2017,N, 74,1.195644
2,773_FED_20190605c_3T2_PL2017,S, 74,1.106032
2,773_FED_20190605c_3T2_PL2017,N, 74,0.104682
2,774_FED_20190605b_3T2_PL2017,S, 74,1.045156
2,774_FED_20190605b_3T2_PL2017,N, 74,-0.368513
2,775_FED_20190611a_3T2_PL2017,S, 74,1.031705
2,775_FED_20190611a_3T2_PL2017,N, 74,-0.028899
2,778_FED_20190614b_3T2_PL2017,S, 74,3.256722
2,778_FED_20190614b_3T2_PL2017,N, 74,0.675727
3,199_KAN_parametric_20_PL2017,S, 46,5.385563
3,199_KAN_parametric_20_PL2017,N, 46,2.303828
3,261_FED_20160523c_3T2_PL2017,S, 46,4.961554
3,261_FED_20160523c_3T2_PL2017,N, 46,1.720563
3,291_FED_20160803c_3T1_PL2017,S, 46,2.504419
3,291_FED_20160803c_3T1_PL2017,N, 46,0.376858
3,400_FED_20160520a_3T1_PL2017,S, 46,4.536503
3,400_FED_20160520a_3T1_PL2017,N, 46,1.359331
3,407_FED_20160804a_3T1_PL2017,S, 46,1.744784
3,407_FED_20160804a_3T1_PL2017,N, 46,1.229486
3,419_FED_20160805a_3T1_PL2017,S, 46,2.274665
3,419_FED_20160805a_3T1_PL2017,N, 46,1.754942
3,408_FED_20160711a2_3T1_PL2017,S, 46,3.149154
3,408_FED_20160711a2_3T1_PL2017,N, 46,2.062240
3,409_FED_20160622a_3T1_PL2017,S, 46,1.573618
3,409_FED_20160622a_3T1_PL2017,N, 46,1.295488
3,410_FED_20160623b_3T2_PL2017,S, 46,2.306598
3,410_FED_20160623b_3T2_PL2017,N, 46,0.832824
3,730_FED_20190306a_3T2_PL2017,S, 46,3.871459
3,730_FED_20190306a_3T2_PL2017,N, 46,1.781578
3,776_FED_20190611b_3T2_PL2017,S, 46,1.698190
3,776_FED_20190611b_3T2_PL2017,N, 46,0.385425
3,773_FED_20190605c_3T2_PL2017,S, 46,0.936892
3,773_FED_20190605c_3T2_PL2017,N, 46,0.740004
3,774_FED_20190605b_3T2_PL2017,S, 46,1.717843
3,774_FED_20190605b_3T2_PL2017,N, 46,0.486638
3,775_FED_20190611a_3T2_PL2017,S, 46,1.467046
3,775_FED_20190611a_3T2_PL2017,N, 46,0.264160
3,778_FED_20190614b_3T2_PL2017,S, 46,2.576470
3,778_FED_20190614b_3T2_PL2017,N, 46,0.125418
4,199_KAN_parametric_20_PL2017,S, 162,0.946204
4,199_KAN_parametric_20_PL2017,N, 162,0.256007
4,261_FED_20160523c_3T2_PL2017,S, 162,1.656639
4,261_FED_20160523c_3T2_PL2017,N, 162,0.203254
4,291_FED_20160803c_3T1_PL2017,S, 162,1.561542
4,291_FED_20160803c_3T1_PL2017,N, 162,-0.056664
4,400_FED_20160520a_3T1_PL2017,S, 162,2.166880
4,400_FED_20160520a_3T1_PL2017,N, 162,-0.072104
4,407_FED_20160804a_3T1_PL2017,S, 162,1.437958
4,407_FED_20160804a_3T1_PL2017,N, 162,0.125474
4,419_FED_20160805a_3T1_PL2017,S, 162,1.520424
4,419_FED_20160805a_3T1_PL2017,N, 162,0.262295
4,408_FED_20160711a2_3T1_PL2017,S, 162,1.521571
4,408_FED_20160711a2_3T1_PL2017,N, 162,0.436740
4,409_FED_20160622a_3T1_PL2017,S, 162,1.479166
4,409_FED_20160622a_3T1_PL2017,N, 162,0.374445
4,410_FED_20160623b_3T2_PL2017,S, 162,1.302789
4,410_FED_20160623b_3T2_PL2017,N, 162,0.288615
4,730_FED_20190306a_3T2_PL2017,S, 162,1.470998
4,730_FED_20190306a_3T2_PL2017,N, 162,0.196724
4,776_FED_20190611b_3T2_PL2017,S, 162,0.727287
4,776_FED_20190611b_3T2_PL2017,N, 162,-0.498487
4,773_FED_20190605c_3T2_PL2017,S, 162,-0.125698
4,773_FED_20190605c_3T2_PL2017,N, 162,-0.692573
4,774_FED_20190605b_3T2_PL2017,S, 162,0.614902
4,774_FED_20190605b_3T2_PL2017,N, 162,-0.215060
4,775_FED_20190611a_3T2_PL2017,S, 162,-0.021831
4,775_FED_20190611a_3T2_PL2017,N, 162,-0.532481
4,778_FED_20190614b_3T2_PL2017,S, 162,3.175399
4,778_FED_20190614b_3T2_PL2017,N, 162,0.229297
