ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 37,0.558309
1,199_KAN_parametric_20_PL2017,E, 37,0.794250
1,261_FED_20160523c_3T2_PL2017,H, 37,-1.153597
1,261_FED_20160523c_3T2_PL2017,E, 37,-0.290943
1,291_FED_20160803c_3T1_PL2017,H, 37,-1.500781
1,291_FED_20160803c_3T1_PL2017,E, 37,-0.664045
1,400_FED_20160520a_3T1_PL2017,H, 37,-0.775128
1,400_FED_20160520a_3T1_PL2017,E, 37,-0.103640
1,407_FED_20160804a_3T1_PL2017,H, 37,-0.830568
1,407_FED_20160804a_3T1_PL2017,E, 37,-0.923740
1,419_FED_20160805a_3T1_PL2017,H, 37,-0.270887
1,419_FED_20160805a_3T1_PL2017,E, 37,-0.387186
1,408_FED_20160711a2_3T1_PL2017,H, 37,-0.327565
1,408_FED_20160711a2_3T1_PL2017,E, 37,-0.460856
1,409_FED_20160622a_3T1_PL2017,H, 37,-0.541456
1,409_FED_20160622a_3T1_PL2017,E, 37,0.115335
1,410_FED_20160623b_3T2_PL2017,H, 37,-0.046440
1,410_FED_20160623b_3T2_PL2017,E, 37,0.291745
1,730_FED_20190306a_3T2_PL2017,H, 37,-0.780942
1,730_FED_20190306a_3T2_PL2017,E, 37,-0.679038
1,776_FED_20190611b_3T2_PL2017,H, 37,-0.834126
1,776_FED_20190611b_3T2_PL2017,E, 37,-1.202573
1,773_FED_20190605c_3T2_PL2017,H, 37,-2.169433
1,773_FED_20190605c_3T2_PL2017,E, 37,-1.415502
1,774_FED_20190605b_3T2_PL2017,H, 37,-1.433215
1,774_FED_20190605b_3T2_PL2017,E, 37,-0.890057
1,775_FED_20190611a_3T2_PL2017,H, 37,-0.773735
1,775_FED_20190611a_3T2_PL2017,E, 37,-0.242874
1,778_FED_20190614b_3T2_PL2017,H, 37,-1.849126
1,778_FED_20190614b_3T2_PL2017,E, 37,-1.494979
2,199_KAN_parametric_20_PL2017,H, 74,0.367556
2,199_KAN_parametric_20_PL2017,E, 74,-0.277726
2,261_FED_20160523c_3T2_PL2017,H, 74,-1.455074
2,261_FED_20160523c_3T2_PL2017,E, 74,-1.199669
2,291_FED_20160803c_3T1_PL2017,H, 74,-0.707962
2,291_FED_20160803c_3T1_PL2017,E, 74,-0.304554
2,400_FED_20160520a_3T1_PL2017,H, 74,-0.349678
2,400_FED_20160520a_3T1_PL2017,E, 74,0.253565
2,407_FED_20160804a_3T1_PL2017,H, 74,0.253065
2,407_FED_20160804a_3T1_PL2017,E, 74,0.081094
2,419_FED_20160805a_3T1_PL2017,H, 74,-0.976188
2,419_FED_20160805a_3T1_PL2017,E, 74,-0.952856
2,408_FED_20160711a2_3T1_PL2017,H, 74,-0.237397
2,408_FED_20160711a2_3T1_PL2017,E, 74,-0.386757
2,409_FED_20160622a_3T1_PL2017,H, 74,0.049232
2,409_FED_20160622a_3T1_PL2017,E, 74,0.372701
2,410_FED_20160623b_3T2_PL2017,H, 74,0.610088
2,410_FED_20160623b_3T2_PL2017,E, 74,0.719327
2,730_FED_20190306a_3T2_PL2017,H, 74,-0.192412
2,730_FED_20190306a_3T2_PL2017,E, 74,-0.577867
2,776_FED_20190611b_3T2_PL2017,H, 74,0.234169
2,776_FED_20190611b_3T2_PL2017,E, 74,-0.312415
2,773_FED_20190605c_3T2_PL2017,H, 74,-0.993298
2,773_FED_20190605c_3T2_PL2017,E, 74,-0.591677
2,774_FED_20190605b_3T2_PL2017,H, 74,-0.405728
2,774_FED_20190605b_3T2_PL2017,E, 74,-0.796771
2,775_FED_20190611a_3T2_PL2017,H, 74,1.558259
2,775_FED_20190611a_3T2_PL2017,E, 74,0.976155
2,778_FED_20190614b_3T2_PL2017,H, 74,-0.539450
2,778_FED_20190614b_3T2_PL2017,E, 74,-0.389454
3,199_KAN_parametric_20_PL2017,H, 46,4.868929
3,199_KAN_parametric_20_PL2017,E, 46,3.893390
3,261_FED_20160523c_3T2_PL2017,H, 46,0.252424
3,261_FED_20160523c_3T2_PL2017,E, 46,0.472117
