ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Pic_Sem, 85,2.330589
1,040_KAN_langevents_01_PL2017,Pic_Perc, 85,1.787079
1,040_KAN_langevents_01_PL2017,Sent_Sem, 85,3.046192
1,040_KAN_langevents_01_PL2017,Sent_Perc, 85,1.146771
1,057_KAN_langevents_02_PL2017,Pic_Sem, 85,3.293180
1,057_KAN_langevents_02_PL2017,Pic_Perc, 85,1.169695
1,057_KAN_langevents_02_PL2017,Sent_Sem, 85,3.151992
1,057_KAN_langevents_02_PL2017,Sent_Perc, 85,0.856718
1,059_KAN_langevents_04_PL2017,Pic_Sem, 85,1.669824
1,059_KAN_langevents_04_PL2017,Pic_Perc, 85,-0.105146
1,059_KAN_langevents_04_PL2017,Sent_Sem, 85,1.291594
1,059_KAN_langevents_04_PL2017,Sent_Perc, 85,0.579404
1,056_KAN_langevents_05_PL2017,Pic_Sem, 85,2.201961
1,056_KAN_langevents_05_PL2017,Pic_Perc, 85,-0.112472
1,056_KAN_langevents_05_PL2017,Sent_Sem, 85,3.124129
1,056_KAN_langevents_05_PL2017,Sent_Perc, 85,0.228427
1,067_KAN_langevents_06_PL2017,Pic_Sem, 85,1.884614
1,067_KAN_langevents_06_PL2017,Pic_Perc, 85,0.724843
1,067_KAN_langevents_06_PL2017,Sent_Sem, 85,2.099631
1,067_KAN_langevents_06_PL2017,Sent_Perc, 85,0.169268
1,068_KAN_langevents_07_PL2017,Pic_Sem, 85,2.525801
1,068_KAN_langevents_07_PL2017,Pic_Perc, 85,2.907874
1,068_KAN_langevents_07_PL2017,Sent_Sem, 85,3.963545
1,068_KAN_langevents_07_PL2017,Sent_Perc, 85,2.170933
1,019_KAN_langevents_08_PL2017,Pic_Sem, 85,-0.328000
1,019_KAN_langevents_08_PL2017,Pic_Perc, 85,-0.051654
1,019_KAN_langevents_08_PL2017,Sent_Sem, 85,-0.286112
1,019_KAN_langevents_08_PL2017,Sent_Perc, 85,-0.351492
1,070_KAN_langevents_11_PL2017,Pic_Sem, 85,3.483674
1,070_KAN_langevents_11_PL2017,Pic_Perc, 85,-0.063056
1,070_KAN_langevents_11_PL2017,Sent_Sem, 85,3.890508
1,070_KAN_langevents_11_PL2017,Sent_Perc, 85,-0.379425
1,087_KAN_langevents_12_PL2017,Pic_Sem, 85,1.210087
1,087_KAN_langevents_12_PL2017,Pic_Perc, 85,1.109823
1,087_KAN_langevents_12_PL2017,Sent_Sem, 85,1.815048
1,087_KAN_langevents_12_PL2017,Sent_Perc, 85,0.416430
1,078_KAN_langevents_13_PL2017,Pic_Sem, 85,0.707418
1,078_KAN_langevents_13_PL2017,Pic_Perc, 85,-0.049841
1,078_KAN_langevents_13_PL2017,Sent_Sem, 85,0.600339
1,078_KAN_langevents_13_PL2017,Sent_Perc, 85,0.130070
1,089_KAN_langevents_15_PL2017,Pic_Sem, 85,0.957670
1,089_KAN_langevents_15_PL2017,Pic_Perc, 85,1.615394
1,089_KAN_langevents_15_PL2017,Sent_Sem, 85,1.816934
1,089_KAN_langevents_15_PL2017,Sent_Perc, 85,1.653079
1,076_KAN_langevents_16_PL2017,Pic_Sem, 85,2.672068
1,076_KAN_langevents_16_PL2017,Pic_Perc, 85,1.400020
1,076_KAN_langevents_16_PL2017,Sent_Sem, 85,2.661894
1,076_KAN_langevents_16_PL2017,Sent_Perc, 85,1.088237
2,040_KAN_langevents_01_PL2017,Pic_Sem, 134,-0.124773
2,040_KAN_langevents_01_PL2017,Pic_Perc, 134,-0.149724
2,040_KAN_langevents_01_PL2017,Sent_Sem, 134,0.006570
2,040_KAN_langevents_01_PL2017,Sent_Perc, 134,-0.289314
2,057_KAN_langevents_02_PL2017,Pic_Sem, 134,0.071624
2,057_KAN_langevents_02_PL2017,Pic_Perc, 134,-1.164349
2,057_KAN_langevents_02_PL2017,Sent_Sem, 134,1.926987
2,057_KAN_langevents_02_PL2017,Sent_Perc, 134,-0.106779
2,059_KAN_langevents_04_PL2017,Pic_Sem, 134,1.144800
2,059_KAN_langevents_04_PL2017,Pic_Perc, 134,-0.107167
2,059_KAN_langevents_04_PL2017,Sent_Sem, 134,1.514630
2,059_KAN_langevents_04_PL2017,Sent_Perc, 134,0.415061
2,056_KAN_langevents_05_PL2017,Pic_Sem, 134,1.153726
2,056_KAN_langevents_05_PL2017,Pic_Perc, 134,0.022974
2,056_KAN_langevents_05_PL2017,Sent_Sem, 134,1.972716
2,056_KAN_langevents_05_PL2017,Sent_Perc, 134,0.235543
2,067_KAN_langevents_06_PL2017,Pic_Sem, 134,0.502638
2,067_KAN_langevents_06_PL2017,Pic_Perc, 134,0.325974
2,067_KAN_langevents_06_PL2017,Sent_Sem, 134,1.029361
2,067_KAN_langevents_06_PL2017,Sent_Perc, 134,0.374311
2,068_KAN_langevents_07_PL2017,Pic_Sem, 134,0.808955
2,068_KAN_langevents_07_PL2017,Pic_Perc, 134,0.133948
2,068_KAN_langevents_07_PL2017,Sent_Sem, 134,0.904196
2,068_KAN_langevents_07_PL2017,Sent_Perc, 134,-0.310502
2,019_KAN_langevents_08_PL2017,Pic_Sem, 134,-0.148200
2,019_KAN_langevents_08_PL2017,Pic_Perc, 134,-0.033760
2,019_KAN_langevents_08_PL2017,Sent_Sem, 134,-0.102414
2,019_KAN_langevents_08_PL2017,Sent_Perc, 134,-0.096914
2,070_KAN_langevents_11_PL2017,Pic_Sem, 134,1.038656
2,070_KAN_langevents_11_PL2017,Pic_Perc, 134,-0.089012
2,070_KAN_langevents_11_PL2017,Sent_Sem, 134,2.202827
2,070_KAN_langevents_11_PL2017,Sent_Perc, 134,-0.053286
2,087_KAN_langevents_12_PL2017,Pic_Sem, 134,0.448217
2,087_KAN_langevents_12_PL2017,Pic_Perc, 134,0.407771
2,087_KAN_langevents_12_PL2017,Sent_Sem, 134,0.797348
2,087_KAN_langevents_12_PL2017,Sent_Perc, 134,0.138922
2,078_KAN_langevents_13_PL2017,Pic_Sem, 134,0.127491
2,078_KAN_langevents_13_PL2017,Pic_Perc, 134,-0.062551
2,078_KAN_langevents_13_PL2017,Sent_Sem, 134,0.252156
2,078_KAN_langevents_13_PL2017,Sent_Perc, 134,0.007071
2,089_KAN_langevents_15_PL2017,Pic_Sem, 134,0.975320
2,089_KAN_langevents_15_PL2017,Pic_Perc, 134,1.259313
2,089_KAN_langevents_15_PL2017,Sent_Sem, 134,0.885964
2,089_KAN_langevents_15_PL2017,Sent_Perc, 134,0.818977
2,076_KAN_langevents_16_PL2017,Pic_Sem, 134,1.617745
2,076_KAN_langevents_16_PL2017,Pic_Perc, 134,1.020134
2,076_KAN_langevents_16_PL2017,Sent_Sem, 134,1.695814
2,076_KAN_langevents_16_PL2017,Sent_Perc, 134,0.746576
3,040_KAN_langevents_01_PL2017,Pic_Sem, 48,1.542643
3,040_KAN_langevents_01_PL2017,Pic_Perc, 48,0.786090
3,040_KAN_langevents_01_PL2017,Sent_Sem, 48,1.516447
3,040_KAN_langevents_01_PL2017,Sent_Perc, 48,0.997144
3,057_KAN_langevents_02_PL2017,Pic_Sem, 48,0.517071
3,057_KAN_langevents_02_PL2017,Pic_Perc, 48,0.222556
3,057_KAN_langevents_02_PL2017,Sent_Sem, 48,0.893415
3,057_KAN_langevents_02_PL2017,Sent_Perc, 48,0.304365
3,059_KAN_langevents_04_PL2017,Pic_Sem, 48,2.213602
3,059_KAN_langevents_04_PL2017,Pic_Perc, 48,0.361451
3,059_KAN_langevents_04_PL2017,Sent_Sem, 48,2.280371
3,059_KAN_langevents_04_PL2017,Sent_Perc, 48,0.770695
3,056_KAN_langevents_05_PL2017,Pic_Sem, 48,2.131829
3,056_KAN_langevents_05_PL2017,Pic_Perc, 48,1.219554
3,056_KAN_langevents_05_PL2017,Sent_Sem, 48,2.622093
3,056_KAN_langevents_05_PL2017,Sent_Perc, 48,1.278349
3,067_KAN_langevents_06_PL2017,Pic_Sem, 48,1.200970
3,067_KAN_langevents_06_PL2017,Pic_Perc, 48,1.011039
3,067_KAN_langevents_06_PL2017,Sent_Sem, 48,1.715677
3,067_KAN_langevents_06_PL2017,Sent_Perc, 48,0.474753
3,068_KAN_langevents_07_PL2017,Pic_Sem, 48,1.229942
3,068_KAN_langevents_07_PL2017,Pic_Perc, 48,1.197022
3,068_KAN_langevents_07_PL2017,Sent_Sem, 48,1.958335
3,068_KAN_langevents_07_PL2017,Sent_Perc, 48,0.948770
3,019_KAN_langevents_08_PL2017,Pic_Sem, 48,-0.357530
3,019_KAN_langevents_08_PL2017,Pic_Perc, 48,0.316600
3,019_KAN_langevents_08_PL2017,Sent_Sem, 48,-0.444772
3,019_KAN_langevents_08_PL2017,Sent_Perc, 48,0.056456
3,070_KAN_langevents_11_PL2017,Pic_Sem, 48,3.911594
3,070_KAN_langevents_11_PL2017,Pic_Perc, 48,1.313842
3,070_KAN_langevents_11_PL2017,Sent_Sem, 48,4.984857
3,070_KAN_langevents_11_PL2017,Sent_Perc, 48,1.268156
3,087_KAN_langevents_12_PL2017,Pic_Sem, 48,0.867190
3,087_KAN_langevents_12_PL2017,Pic_Perc, 48,0.772773
3,087_KAN_langevents_12_PL2017,Sent_Sem, 48,1.273929
