ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 85,2.838082
1,040_KAN_langevents_01_PL2017,N, 85,2.652163
1,040_KAN_langevents_01_PL2017,W, 85,2.714945
1,057_KAN_langevents_02_PL2017,S, 85,1.680581
1,057_KAN_langevents_02_PL2017,N, 85,1.908573
1,057_KAN_langevents_02_PL2017,W, 85,4.179090
1,059_KAN_langevents_04_PL2017,S, 85,1.807883
1,059_KAN_langevents_04_PL2017,N, 85,0.963446
1,059_KAN_langevents_04_PL2017,W, 85,1.441115
1,056_KAN_langevents_05_PL2017,S, 85,0.745505
1,056_KAN_langevents_05_PL2017,N, 85,0.258349
1,056_KAN_langevents_05_PL2017,W, 85,0.887900
1,067_KAN_langevents_06_PL2017,S, 85,0.198053
1,067_KAN_langevents_06_PL2017,N, 85,0.116542
1,067_KAN_langevents_06_PL2017,W, 85,-0.731860
1,068_KAN_langevents_07_PL2017,S, 85,1.804721
1,068_KAN_langevents_07_PL2017,N, 85,1.936145
1,068_KAN_langevents_07_PL2017,W, 85,2.032177
1,019_KAN_langevents_08_PL2017,S, 85,-0.338618
1,019_KAN_langevents_08_PL2017,N, 85,-0.043263
1,019_KAN_langevents_08_PL2017,W, 85,-0.280508
1,070_KAN_langevents_11_PL2017,S, 85,1.342700
1,070_KAN_langevents_11_PL2017,N, 85,0.972007
1,070_KAN_langevents_11_PL2017,W, 85,0.955007
1,087_KAN_langevents_12_PL2017,S, 85,1.335433
1,087_KAN_langevents_12_PL2017,N, 85,1.694546
1,087_KAN_langevents_12_PL2017,W, 85,1.243988
1,078_KAN_langevents_13_PL2017,S, 85,0.842067
1,078_KAN_langevents_13_PL2017,N, 85,0.781250
1,078_KAN_langevents_13_PL2017,W, 85,0.997050
1,089_KAN_langevents_15_PL2017,S, 85,0.147421
1,089_KAN_langevents_15_PL2017,N, 85,-0.066783
1,089_KAN_langevents_15_PL2017,W, 85,-0.008091
1,076_KAN_langevents_16_PL2017,S, 85,0.752149
1,076_KAN_langevents_16_PL2017,N, 85,0.585294
1,076_KAN_langevents_16_PL2017,W, 85,0.437392
2,040_KAN_langevents_01_PL2017,S, 134,0.637687
2,040_KAN_langevents_01_PL2017,N, 134,0.341276
2,040_KAN_langevents_01_PL2017,W, 134,0.428735
2,057_KAN_langevents_02_PL2017,S, 134,2.443753
2,057_KAN_langevents_02_PL2017,N, 134,1.980121
2,057_KAN_langevents_02_PL2017,W, 134,3.180901
2,059_KAN_langevents_04_PL2017,S, 134,1.823037
2,059_KAN_langevents_04_PL2017,N, 134,1.177464
2,059_KAN_langevents_04_PL2017,W, 134,1.578977
2,056_KAN_langevents_05_PL2017,S, 134,0.568040
2,056_KAN_langevents_05_PL2017,N, 134,-0.455815
2,056_KAN_langevents_05_PL2017,W, 134,0.199927
2,067_KAN_langevents_06_PL2017,S, 134,1.114216
2,067_KAN_langevents_06_PL2017,N, 134,0.432948
2,067_KAN_langevents_06_PL2017,W, 134,0.825604
2,068_KAN_langevents_07_PL2017,S, 134,0.400880
2,068_KAN_langevents_07_PL2017,N, 134,0.337621
2,068_KAN_langevents_07_PL2017,W, 134,0.455432
2,019_KAN_langevents_08_PL2017,S, 134,-0.148147
2,019_KAN_langevents_08_PL2017,N, 134,-0.168626
2,019_KAN_langevents_08_PL2017,W, 134,-0.203318
2,070_KAN_langevents_11_PL2017,S, 134,2.166332
2,070_KAN_langevents_11_PL2017,N, 134,1.328963
2,070_KAN_langevents_11_PL2017,W, 134,1.934765
2,087_KAN_langevents_12_PL2017,S, 134,0.548913
2,087_KAN_langevents_12_PL2017,N, 134,0.132404
2,087_KAN_langevents_12_PL2017,W, 134,0.311874
2,078_KAN_langevents_13_PL2017,S, 134,0.449049
2,078_KAN_langevents_13_PL2017,N, 134,0.232108
2,078_KAN_langevents_13_PL2017,W, 134,0.430763
2,089_KAN_langevents_15_PL2017,S, 134,0.269845
2,089_KAN_langevents_15_PL2017,N, 134,-0.072594
2,089_KAN_langevents_15_PL2017,W, 134,0.056377
2,076_KAN_langevents_16_PL2017,S, 134,0.781834
2,076_KAN_langevents_16_PL2017,N, 134,0.542015
2,076_KAN_langevents_16_PL2017,W, 134,0.297138
3,040_KAN_langevents_01_PL2017,S, 48,1.241650
3,040_KAN_langevents_01_PL2017,N, 48,1.056100
3,040_KAN_langevents_01_PL2017,W, 48,1.242691
3,057_KAN_langevents_02_PL2017,S, 48,0.930563
3,057_KAN_langevents_02_PL2017,N, 48,1.448689
3,057_KAN_langevents_02_PL2017,W, 48,3.339743
3,059_KAN_langevents_04_PL2017,S, 48,1.539620
3,059_KAN_langevents_04_PL2017,N, 48,1.064384
3,059_KAN_langevents_04_PL2017,W, 48,1.323139
3,056_KAN_langevents_05_PL2017,S, 48,1.431245
3,056_KAN_langevents_05_PL2017,N, 48,2.077689
3,056_KAN_langevents_05_PL2017,W, 48,1.881005
3,067_KAN_langevents_06_PL2017,S, 48,0.858767
3,067_KAN_langevents_06_PL2017,N, 48,0.408263
3,067_KAN_langevents_06_PL2017,W, 48,0.168808
3,068_KAN_langevents_07_PL2017,S, 48,1.460850
3,068_KAN_langevents_07_PL2017,N, 48,1.451081
3,068_KAN_langevents_07_PL2017,W, 48,1.704441
3,019_KAN_langevents_08_PL2017,S, 48,1.356256
3,019_KAN_langevents_08_PL2017,N, 48,1.108604
3,019_KAN_langevents_08_PL2017,W, 48,1.156787
3,070_KAN_langevents_11_PL2017,S, 48,3.154096
3,070_KAN_langevents_11_PL2017,N, 48,2.914614
3,070_KAN_langevents_11_PL2017,W, 48,3.416884
3,087_KAN_langevents_12_PL2017,S, 48,0.639187
3,087_KAN_langevents_12_PL2017,N, 48,0.832631
3,087_KAN_langevents_12_PL2017,W, 48,0.553747
3,078_KAN_langevents_13_PL2017,S, 48,1.207652
3,078_KAN_langevents_13_PL2017,N, 48,1.152422
3,078_KAN_langevents_13_PL2017,W, 48,1.222291
3,089_KAN_langevents_15_PL2017,S, 48,0.217624
3,089_KAN_langevents_15_PL2017,N, 48,0.200561
3,089_KAN_langevents_15_PL2017,W, 48,0.174021
3,076_KAN_langevents_16_PL2017,S, 48,1.365551
3,076_KAN_langevents_16_PL2017,N, 48,0.969121
3,076_KAN_langevents_16_PL2017,W, 48,0.786456
4,040_KAN_langevents_01_PL2017,S, 161,0.004835
4,040_KAN_langevents_01_PL2017,N, 161,-0.304354
4,040_KAN_langevents_01_PL2017,W, 161,-0.173191
4,057_KAN_langevents_02_PL2017,S, 161,1.643471
4,057_KAN_langevents_02_PL2017,N, 161,-0.433869
4,057_KAN_langevents_02_PL2017,W, 161,2.312758
4,059_KAN_langevents_04_PL2017,S, 161,0.962605
4,059_KAN_langevents_04_PL2017,N, 161,0.171233
4,059_KAN_langevents_04_PL2017,W, 161,0.682816
4,056_KAN_langevents_05_PL2017,S, 161,0.359681
4,056_KAN_langevents_05_PL2017,N, 161,-0.949706
4,056_KAN_langevents_05_PL2017,W, 161,-0.276003
4,067_KAN_langevents_06_PL2017,S, 161,-0.081423
4,067_KAN_langevents_06_PL2017,N, 161,-0.425818
4,067_KAN_langevents_06_PL2017,W, 161,-0.117749
4,068_KAN_langevents_07_PL2017,S, 161,0.636305
4,068_KAN_langevents_07_PL2017,N, 161,-0.077511
4,068_KAN_langevents_07_PL2017,W, 161,0.334209
4,019_KAN_langevents_08_PL2017,S, 161,-0.506834
4,019_KAN_langevents_08_PL2017,N, 161,-0.360609
4,019_KAN_langevents_08_PL2017,W, 161,-0.517379
