ROI,Subject,Effect, LocalizerSize,EffectSize
LIFGorb,040_KAN_langevents_01_PL2017,S, 37,1.210743
LIFGorb,040_KAN_langevents_01_PL2017,N, 37,1.122510
LIFGorb,057_KAN_langevents_02_PL2017,S, 37,3.643191
LIFGorb,057_KAN_langevents_02_PL2017,N, 37,1.147363
LIFGorb,059_KAN_langevents_04_PL2017,S, 37,1.119816
LIFGorb,059_KAN_langevents_04_PL2017,N, 37,0.715015
LIFGorb,056_KAN_langevents_05_PL2017,S, 37,-0.291834
LIFGorb,056_KAN_langevents_05_PL2017,N, 37,-0.210698
LIFGorb,067_KAN_langevents_06_PL2017,S, 37,-0.514605
LIFGorb,067_KAN_langevents_06_PL2017,N, 37,-0.843941
LIFGorb,068_KAN_langevents_07_PL2017,S, 37,0.021628
LIFGorb,068_KAN_langevents_07_PL2017,N, 37,0.215242
LIFGorb,019_KAN_langevents_08_PL2017,S, 37,2.691250
LIFGorb,019_KAN_langevents_08_PL2017,N, 37,0.931156
LIFGorb,069_KAN_langevents_10_PL2017,S, 37,0.788323
LIFGorb,069_KAN_langevents_10_PL2017,N, 37,0.986344
LIFGorb,070_KAN_langevents_11_PL2017,S, 37,2.546923
LIFGorb,070_KAN_langevents_11_PL2017,N, 37,2.302256
LIFGorb,087_KAN_langevents_12_PL2017,S, 37,1.832284
LIFGorb,087_KAN_langevents_12_PL2017,N, 37,0.573510
LIFGorb,078_KAN_langevents_13_PL2017,S, 37,0.792314
LIFGorb,078_KAN_langevents_13_PL2017,N, 37,0.125659
LIFGorb,088_KAN_langevents_14_PL2017,S, 37,2.574361
LIFGorb,088_KAN_langevents_14_PL2017,N, 37,1.138400
LIFGorb,089_KAN_langevents_15_PL2017,S, 37,3.378808
LIFGorb,089_KAN_langevents_15_PL2017,N, 37,0.817318
LIFGorb,076_KAN_langevents_16_PL2017,S, 37,-0.136448
LIFGorb,076_KAN_langevents_16_PL2017,N, 37,-1.675677
LIFG,040_KAN_langevents_01_PL2017,S, 74,1.139712
LIFG,040_KAN_langevents_01_PL2017,N, 74,0.633924
LIFG,057_KAN_langevents_02_PL2017,S, 74,2.412216
LIFG,057_KAN_langevents_02_PL2017,N, 74,0.891046
LIFG,059_KAN_langevents_04_PL2017,S, 74,0.473138
LIFG,059_KAN_langevents_04_PL2017,N, 74,0.144817
LIFG,056_KAN_langevents_05_PL2017,S, 74,0.063271
LIFG,056_KAN_langevents_05_PL2017,N, 74,-0.446193
LIFG,067_KAN_langevents_06_PL2017,S, 74,0.390323
LIFG,067_KAN_langevents_06_PL2017,N, 74,-0.130894
LIFG,068_KAN_langevents_07_PL2017,S, 74,0.624664
LIFG,068_KAN_langevents_07_PL2017,N, 74,0.171541
LIFG,019_KAN_langevents_08_PL2017,S, 74,2.628248
LIFG,019_KAN_langevents_08_PL2017,N, 74,1.233250
LIFG,069_KAN_langevents_10_PL2017,S, 74,0.433563
LIFG,069_KAN_langevents_10_PL2017,N, 74,0.930783
LIFG,070_KAN_langevents_11_PL2017,S, 74,2.239805
LIFG,070_KAN_langevents_11_PL2017,N, 74,0.604635
LIFG,087_KAN_langevents_12_PL2017,S, 74,1.763127
LIFG,087_KAN_langevents_12_PL2017,N, 74,1.037551
LIFG,078_KAN_langevents_13_PL2017,S, 74,0.577330
LIFG,078_KAN_langevents_13_PL2017,N, 74,0.173833
LIFG,088_KAN_langevents_14_PL2017,S, 74,2.720090
LIFG,088_KAN_langevents_14_PL2017,N, 74,1.552151
LIFG,089_KAN_langevents_15_PL2017,S, 74,0.992515
LIFG,089_KAN_langevents_15_PL2017,N, 74,-0.462165
LIFG,076_KAN_langevents_16_PL2017,S, 74,0.703394
LIFG,076_KAN_langevents_16_PL2017,N, 74,-0.266271
LMFG,040_KAN_langevents_01_PL2017,S, 46,0.777222
LMFG,040_KAN_langevents_01_PL2017,N, 46,1.224594
LMFG,057_KAN_langevents_02_PL2017,S, 46,1.926929
LMFG,057_KAN_langevents_02_PL2017,N, 46,0.003472
LMFG,059_KAN_langevents_04_PL2017,S, 46,1.210473
LMFG,059_KAN_langevents_04_PL2017,N, 46,0.660634
LMFG,056_KAN_langevents_05_PL2017,S, 46,0.294109
LMFG,056_KAN_langevents_05_PL2017,N, 46,0.286100
LMFG,067_KAN_langevents_06_PL2017,S, 46,1.540824
LMFG,067_KAN_langevents_06_PL2017,N, 46,0.056179
