ROI,Subject,Effect, LocalizerSize,EffectSize
LIFGorb,040_KAN_langevents_01_PL2017,Sem_photo, 37,1.247864
LIFGorb,040_KAN_langevents_01_PL2017,Perc_photo, 37,-0.064451
LIFGorb,040_KAN_langevents_01_PL2017,Sem_sent, 37,1.975099
LIFGorb,040_KAN_langevents_01_PL2017,Perc_sent, 37,-0.259612
LIFGorb,040_KAN_langevents_01_PL2017,Sem-Perc, 37,1.773513
LIFGorb,040_KAN_langevents_01_PL2017,Perc-Sem, 37,-1.773513
LIFGorb,040_KAN_langevents_01_PL2017,photo-sent, 37,-0.266037
LIFGorb,040_KAN_langevents_01_PL2017,sent-photo, 37,0.266037
LIFGorb,057_KAN_langevents_02_PL2017,Sem_photo, 37,1.101615
LIFGorb,057_KAN_langevents_02_PL2017,Perc_photo, 37,-1.637760
LIFGorb,057_KAN_langevents_02_PL2017,Sem_sent, 37,1.260608
LIFGorb,057_KAN_langevents_02_PL2017,Perc_sent, 37,-0.413737
LIFGorb,057_KAN_langevents_02_PL2017,Sem-Perc, 37,2.206860
LIFGorb,057_KAN_langevents_02_PL2017,Perc-Sem, 37,-2.206860
LIFGorb,057_KAN_langevents_02_PL2017,photo-sent, 37,-0.691508
LIFGorb,057_KAN_langevents_02_PL2017,sent-photo, 37,0.691508
LIFGorb,059_KAN_langevents_04_PL2017,Sem_photo, 37,0.803640
LIFGorb,059_KAN_langevents_04_PL2017,Perc_photo, 37,-0.495152
LIFGorb,059_KAN_langevents_04_PL2017,Sem_sent, 37,0.616182
LIFGorb,059_KAN_langevents_04_PL2017,Perc_sent, 37,-0.065094
LIFGorb,059_KAN_langevents_04_PL2017,Sem-Perc, 37,0.990034
LIFGorb,059_KAN_langevents_04_PL2017,Perc-Sem, 37,-0.990034
LIFGorb,059_KAN_langevents_04_PL2017,photo-sent, 37,-0.121300
LIFGorb,059_KAN_langevents_04_PL2017,sent-photo, 37,0.121300
LIFGorb,056_KAN_langevents_05_PL2017,Sem_photo, 37,0.624753
LIFGorb,056_KAN_langevents_05_PL2017,Perc_photo, 37,-0.163038
LIFGorb,056_KAN_langevents_05_PL2017,Sem_sent, 37,0.776849
LIFGorb,056_KAN_langevents_05_PL2017,Perc_sent, 37,-0.244271
LIFGorb,056_KAN_langevents_05_PL2017,Sem-Perc, 37,0.904455
LIFGorb,056_KAN_langevents_05_PL2017,Perc-Sem, 37,-0.904455
LIFGorb,056_KAN_langevents_05_PL2017,photo-sent, 37,-0.035431
LIFGorb,056_KAN_langevents_05_PL2017,sent-photo, 37,0.035431
LIFGorb,067_KAN_langevents_06_PL2017,Sem_photo, 37,1.281816
LIFGorb,067_KAN_langevents_06_PL2017,Perc_photo, 37,0.957988
LIFGorb,067_KAN_langevents_06_PL2017,Sem_sent, 37,1.198672
