ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 294,-0.790352
1,040_KAN_langevents_01_PL2017,Perc_photo, 294,-0.583390
1,040_KAN_langevents_01_PL2017,Sem_sent, 294,-0.071971
1,040_KAN_langevents_01_PL2017,Perc_sent, 294,-0.553050
1,040_KAN_langevents_01_PL2017,Sem-Perc, 294,0.137058
1,040_KAN_langevents_01_PL2017,Perc-Sem, 294,-0.137058
1,040_KAN_langevents_01_PL2017,photo-sent, 294,-0.374361
1,040_KAN_langevents_01_PL2017,sent-photo, 294,0.374361
1,057_KAN_langevents_02_PL2017,Sem_photo, 294,-0.112029
1,057_KAN_langevents_02_PL2017,Perc_photo, 294,-0.872383
1,057_KAN_langevents_02_PL2017,Sem_sent, 294,2.008173
1,057_KAN_langevents_02_PL2017,Perc_sent, 294,0.047424
1,057_KAN_langevents_02_PL2017,Sem-Perc, 294,1.360552
1,057_KAN_langevents_02_PL2017,Perc-Sem, 294,-1.360552
1,057_KAN_langevents_02_PL2017,photo-sent, 294,-1.520005
1,057_KAN_langevents_02_PL2017,sent-photo, 294,1.520005
1,059_KAN_langevents_04_PL2017,Sem_photo, 294,0.626395
1,059_KAN_langevents_04_PL2017,Perc_photo, 294,-0.127277
1,059_KAN_langevents_04_PL2017,Sem_sent, 294,1.173089
1,059_KAN_langevents_04_PL2017,Perc_sent, 294,0.500601
1,059_KAN_langevents_04_PL2017,Sem-Perc, 294,0.713080
1,059_KAN_langevents_04_PL2017,Perc-Sem, 294,-0.713080
1,059_KAN_langevents_04_PL2017,photo-sent, 294,-0.587287
1,059_KAN_langevents_04_PL2017,sent-photo, 294,0.587287
1,056_KAN_langevents_05_PL2017,Sem_photo, 294,0.982885
1,056_KAN_langevents_05_PL2017,Perc_photo, 294,0.360437
1,056_KAN_langevents_05_PL2017,Sem_sent, 294,1.817204
1,056_KAN_langevents_05_PL2017,Perc_sent, 294,0.313084
1,056_KAN_langevents_05_PL2017,Sem-Perc, 294,1.063284
1,056_KAN_langevents_05_PL2017,Perc-Sem, 294,-1.063284
1,056_KAN_langevents_05_PL2017,photo-sent, 294,-0.393483
1,056_KAN_langevents_05_PL2017,sent-photo, 294,0.393483
1,067_KAN_langevents_06_PL2017,Sem_photo, 294,0.286829
1,067_KAN_langevents_06_PL2017,Perc_photo, 294,0.192545
1,067_KAN_langevents_06_PL2017,Sem_sent, 294,0.863411
1,067_KAN_langevents_06_PL2017,Perc_sent, 294,0.297368
1,067_KAN_langevents_06_PL2017,Sem-Perc, 294,0.330163
1,067_KAN_langevents_06_PL2017,Perc-Sem, 294,-0.330163
1,067_KAN_langevents_06_PL2017,photo-sent, 294,-0.340703
1,067_KAN_langevents_06_PL2017,sent-photo, 294,0.340703
1,068_KAN_langevents_07_PL2017,Sem_photo, 294,0.328231
1,068_KAN_langevents_07_PL2017,Perc_photo, 294,-0.182709
1,068_KAN_langevents_07_PL2017,Sem_sent, 294,1.380364
1,068_KAN_langevents_07_PL2017,Perc_sent, 294,0.175038
1,068_KAN_langevents_07_PL2017,Sem-Perc, 294,0.858133
