ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 294,-0.738663
1,040_KAN_langevents_01_PL2017,Perc_photo, 294,-0.427670
1,040_KAN_langevents_01_PL2017,Sem_sent, 294,-0.138603
1,040_KAN_langevents_01_PL2017,Perc_sent, 294,-0.335443
1,040_KAN_langevents_01_PL2017,Sem-Perc, 294,-0.057076
1,040_KAN_langevents_01_PL2017,Perc-Sem, 294,0.057076
1,040_KAN_langevents_01_PL2017,photo-sent, 294,-0.346144
1,040_KAN_langevents_01_PL2017,sent-photo, 294,0.346144
1,057_KAN_langevents_02_PL2017,Sem_photo, 294,-0.156567
1,057_KAN_langevents_02_PL2017,Perc_photo, 294,-0.296812
1,057_KAN_langevents_02_PL2017,Sem_sent, 294,0.546530
1,057_KAN_langevents_02_PL2017,Perc_sent, 294,0.044379
1,057_KAN_langevents_02_PL2017,Sem-Perc, 294,0.321198
1,057_KAN_langevents_02_PL2017,Perc-Sem, 294,-0.321198
1,057_KAN_langevents_02_PL2017,photo-sent, 294,-0.522144
1,057_KAN_langevents_02_PL2017,sent-photo, 294,0.522144
1,059_KAN_langevents_04_PL2017,Sem_photo, 294,0.277516
1,059_KAN_langevents_04_PL2017,Perc_photo, 294,0.048975
1,059_KAN_langevents_04_PL2017,Sem_sent, 294,1.097624
1,059_KAN_langevents_04_PL2017,Perc_sent, 294,0.677933
1,059_KAN_langevents_04_PL2017,Sem-Perc, 294,0.324116
1,059_KAN_langevents_04_PL2017,Perc-Sem, 294,-0.324116
1,059_KAN_langevents_04_PL2017,photo-sent, 294,-0.724533
1,059_KAN_langevents_04_PL2017,sent-photo, 294,0.724533
1,056_KAN_langevents_05_PL2017,Sem_photo, 294,0.797714
1,056_KAN_langevents_05_PL2017,Perc_photo, 294,-0.001466
1,056_KAN_langevents_05_PL2017,Sem_sent, 294,1.710864
1,056_KAN_langevents_05_PL2017,Perc_sent, 294,0.055074
1,056_KAN_langevents_05_PL2017,Sem-Perc, 294,1.227485
1,056_KAN_langevents_05_PL2017,Perc-Sem, 294,-1.227485
1,056_KAN_langevents_05_PL2017,photo-sent, 294,-0.484845
1,056_KAN_langevents_05_PL2017,sent-photo, 294,0.484845
1,067_KAN_langevents_06_PL2017,Sem_photo, 294,0.534930
1,067_KAN_langevents_06_PL2017,Perc_photo, 294,0.239533
1,067_KAN_langevents_06_PL2017,Sem_sent, 294,0.958745
1,067_KAN_langevents_06_PL2017,Perc_sent, 294,0.301551
1,067_KAN_langevents_06_PL2017,Sem-Perc, 294,0.476296
1,067_KAN_langevents_06_PL2017,Perc-Sem, 294,-0.476296
1,067_KAN_langevents_06_PL2017,photo-sent, 294,-0.242917
1,067_KAN_langevents_06_PL2017,sent-photo, 294,0.242917
1,068_KAN_langevents_07_PL2017,Sem_photo, 294,-0.361404
1,068_KAN_langevents_07_PL2017,Perc_photo, 294,-0.216381
1,068_KAN_langevents_07_PL2017,Sem_sent, 294,0.617103
1,068_KAN_langevents_07_PL2017,Perc_sent, 294,-0.358885
1,068_KAN_langevents_07_PL2017,Sem-Perc, 294,0.415483
1,068_KAN_langevents_07_PL2017,Perc-Sem, 294,-0.415483
1,068_KAN_langevents_07_PL2017,photo-sent, 294,-0.418002
1,068_KAN_langevents_07_PL2017,sent-photo, 294,0.418002
1,019_KAN_langevents_08_PL2017,Sem_photo, 294,0.010208
1,019_KAN_langevents_08_PL2017,Perc_photo, 294,0.096373
1,019_KAN_langevents_08_PL2017,Sem_sent, 294,-0.046288
1,019_KAN_langevents_08_PL2017,Perc_sent, 294,0.156112
1,019_KAN_langevents_08_PL2017,Sem-Perc, 294,-0.144282
1,019_KAN_langevents_08_PL2017,Perc-Sem, 294,0.144282
1,019_KAN_langevents_08_PL2017,photo-sent, 294,-0.001621
1,019_KAN_langevents_08_PL2017,sent-photo, 294,0.001621
1,069_KAN_langevents_10_PL2017,Sem_photo, 294,0.301506
1,069_KAN_langevents_10_PL2017,Perc_photo, 294,0.169859
1,069_KAN_langevents_10_PL2017,Sem_sent, 294,0.834203
1,069_KAN_langevents_10_PL2017,Perc_sent, 294,0.349897
1,069_KAN_langevents_10_PL2017,Sem-Perc, 294,0.307976
1,069_KAN_langevents_10_PL2017,Perc-Sem, 294,-0.307976
1,069_KAN_langevents_10_PL2017,photo-sent, 294,-0.356368
1,069_KAN_langevents_10_PL2017,sent-photo, 294,0.356368
1,070_KAN_langevents_11_PL2017,Sem_photo, 294,1.219871
1,070_KAN_langevents_11_PL2017,Perc_photo, 294,0.742623
1,070_KAN_langevents_11_PL2017,Sem_sent, 294,2.252781
1,070_KAN_langevents_11_PL2017,Perc_sent, 294,0.804585
1,070_KAN_langevents_11_PL2017,Sem-Perc, 294,0.962722
1,070_KAN_langevents_11_PL2017,Perc-Sem, 294,-0.962722
1,070_KAN_langevents_11_PL2017,photo-sent, 294,-0.547436
1,070_KAN_langevents_11_PL2017,sent-photo, 294,0.547436
1,087_KAN_langevents_12_PL2017,Sem_photo, 294,0.650981
1,087_KAN_langevents_12_PL2017,Perc_photo, 294,0.477848
1,087_KAN_langevents_12_PL2017,Sem_sent, 294,1.466855
1,087_KAN_langevents_12_PL2017,Perc_sent, 294,0.602250
1,087_KAN_langevents_12_PL2017,Sem-Perc, 294,0.518869
1,087_KAN_langevents_12_PL2017,Perc-Sem, 294,-0.518869
1,087_KAN_langevents_12_PL2017,photo-sent, 294,-0.470138
1,087_KAN_langevents_12_PL2017,sent-photo, 294,0.470138
1,078_KAN_langevents_13_PL2017,Sem_photo, 294,-0.278474
1,078_KAN_langevents_13_PL2017,Perc_photo, 294,-0.166936
1,078_KAN_langevents_13_PL2017,Sem_sent, 294,0.152379
1,078_KAN_langevents_13_PL2017,Perc_sent, 294,0.190441
1,078_KAN_langevents_13_PL2017,Sem-Perc, 294,-0.074800
1,078_KAN_langevents_13_PL2017,Perc-Sem, 294,0.074800
1,078_KAN_langevents_13_PL2017,photo-sent, 294,-0.394115
1,078_KAN_langevents_13_PL2017,sent-photo, 294,0.394115
1,088_KAN_langevents_14_PL2017,Sem_photo, 294,0.192411
1,088_KAN_langevents_14_PL2017,Perc_photo, 294,-0.086188
1,088_KAN_langevents_14_PL2017,Sem_sent, 294,0.843843
1,088_KAN_langevents_14_PL2017,Perc_sent, 294,0.233364
1,088_KAN_langevents_14_PL2017,Sem-Perc, 294,0.444539
1,088_KAN_langevents_14_PL2017,Perc-Sem, 294,-0.444539
1,088_KAN_langevents_14_PL2017,photo-sent, 294,-0.485492
1,088_KAN_langevents_14_PL2017,sent-photo, 294,0.485492
1,089_KAN_langevents_15_PL2017,Sem_photo, 294,-0.056570
1,089_KAN_langevents_15_PL2017,Perc_photo, 294,0.186570
1,089_KAN_langevents_15_PL2017,Sem_sent, 294,0.902686
1,089_KAN_langevents_15_PL2017,Perc_sent, 294,0.824893
1,089_KAN_langevents_15_PL2017,Sem-Perc, 294,-0.082673
1,089_KAN_langevents_15_PL2017,Perc-Sem, 294,0.082673
1,089_KAN_langevents_15_PL2017,photo-sent, 294,-0.798790
1,089_KAN_langevents_15_PL2017,sent-photo, 294,0.798790
1,076_KAN_langevents_16_PL2017,Sem_photo, 294,-0.895157
1,076_KAN_langevents_16_PL2017,Perc_photo, 294,0.573719
1,076_KAN_langevents_16_PL2017,Sem_sent, 294,0.150886
1,076_KAN_langevents_16_PL2017,Perc_sent, 294,0.310682
1,076_KAN_langevents_16_PL2017,Sem-Perc, 294,-0.814336
1,076_KAN_langevents_16_PL2017,Perc-Sem, 294,0.814336
1,076_KAN_langevents_16_PL2017,photo-sent, 294,-0.391503
1,076_KAN_langevents_16_PL2017,sent-photo, 294,0.391503
2,040_KAN_langevents_01_PL2017,Sem_photo, 162,-0.242530
2,040_KAN_langevents_01_PL2017,Perc_photo, 162,-0.141319
2,040_KAN_langevents_01_PL2017,Sem_sent, 162,-0.299378
2,040_KAN_langevents_01_PL2017,Perc_sent, 162,-0.208998
2,040_KAN_langevents_01_PL2017,Sem-Perc, 162,-0.095795
2,040_KAN_langevents_01_PL2017,Perc-Sem, 162,0.095795
2,040_KAN_langevents_01_PL2017,photo-sent, 162,0.062263
2,040_KAN_langevents_01_PL2017,sent-photo, 162,-0.062263
2,057_KAN_langevents_02_PL2017,Sem_photo, 162,-0.246268
2,057_KAN_langevents_02_PL2017,Perc_photo, 162,-0.235316
2,057_KAN_langevents_02_PL2017,Sem_sent, 162,0.174159
2,057_KAN_langevents_02_PL2017,Perc_sent, 162,-0.051761
2,057_KAN_langevents_02_PL2017,Sem-Perc, 162,0.107484
2,057_KAN_langevents_02_PL2017,Perc-Sem, 162,-0.107484
2,057_KAN_langevents_02_PL2017,photo-sent, 162,-0.301991
2,057_KAN_langevents_02_PL2017,sent-photo, 162,0.301991
2,059_KAN_langevents_04_PL2017,Sem_photo, 162,-0.241097
2,059_KAN_langevents_04_PL2017,Perc_photo, 162,-0.149838
2,059_KAN_langevents_04_PL2017,Sem_sent, 162,0.260501
2,059_KAN_langevents_04_PL2017,Perc_sent, 162,0.244380
2,059_KAN_langevents_04_PL2017,Sem-Perc, 162,-0.037569
