ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 294,1.106274
1,040_KAN_langevents_01_PL2017,N, 294,0.236862
1,057_KAN_langevents_02_PL2017,S, 294,1.702168
1,057_KAN_langevents_02_PL2017,N, 294,0.341626
1,059_KAN_langevents_04_PL2017,S, 294,1.374811
1,059_KAN_langevents_04_PL2017,N, 294,0.414008
1,056_KAN_langevents_05_PL2017,S, 294,1.202361
1,056_KAN_langevents_05_PL2017,N, 294,-0.016458
1,067_KAN_langevents_06_PL2017,S, 294,1.346260
1,067_KAN_langevents_06_PL2017,N, 294,0.580673
1,068_KAN_langevents_07_PL2017,S, 294,1.300179
1,068_KAN_langevents_07_PL2017,N, 294,0.234346
1,019_KAN_langevents_08_PL2017,S, 294,0.243518
1,019_KAN_langevents_08_PL2017,N, 294,-0.154082
1,069_KAN_langevents_10_PL2017,S, 294,0.605613
1,069_KAN_langevents_10_PL2017,N, 294,0.197124
1,070_KAN_langevents_11_PL2017,S, 294,2.270048
1,070_KAN_langevents_11_PL2017,N, 294,1.070091
1,087_KAN_langevents_12_PL2017,S, 294,1.238650
1,087_KAN_langevents_12_PL2017,N, 294,0.348328
1,078_KAN_langevents_13_PL2017,S, 294,0.942728
1,078_KAN_langevents_13_PL2017,N, 294,0.252318
1,088_KAN_langevents_14_PL2017,S, 294,1.441217
1,088_KAN_langevents_14_PL2017,N, 294,1.041772
1,089_KAN_langevents_15_PL2017,S, 294,1.180399
1,089_KAN_langevents_15_PL2017,N, 294,-0.072632
1,076_KAN_langevents_16_PL2017,S, 294,1.260589
1,076_KAN_langevents_16_PL2017,N, 294,0.313169
2,040_KAN_langevents_01_PL2017,S, 162,0.301458
2,040_KAN_langevents_01_PL2017,N, 162,0.088315
2,057_KAN_langevents_02_PL2017,S, 162,0.782333
2,057_KAN_langevents_02_PL2017,N, 162,0.037589
2,059_KAN_langevents_04_PL2017,S, 162,0.568136
2,059_KAN_langevents_04_PL2017,N, 162,-0.114953
2,056_KAN_langevents_05_PL2017,S, 162,0.506125
2,056_KAN_langevents_05_PL2017,N, 162,-0.172658
2,067_KAN_langevents_06_PL2017,S, 162,0.640792
2,067_KAN_langevents_06_PL2017,N, 162,0.282027
2,068_KAN_langevents_07_PL2017,S, 162,0.424866
2,068_KAN_langevents_07_PL2017,N, 162,-0.901043
2,019_KAN_langevents_08_PL2017,S, 162,0.377618
2,019_KAN_langevents_08_PL2017,N, 162,0.018517
2,069_KAN_langevents_10_PL2017,S, 162,0.203287
2,069_KAN_langevents_10_PL2017,N, 162,-0.545700
2,070_KAN_langevents_11_PL2017,S, 162,0.698060
2,070_KAN_langevents_11_PL2017,N, 162,-0.113675
2,087_KAN_langevents_12_PL2017,S, 162,0.975477
2,087_KAN_langevents_12_PL2017,N, 162,0.121959
2,078_KAN_langevents_13_PL2017,S, 162,0.774151
2,078_KAN_langevents_13_PL2017,N, 162,-0.417881
2,088_KAN_langevents_14_PL2017,S, 162,0.784988
2,088_KAN_langevents_14_PL2017,N, 162,0.263655
2,089_KAN_langevents_15_PL2017,S, 162,0.656734
2,089_KAN_langevents_15_PL2017,N, 162,-0.135820
2,076_KAN_langevents_16_PL2017,S, 162,0.739912
2,076_KAN_langevents_16_PL2017,N, 162,0.442986
3,040_KAN_langevents_01_PL2017,S, 64,-0.306767
3,040_KAN_langevents_01_PL2017,N, 64,-0.707344
3,057_KAN_langevents_02_PL2017,S, 64,0.551137
3,057_KAN_langevents_02_PL2017,N, 64,-0.886367
3,059_KAN_langevents_04_PL2017,S, 64,0.967431
3,059_KAN_langevents_04_PL2017,N, 64,0.101402
3,056_KAN_langevents_05_PL2017,S, 64,0.936774
3,056_KAN_langevents_05_PL2017,N, 64,-0.398880
3,067_KAN_langevents_06_PL2017,S, 64,0.108309
3,067_KAN_langevents_06_PL2017,N, 64,0.149327
3,068_KAN_langevents_07_PL2017,S, 64,0.788180
3,068_KAN_langevents_07_PL2017,N, 64,-0.897922
3,019_KAN_langevents_08_PL2017,S, 64,0.346777
3,019_KAN_langevents_08_PL2017,N, 64,-0.084600
3,069_KAN_langevents_10_PL2017,S, 64,-0.525403
3,069_KAN_langevents_10_PL2017,N, 64,-0.598094
3,070_KAN_langevents_11_PL2017,S, 64,0.764490
3,070_KAN_langevents_11_PL2017,N, 64,-0.102061
3,087_KAN_langevents_12_PL2017,S, 64,0.307643
3,087_KAN_langevents_12_PL2017,N, 64,-0.645296
3,078_KAN_langevents_13_PL2017,S, 64,0.434129
3,078_KAN_langevents_13_PL2017,N, 64,-0.544970
3,088_KAN_langevents_14_PL2017,S, 64,0.300740
3,088_KAN_langevents_14_PL2017,N, 64,0.559820
3,089_KAN_langevents_15_PL2017,S, 64,0.598753
3,089_KAN_langevents_15_PL2017,N, 64,-0.258276
3,076_KAN_langevents_16_PL2017,S, 64,0.935983
3,076_KAN_langevents_16_PL2017,N, 64,-0.223995
4,040_KAN_langevents_01_PL2017,S, 74,2.332619
4,040_KAN_langevents_01_PL2017,N, 74,1.379492
4,057_KAN_langevents_02_PL2017,S, 74,1.079693
4,057_KAN_langevents_02_PL2017,N, 74,0.755223
4,059_KAN_langevents_04_PL2017,S, 74,1.362826
4,059_KAN_langevents_04_PL2017,N, 74,0.302624
4,056_KAN_langevents_05_PL2017,S, 74,0.767358
4,056_KAN_langevents_05_PL2017,N, 74,0.171266
4,067_KAN_langevents_06_PL2017,S, 74,1.858291
4,067_KAN_langevents_06_PL2017,N, 74,0.840586
4,068_KAN_langevents_07_PL2017,S, 74,0.345908
4,068_KAN_langevents_07_PL2017,N, 74,-0.479472
4,019_KAN_langevents_08_PL2017,S, 74,0.831426
4,019_KAN_langevents_08_PL2017,N, 74,0.208574
4,069_KAN_langevents_10_PL2017,S, 74,1.572707
4,069_KAN_langevents_10_PL2017,N, 74,1.270671
4,070_KAN_langevents_11_PL2017,S, 74,2.216934
4,070_KAN_langevents_11_PL2017,N, 74,0.433682
4,087_KAN_langevents_12_PL2017,S, 74,1.320959
4,087_KAN_langevents_12_PL2017,N, 74,0.186540
4,078_KAN_langevents_13_PL2017,S, 74,0.481011
4,078_KAN_langevents_13_PL2017,N, 74,-0.185525
4,088_KAN_langevents_14_PL2017,S, 74,1.643101
4,088_KAN_langevents_14_PL2017,N, 74,1.279123
4,089_KAN_langevents_15_PL2017,S, 74,1.222277
4,089_KAN_langevents_15_PL2017,N, 74,-0.311698
4,076_KAN_langevents_16_PL2017,S, 74,1.973111
4,076_KAN_langevents_16_PL2017,N, 74,0.845356
5,040_KAN_langevents_01_PL2017,S, 46,0.482377
5,040_KAN_langevents_01_PL2017,N, 46,0.236376
5,057_KAN_langevents_02_PL2017,S, 46,0.554445
5,057_KAN_langevents_02_PL2017,N, 46,0.485549
5,059_KAN_langevents_04_PL2017,S, 46,1.676873
5,059_KAN_langevents_04_PL2017,N, 46,0.369536
5,056_KAN_langevents_05_PL2017,S, 46,0.556520
5,056_KAN_langevents_05_PL2017,N, 46,0.127107
5,067_KAN_langevents_06_PL2017,S, 46,2.014213
5,067_KAN_langevents_06_PL2017,N, 46,0.540679
5,068_KAN_langevents_07_PL2017,S, 46,0.694457
5,068_KAN_langevents_07_PL2017,N, 46,0.475468
5,019_KAN_langevents_08_PL2017,S, 46,0.584153
5,019_KAN_langevents_08_PL2017,N, 46,0.162326
5,069_KAN_langevents_10_PL2017,S, 46,1.923281
5,069_KAN_langevents_10_PL2017,N, 46,1.190280
5,070_KAN_langevents_11_PL2017,S, 46,3.124729
5,070_KAN_langevents_11_PL2017,N, 46,1.051358
5,087_KAN_langevents_12_PL2017,S, 46,1.326581
5,087_KAN_langevents_12_PL2017,N, 46,0.487850
5,078_KAN_langevents_13_PL2017,S, 46,0.973743
5,078_KAN_langevents_13_PL2017,N, 46,0.304203
5,088_KAN_langevents_14_PL2017,S, 46,2.412004
5,088_KAN_langevents_14_PL2017,N, 46,2.673954
5,089_KAN_langevents_15_PL2017,S, 46,2.978478
5,089_KAN_langevents_15_PL2017,N, 46,0.569976
5,076_KAN_langevents_16_PL2017,S, 46,2.581760
5,076_KAN_langevents_16_PL2017,N, 46,0.834411
6,040_KAN_langevents_01_PL2017,S, 37,1.043317
6,040_KAN_langevents_01_PL2017,N, 37,0.851698
6,057_KAN_langevents_02_PL2017,S, 37,1.187661
6,057_KAN_langevents_02_PL2017,N, 37,-0.339565
6,059_KAN_langevents_04_PL2017,S, 37,0.612163
6,059_KAN_langevents_04_PL2017,N, 37,-0.105833
6,056_KAN_langevents_05_PL2017,S, 37,0.602791
6,056_KAN_langevents_05_PL2017,N, 37,-0.052411
6,067_KAN_langevents_06_PL2017,S, 37,0.408391
6,067_KAN_langevents_06_PL2017,N, 37,0.266694
6,068_KAN_langevents_07_PL2017,S, 37,-0.263810
6,068_KAN_langevents_07_PL2017,N, 37,-0.502294
6,019_KAN_langevents_08_PL2017,S, 37,1.115644
