ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 334,0.928186
1,249_FED_20160519a_3T1_PL2017,N, 334,0.388857
1,252_FED_20160907b_3T2_PL2017,S, 334,1.092464
1,252_FED_20160907b_3T2_PL2017,N, 334,0.720480
1,291_FED_20160803c_3T1_PL2017,S, 334,2.193596
1,291_FED_20160803c_3T1_PL2017,N, 334,0.378259
1,301_FED_20160908b_3T1_PL2017,S, 334,-0.346169
1,301_FED_20160908b_3T1_PL2017,N, 334,0.134978
1,376_FED_20160519b_3T1_PL2017,S, 334,0.679544
1,376_FED_20160519b_3T1_PL2017,N, 334,0.074930
1,399_FED_20160519d_3T1_PL2017,S, 334,-1.088615
1,399_FED_20160519d_3T1_PL2017,N, 334,0.470894
1,400_FED_20160520a_3T1_PL2017,S, 334,-2.102486
1,400_FED_20160520a_3T1_PL2017,N, 334,-1.892739
1,401_FED_20160520d_3T1_PL2017,S, 334,0.174982
1,401_FED_20160520d_3T1_PL2017,N, 334,0.342719
1,419_FED_20160805a_3T1_PL2017,S, 334,-0.267487
1,419_FED_20160805a_3T1_PL2017,N, 334,-0.723714
1,420_FED_20160805b_3T1_PL2017,S, 334,-0.057598
1,420_FED_20160805b_3T1_PL2017,N, 334,-0.491221
1,426_FED_20160908d_3T1_PL2017,S, 334,1.118468
1,426_FED_20160908d_3T1_PL2017,N, 334,-0.004567
1,767_FED_20190418b_3T2_PL2017,S, 334,-0.322561
1,767_FED_20190418b_3T2_PL2017,N, 334,0.061295
1,769_FED_20190522a_3T2_PL2017,S, 334,0.773571
1,769_FED_20190522a_3T2_PL2017,N, 334,0.356272
1,770_FED_20190523b_3T2_PL2017,S, 334,0.394128
1,770_FED_20190523b_3T2_PL2017,N, 334,-0.072732
1,682_FED_20190426a_3T2_PL2017,S, 334,-1.047114
1,682_FED_20190426a_3T2_PL2017,N, 334,-0.165587
1,773_FED_20190605c_3T2_PL2017,S, 334,-1.121609
1,773_FED_20190605c_3T2_PL2017,N, 334,-1.351046
1,774_FED_20190605b_3T2_PL2017,S, 334,-0.708146
1,774_FED_20190605b_3T2_PL2017,N, 334,-0.413896
1,775_FED_20190611a_3T2_PL2017,S, 334,-0.122331
1,775_FED_20190611a_3T2_PL2017,N, 334,-0.039636
1,778_FED_20190614b_3T2_PL2017,S, 334,-0.776403
1,778_FED_20190614b_3T2_PL2017,N, 334,-1.282193
