ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 334,-2.544640
1,249_FED_20160519a_3T1_PL2017,E, 334,-1.200978
1,252_FED_20160907b_3T2_PL2017,H, 334,0.026825
1,252_FED_20160907b_3T2_PL2017,E, 334,0.029590
1,291_FED_20160803c_3T1_PL2017,H, 334,-0.367329
1,291_FED_20160803c_3T1_PL2017,E, 334,-0.540130
1,301_FED_20160908b_3T1_PL2017,H, 334,-4.480696
1,301_FED_20160908b_3T1_PL2017,E, 334,-1.191376
1,376_FED_20160519b_3T1_PL2017,H, 334,-1.208918
1,376_FED_20160519b_3T1_PL2017,E, 334,-0.002904
1,399_FED_20160519d_3T1_PL2017,H, 334,-2.548485
1,399_FED_20160519d_3T1_PL2017,E, 334,-0.764814
1,400_FED_20160520a_3T1_PL2017,H, 334,-3.689953
1,400_FED_20160520a_3T1_PL2017,E, 334,-0.259594
1,401_FED_20160520d_3T1_PL2017,H, 334,-0.990446
1,401_FED_20160520d_3T1_PL2017,E, 334,-0.099309
1,419_FED_20160805a_3T1_PL2017,H, 334,-1.075953
1,419_FED_20160805a_3T1_PL2017,E, 334,-1.043582
1,420_FED_20160805b_3T1_PL2017,H, 334,-2.438447
1,420_FED_20160805b_3T1_PL2017,E, 334,-0.919195
1,426_FED_20160908d_3T1_PL2017,H, 334,-5.995366
1,426_FED_20160908d_3T1_PL2017,E, 334,-2.851110
1,767_FED_20190418b_3T2_PL2017,H, 334,-2.381934
1,767_FED_20190418b_3T2_PL2017,E, 334,-2.090920
1,769_FED_20190522a_3T2_PL2017,H, 334,-2.948676
1,769_FED_20190522a_3T2_PL2017,E, 334,-1.827632
1,770_FED_20190523b_3T2_PL2017,H, 334,-2.941933
1,770_FED_20190523b_3T2_PL2017,E, 334,-1.488239
1,682_FED_20190426a_3T2_PL2017,H, 334,-2.369611
1,682_FED_20190426a_3T2_PL2017,E, 334,-2.500758
1,773_FED_20190605c_3T2_PL2017,H, 334,-1.822354
1,773_FED_20190605c_3T2_PL2017,E, 334,-0.842021
1,774_FED_20190605b_3T2_PL2017,H, 334,-2.491784
1,774_FED_20190605b_3T2_PL2017,E, 334,-2.019672
1,775_FED_20190611a_3T2_PL2017,H, 334,-3.897085
1,775_FED_20190611a_3T2_PL2017,E, 334,-1.201848
1,778_FED_20190614b_3T2_PL2017,H, 334,-3.409790
1,778_FED_20190614b_3T2_PL2017,E, 334,-1.823692
2,249_FED_20160519a_3T1_PL2017,H, 73,-1.623471
2,249_FED_20160519a_3T1_PL2017,E, 73,-0.610210
2,252_FED_20160907b_3T2_PL2017,H, 73,-0.461988
2,252_FED_20160907b_3T2_PL2017,E, 73,-0.070097
2,291_FED_20160803c_3T1_PL2017,H, 73,-0.797841
2,291_FED_20160803c_3T1_PL2017,E, 73,-0.833213
2,301_FED_20160908b_3T1_PL2017,H, 73,-2.116232
2,301_FED_20160908b_3T1_PL2017,E, 73,-0.974318
2,376_FED_20160519b_3T1_PL2017,H, 73,-1.131585
2,376_FED_20160519b_3T1_PL2017,E, 73,0.044882
2,399_FED_20160519d_3T1_PL2017,H, 73,-1.277574
2,399_FED_20160519d_3T1_PL2017,E, 73,-0.739780
2,400_FED_20160520a_3T1_PL2017,H, 73,-1.532762
2,400_FED_20160520a_3T1_PL2017,E, 73,-0.331651
2,401_FED_20160520d_3T1_PL2017,H, 73,-0.866328
2,401_FED_20160520d_3T1_PL2017,E, 73,-0.397021
2,419_FED_20160805a_3T1_PL2017,H, 73,0.015915
2,419_FED_20160805a_3T1_PL2017,E, 73,0.014705
2,420_FED_20160805b_3T1_PL2017,H, 73,-2.799655
2,420_FED_20160805b_3T1_PL2017,E, 73,-1.429993
2,426_FED_20160908d_3T1_PL2017,H, 73,-1.992230
2,426_FED_20160908d_3T1_PL2017,E, 73,-1.070243
2,767_FED_20190418b_3T2_PL2017,H, 73,-2.670708
2,767_FED_20190418b_3T2_PL2017,E, 73,-2.172750
2,769_FED_20190522a_3T2_PL2017,H, 73,-0.839267
2,769_FED_20190522a_3T2_PL2017,E, 73,-0.440909
2,770_FED_20190523b_3T2_PL2017,H, 73,-1.737721
2,770_FED_20190523b_3T2_PL2017,E, 73,-0.970788
2,682_FED_20190426a_3T2_PL2017,H, 73,-1.112790
2,682_FED_20190426a_3T2_PL2017,E, 73,-1.194310
2,773_FED_20190605c_3T2_PL2017,H, 73,-2.199667
2,773_FED_20190605c_3T2_PL2017,E, 73,-1.304327
2,774_FED_20190605b_3T2_PL2017,H, 73,-1.675214
2,774_FED_20190605b_3T2_PL2017,E, 73,-1.791305
2,775_FED_20190611a_3T2_PL2017,H, 73,-1.371371
2,775_FED_20190611a_3T2_PL2017,E, 73,-0.445138
2,778_FED_20190614b_3T2_PL2017,H, 73,-2.638368
2,778_FED_20190614b_3T2_PL2017,E, 73,-1.624863
3,249_FED_20160519a_3T1_PL2017,H, 66,-1.958901
3,249_FED_20160519a_3T1_PL2017,E, 66,-0.869708
3,252_FED_20160907b_3T2_PL2017,H, 66,-2.552882
3,252_FED_20160907b_3T2_PL2017,E, 66,-1.527926
3,291_FED_20160803c_3T1_PL2017,H, 66,-1.226623
3,291_FED_20160803c_3T1_PL2017,E, 66,-0.922544
3,301_FED_20160908b_3T1_PL2017,H, 66,-2.226417
3,301_FED_20160908b_3T1_PL2017,E, 66,-1.154851
3,376_FED_20160519b_3T1_PL2017,H, 66,-2.385537
3,376_FED_20160519b_3T1_PL2017,E, 66,-0.203385
3,399_FED_20160519d_3T1_PL2017,H, 66,-1.845389
3,399_FED_20160519d_3T1_PL2017,E, 66,-0.434394
3,400_FED_20160520a_3T1_PL2017,H, 66,-2.575311
3,400_FED_20160520a_3T1_PL2017,E, 66,-0.878206
3,401_FED_20160520d_3T1_PL2017,H, 66,-2.357063
3,401_FED_20160520d_3T1_PL2017,E, 66,-0.894622
3,419_FED_20160805a_3T1_PL2017,H, 66,-0.171229
3,419_FED_20160805a_3T1_PL2017,E, 66,0.009554
3,420_FED_20160805b_3T1_PL2017,H, 66,-3.727012
3,420_FED_20160805b_3T1_PL2017,E, 66,-1.396854
3,426_FED_20160908d_3T1_PL2017,H, 66,-3.265538
3,426_FED_20160908d_3T1_PL2017,E, 66,-1.852231
3,767_FED_20190418b_3T2_PL2017,H, 66,-5.332497
3,767_FED_20190418b_3T2_PL2017,E, 66,-4.286429
3,769_FED_20190522a_3T2_PL2017,H, 66,-1.295414
3,769_FED_20190522a_3T2_PL2017,E, 66,-0.715583
3,770_FED_20190523b_3T2_PL2017,H, 66,-2.828492
3,770_FED_20190523b_3T2_PL2017,E, 66,-1.583146
3,682_FED_20190426a_3T2_PL2017,H, 66,-1.739667
3,682_FED_20190426a_3T2_PL2017,E, 66,-1.358712
3,773_FED_20190605c_3T2_PL2017,H, 66,-2.773667
3,773_FED_20190605c_3T2_PL2017,E, 66,-1.454325
3,774_FED_20190605b_3T2_PL2017,H, 66,-0.880574
3,774_FED_20190605b_3T2_PL2017,E, 66,-0.837580
3,775_FED_20190611a_3T2_PL2017,H, 66,-2.036706
3,775_FED_20190611a_3T2_PL2017,E, 66,-0.550100
3,778_FED_20190614b_3T2_PL2017,H, 66,-4.710574
3,778_FED_20190614b_3T2_PL2017,E, 66,-3.138430
4,249_FED_20160519a_3T1_PL2017,H, 17,-1.343646
4,249_FED_20160519a_3T1_PL2017,E, 17,-0.569151
4,252_FED_20160907b_3T2_PL2017,H, 17,-0.369097
4,252_FED_20160907b_3T2_PL2017,E, 17,-0.206880
4,291_FED_20160803c_3T1_PL2017,H, 17,-0.449617
4,291_FED_20160803c_3T1_PL2017,E, 17,-0.488777
4,301_FED_20160908b_3T1_PL2017,H, 17,-1.484241
4,301_FED_20160908b_3T1_PL2017,E, 17,-0.199022
4,376_FED_20160519b_3T1_PL2017,H, 17,-0.804339
4,376_FED_20160519b_3T1_PL2017,E, 17,-0.348254
4,399_FED_20160519d_3T1_PL2017,H, 17,-1.185743
4,399_FED_20160519d_3T1_PL2017,E, 17,-0.499087
4,400_FED_20160520a_3T1_PL2017,H, 17,-1.595800
4,400_FED_20160520a_3T1_PL2017,E, 17,-0.890547
4,401_FED_20160520d_3T1_PL2017,H, 17,-0.194368
4,401_FED_20160520d_3T1_PL2017,E, 17,0.215275
4,419_FED_20160805a_3T1_PL2017,H, 17,-0.176671
4,419_FED_20160805a_3T1_PL2017,E, 17,-0.382856
4,420_FED_20160805b_3T1_PL2017,H, 17,-0.336003
4,420_FED_20160805b_3T1_PL2017,E, 17,-0.076792
4,426_FED_20160908d_3T1_PL2017,H, 17,-1.073434
4,426_FED_20160908d_3T1_PL2017,E, 17,-0.338826
4,767_FED_20190418b_3T2_PL2017,H, 17,-2.154554
4,767_FED_20190418b_3T2_PL2017,E, 17,-1.477861
4,769_FED_20190522a_3T2_PL2017,H, 17,-1.119840
4,769_FED_20190522a_3T2_PL2017,E, 17,-0.628851
4,770_FED_20190523b_3T2_PL2017,H, 17,-1.516075
4,770_FED_20190523b_3T2_PL2017,E, 17,-0.659946
4,682_FED_20190426a_3T2_PL2017,H, 17,-0.340075
4,682_FED_20190426a_3T2_PL2017,E, 17,-0.317449
4,773_FED_20190605c_3T2_PL2017,H, 17,-1.900451
4,773_FED_20190605c_3T2_PL2017,E, 17,-0.786931
4,774_FED_20190605b_3T2_PL2017,H, 17,-0.906990
4,774_FED_20190605b_3T2_PL2017,E, 17,-0.638534
4,775_FED_20190611a_3T2_PL2017,H, 17,-0.685939
4,775_FED_20190611a_3T2_PL2017,E, 17,0.259890
4,778_FED_20190614b_3T2_PL2017,H, 17,-0.962122
4,778_FED_20190614b_3T2_PL2017,E, 17,-0.305109
5,249_FED_20160519a_3T1_PL2017,H, 31,-3.619539
5,249_FED_20160519a_3T1_PL2017,E, 31,-1.340019
5,252_FED_20160907b_3T2_PL2017,H, 31,-0.563662
5,252_FED_20160907b_3T2_PL2017,E, 31,-0.345828
5,291_FED_20160803c_3T1_PL2017,H, 31,-1.146809
5,291_FED_20160803c_3T1_PL2017,E, 31,-1.287301
5,301_FED_20160908b_3T1_PL2017,H, 31,-4.191627
5,301_FED_20160908b_3T1_PL2017,E, 31,-0.900375
5,376_FED_20160519b_3T1_PL2017,H, 31,-1.529350
5,376_FED_20160519b_3T1_PL2017,E, 31,-0.988746
5,399_FED_20160519d_3T1_PL2017,H, 31,-1.472824
5,399_FED_20160519d_3T1_PL2017,E, 31,-1.678744
5,400_FED_20160520a_3T1_PL2017,H, 31,-1.563624
5,400_FED_20160520a_3T1_PL2017,E, 31,-0.847028
5,401_FED_20160520d_3T1_PL2017,H, 31,-0.141318
5,401_FED_20160520d_3T1_PL2017,E, 31,0.248274
5,419_FED_20160805a_3T1_PL2017,H, 31,-0.361848
5,419_FED_20160805a_3T1_PL2017,E, 31,-0.485004
5,420_FED_20160805b_3T1_PL2017,H, 31,-0.640582
5,420_FED_20160805b_3T1_PL2017,E, 31,-0.406287
5,426_FED_20160908d_3T1_PL2017,H, 31,-0.978414
5,426_FED_20160908d_3T1_PL2017,E, 31,-0.204135
5,767_FED_20190418b_3T2_PL2017,H, 31,-1.413290
5,767_FED_20190418b_3T2_PL2017,E, 31,-0.724971
5,769_FED_20190522a_3T2_PL2017,H, 31,-0.494974
5,769_FED_20190522a_3T2_PL2017,E, 31,0.144357
5,770_FED_20190523b_3T2_PL2017,H, 31,-2.789317
5,770_FED_20190523b_3T2_PL2017,E, 31,-1.134814
5,682_FED_20190426a_3T2_PL2017,H, 31,0.313810
5,682_FED_20190426a_3T2_PL2017,E, 31,0.546162
5,773_FED_20190605c_3T2_PL2017,H, 31,-0.947945
5,773_FED_20190605c_3T2_PL2017,E, 31,-0.415237
5,774_FED_20190605b_3T2_PL2017,H, 31,-1.730404
5,774_FED_20190605b_3T2_PL2017,E, 31,-1.309834
5,775_FED_20190611a_3T2_PL2017,H, 31,-1.797483
5,775_FED_20190611a_3T2_PL2017,E, 31,-0.895787
5,778_FED_20190614b_3T2_PL2017,H, 31,-2.390198
5,778_FED_20190614b_3T2_PL2017,E, 31,-1.354341
6,249_FED_20160519a_3T1_PL2017,H, 26,-1.141655
6,249_FED_20160519a_3T1_PL2017,E, 26,-0.648175
6,252_FED_20160907b_3T2_PL2017,H, 26,-0.301855
6,252_FED_20160907b_3T2_PL2017,E, 26,0.136226
6,291_FED_20160803c_3T1_PL2017,H, 26,-1.941505
6,291_FED_20160803c_3T1_PL2017,E, 26,-1.694636
6,301_FED_20160908b_3T1_PL2017,H, 26,-2.257081
6,301_FED_20160908b_3T1_PL2017,E, 26,-1.026268
6,376_FED_20160519b_3T1_PL2017,H, 26,-0.636413
6,376_FED_20160519b_3T1_PL2017,E, 26,0.114031
6,399_FED_20160519d_3T1_PL2017,H, 26,-0.798217
6,399_FED_20160519d_3T1_PL2017,E, 26,-0.460542
6,400_FED_20160520a_3T1_PL2017,H, 26,-0.680481
6,400_FED_20160520a_3T1_PL2017,E, 26,0.192785
6,401_FED_20160520d_3T1_PL2017,H, 26,-0.596387
6,401_FED_20160520d_3T1_PL2017,E, 26,-0.067054
6,419_FED_20160805a_3T1_PL2017,H, 26,-0.236133
6,419_FED_20160805a_3T1_PL2017,E, 26,-0.253150
6,420_FED_20160805b_3T1_PL2017,H, 26,-1.190464
6,420_FED_20160805b_3T1_PL2017,E, 26,-0.249503
6,426_FED_20160908d_3T1_PL2017,H, 26,-2.073919
6,426_FED_20160908d_3T1_PL2017,E, 26,-1.055388
6,767_FED_20190418b_3T2_PL2017,H, 26,-0.706925
6,767_FED_20190418b_3T2_PL2017,E, 26,-0.525693
6,769_FED_20190522a_3T2_PL2017,H, 26,-0.839450
6,769_FED_20190522a_3T2_PL2017,E, 26,-0.268378
6,770_FED_20190523b_3T2_PL2017,H, 26,-1.035562
6,770_FED_20190523b_3T2_PL2017,E, 26,-0.518910
6,682_FED_20190426a_3T2_PL2017,H, 26,-1.659533
6,682_FED_20190426a_3T2_PL2017,E, 26,-1.701715
6,773_FED_20190605c_3T2_PL2017,H, 26,-1.423493
6,773_FED_20190605c_3T2_PL2017,E, 26,-0.761457
6,774_FED_20190605b_3T2_PL2017,H, 26,-1.986377
6,774_FED_20190605b_3T2_PL2017,E, 26,-1.462207
6,775_FED_20190611a_3T2_PL2017,H, 26,-0.970200
6,775_FED_20190611a_3T2_PL2017,E, 26,-0.096605
6,778_FED_20190614b_3T2_PL2017,H, 26,-2.248038
6,778_FED_20190614b_3T2_PL2017,E, 26,-1.153237
7,249_FED_20160519a_3T1_PL2017,H, 334,-2.401387
7,249_FED_20160519a_3T1_PL2017,E, 334,-1.325976
7,252_FED_20160907b_3T2_PL2017,H, 334,-0.097967
7,252_FED_20160907b_3T2_PL2017,E, 334,0.071776
7,291_FED_20160803c_3T1_PL2017,H, 334,-0.115231
7,291_FED_20160803c_3T1_PL2017,E, 334,-0.356806
7,301_FED_20160908b_3T1_PL2017,H, 334,-4.245401
7,301_FED_20160908b_3T1_PL2017,E, 334,-1.609505
7,376_FED_20160519b_3T1_PL2017,H, 334,-1.115783
7,376_FED_20160519b_3T1_PL2017,E, 334,0.276901
7,399_FED_20160519d_3T1_PL2017,H, 334,-1.916444
7,399_FED_20160519d_3T1_PL2017,E, 334,-0.557231
7,400_FED_20160520a_3T1_PL2017,H, 334,-1.864213
7,400_FED_20160520a_3T1_PL2017,E, 334,-0.488713
7,401_FED_20160520d_3T1_PL2017,H, 334,-0.859478
7,401_FED_20160520d_3T1_PL2017,E, 334,-0.026916
7,419_FED_20160805a_3T1_PL2017,H, 334,-1.475015
7,419_FED_20160805a_3T1_PL2017,E, 334,-1.728982
7,420_FED_20160805b_3T1_PL2017,H, 334,-1.979285
7,420_FED_20160805b_3T1_PL2017,E, 334,-0.604905
7,426_FED_20160908d_3T1_PL2017,H, 334,-3.951181
7,426_FED_20160908d_3T1_PL2017,E, 334,-2.326812
7,767_FED_20190418b_3T2_PL2017,H, 334,-1.130754
7,767_FED_20190418b_3T2_PL2017,E, 334,-1.069042
7,769_FED_20190522a_3T2_PL2017,H, 334,-1.857403
7,769_FED_20190522a_3T2_PL2017,E, 334,-0.980702
7,770_FED_20190523b_3T2_PL2017,H, 334,-2.405213
7,770_FED_20190523b_3T2_PL2017,E, 334,-1.330524
7,682_FED_20190426a_3T2_PL2017,H, 334,-3.656260
7,682_FED_20190426a_3T2_PL2017,E, 334,-3.470144
7,773_FED_20190605c_3T2_PL2017,H, 334,-1.632777
7,773_FED_20190605c_3T2_PL2017,E, 334,-0.801784
7,774_FED_20190605b_3T2_PL2017,H, 334,-2.144801
7,774_FED_20190605b_3T2_PL2017,E, 334,-1.718459
7,775_FED_20190611a_3T2_PL2017,H, 334,-3.678786
7,775_FED_20190611a_3T2_PL2017,E, 334,-1.353414
7,778_FED_20190614b_3T2_PL2017,H, 334,-2.143760
7,778_FED_20190614b_3T2_PL2017,E, 334,-1.160413
8,249_FED_20160519a_3T1_PL2017,H, 73,-1.235524
8,249_FED_20160519a_3T1_PL2017,E, 73,-0.589192
8,252_FED_20160907b_3T2_PL2017,H, 73,-0.322590
8,252_FED_20160907b_3T2_PL2017,E, 73,0.033761
8,291_FED_20160803c_3T1_PL2017,H, 73,-0.678901
8,291_FED_20160803c_3T1_PL2017,E, 73,-0.570761
8,301_FED_20160908b_3T1_PL2017,H, 73,-2.091991
8,301_FED_20160908b_3T1_PL2017,E, 73,-0.876485
8,376_FED_20160519b_3T1_PL2017,H, 73,-1.412147
8,376_FED_20160519b_3T1_PL2017,E, 73,-0.041685
8,399_FED_20160519d_3T1_PL2017,H, 73,-1.779930
8,399_FED_20160519d_3T1_PL2017,E, 73,-1.049187
8,400_FED_20160520a_3T1_PL2017,H, 73,-1.033920
8,400_FED_20160520a_3T1_PL2017,E, 73,-0.310772
8,401_FED_20160520d_3T1_PL2017,H, 73,-1.066217
8,401_FED_20160520d_3T1_PL2017,E, 73,-0.628203
8,419_FED_20160805a_3T1_PL2017,H, 73,-0.191656
8,419_FED_20160805a_3T1_PL2017,E, 73,-0.242267
8,420_FED_20160805b_3T1_PL2017,H, 73,-1.562531
8,420_FED_20160805b_3T1_PL2017,E, 73,-0.545547
8,426_FED_20160908d_3T1_PL2017,H, 73,-1.335317
8,426_FED_20160908d_3T1_PL2017,E, 73,-0.970420
8,767_FED_20190418b_3T2_PL2017,H, 73,-1.608940
8,767_FED_20190418b_3T2_PL2017,E, 73,-1.247039
8,769_FED_20190522a_3T2_PL2017,H, 73,-0.851589
8,769_FED_20190522a_3T2_PL2017,E, 73,-0.354471
8,770_FED_20190523b_3T2_PL2017,H, 73,-1.165277
8,770_FED_20190523b_3T2_PL2017,E, 73,-0.622034
8,682_FED_20190426a_3T2_PL2017,H, 73,-0.994605
8,682_FED_20190426a_3T2_PL2017,E, 73,-1.071460
8,773_FED_20190605c_3T2_PL2017,H, 73,-1.963831
8,773_FED_20190605c_3T2_PL2017,E, 73,-1.157813
8,774_FED_20190605b_3T2_PL2017,H, 73,-1.553138
8,774_FED_20190605b_3T2_PL2017,E, 73,-1.400224
8,775_FED_20190611a_3T2_PL2017,H, 73,-0.922835
8,775_FED_20190611a_3T2_PL2017,E, 73,-0.194351
8,778_FED_20190614b_3T2_PL2017,H, 73,-1.793026
8,778_FED_20190614b_3T2_PL2017,E, 73,-1.090707
9,249_FED_20160519a_3T1_PL2017,H, 66,-1.321727
9,249_FED_20160519a_3T1_PL2017,E, 66,-0.693501
9,252_FED_20160907b_3T2_PL2017,H, 66,-1.026791
9,252_FED_20160907b_3T2_PL2017,E, 66,-0.752173
9,291_FED_20160803c_3T1_PL2017,H, 66,-0.481962
9,291_FED_20160803c_3T1_PL2017,E, 66,-0.392316
9,301_FED_20160908b_3T1_PL2017,H, 66,-1.736212
9,301_FED_20160908b_3T1_PL2017,E, 66,-0.977331
9,376_FED_20160519b_3T1_PL2017,H, 66,-1.986587
9,376_FED_20160519b_3T1_PL2017,E, 66,0.138763
9,399_FED_20160519d_3T1_PL2017,H, 66,-1.916908
9,399_FED_20160519d_3T1_PL2017,E, 66,-0.698786
9,400_FED_20160520a_3T1_PL2017,H, 66,-1.778675
9,400_FED_20160520a_3T1_PL2017,E, 66,-0.393921
9,401_FED_20160520d_3T1_PL2017,H, 66,-1.573537
9,401_FED_20160520d_3T1_PL2017,E, 66,-0.855497
9,419_FED_20160805a_3T1_PL2017,H, 66,-0.670088
9,419_FED_20160805a_3T1_PL2017,E, 66,-0.868677
9,420_FED_20160805b_3T1_PL2017,H, 66,-3.538071
9,420_FED_20160805b_3T1_PL2017,E, 66,-1.414651
9,426_FED_20160908d_3T1_PL2017,H, 66,-4.122327
9,426_FED_20160908d_3T1_PL2017,E, 66,-3.340863
9,767_FED_20190418b_3T2_PL2017,H, 66,-3.891527
9,767_FED_20190418b_3T2_PL2017,E, 66,-3.251148
9,769_FED_20190522a_3T2_PL2017,H, 66,-1.053110
9,769_FED_20190522a_3T2_PL2017,E, 66,-0.452449
9,770_FED_20190523b_3T2_PL2017,H, 66,-1.243397
9,770_FED_20190523b_3T2_PL2017,E, 66,-0.852191
9,682_FED_20190426a_3T2_PL2017,H, 66,-2.546334
9,682_FED_20190426a_3T2_PL2017,E, 66,-2.252515
9,773_FED_20190605c_3T2_PL2017,H, 66,-1.622883
9,773_FED_20190605c_3T2_PL2017,E, 66,-0.736350
9,774_FED_20190605b_3T2_PL2017,H, 66,-1.231519
9,774_FED_20190605b_3T2_PL2017,E, 66,-1.594650
9,775_FED_20190611a_3T2_PL2017,H, 66,-2.122348
