ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 85,1.186079
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 85,1.525111
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 85,1.661364
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 85,2.268341
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 85,3.214054
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 85,2.944941
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 85,5.496807
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 85,1.192793
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 85,0.809778
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 85,1.347503
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 85,1.649846
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 85,0.827985
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 85,3.955854
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 85,0.170970
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 85,4.088107
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 85,0.613607
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 85,4.545377
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 85,1.844953
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 85,4.372008
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 85,1.987045
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 85,0.622844
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 85,0.394612
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 85,-0.180440
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 85,0.703482
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 85,0.030692
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 85,1.491312
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 85,0.581292
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 85,0.734667
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 85,2.073433
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 85,0.593658
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 85,3.192416
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 85,0.509692
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 85,0.199678
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 85,1.153427
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 85,-0.321469
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 85,0.235959
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 85,1.131569
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 85,0.867048
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 85,0.841653
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 85,0.611587
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 85,-1.335542
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 85,-0.196898
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 85,-0.445677
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 85,-1.549047
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 85,5.637660
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 85,0.092751
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 85,6.421698
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 85,0.563914
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 85,5.422072
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 85,1.506801
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 85,5.703751
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 85,2.021662
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 85,4.156389
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 85,0.277263
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 85,6.105534
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 85,1.427483
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 85,-0.864205
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 85,-0.589792
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 85,-0.523233
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 85,-0.172464
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 85,3.205737
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 85,0.025199
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 85,2.062999
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 85,1.734121
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 85,0.663708
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 85,0.483149
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 85,0.244233
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 85,1.170470
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 85,1.249624
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 85,0.420154
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 85,1.156101
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 85,1.008544
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 85,5.288928
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 85,5.112622
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 85,5.326343
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 85,4.528821
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 85,3.618075
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 85,0.912176
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 85,3.532795
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 85,1.996995
2,249_FED_20160519a_3T1_PL2017,Pic_Sem, 134,-0.762432
2,249_FED_20160519a_3T1_PL2017,Pic_Perc, 134,-0.671869
2,249_FED_20160519a_3T1_PL2017,Sent_Sem, 134,0.562408
2,249_FED_20160519a_3T1_PL2017,Sent_Perc, 134,0.874780
2,252_FED_20160907b_3T2_PL2017,Pic_Sem, 134,1.409464
2,252_FED_20160907b_3T2_PL2017,Pic_Perc, 134,0.371840
2,252_FED_20160907b_3T2_PL2017,Sent_Sem, 134,3.213720
2,252_FED_20160907b_3T2_PL2017,Sent_Perc, 134,1.170775
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 134,0.024931
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 134,0.495618
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 134,0.339412
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 134,-0.078536
2,301_FED_20160908b_3T1_PL2017,Pic_Sem, 134,3.514756
2,301_FED_20160908b_3T1_PL2017,Pic_Perc, 134,-0.481012
2,301_FED_20160908b_3T1_PL2017,Sent_Sem, 134,5.260567
2,301_FED_20160908b_3T1_PL2017,Sent_Perc, 134,2.904503
2,376_FED_20160519b_3T1_PL2017,Pic_Sem, 134,1.800192
2,376_FED_20160519b_3T1_PL2017,Pic_Perc, 134,0.051798
2,376_FED_20160519b_3T1_PL2017,Sent_Sem, 134,3.167369
2,376_FED_20160519b_3T1_PL2017,Sent_Perc, 134,0.818762
2,399_FED_20160519d_3T1_PL2017,Pic_Sem, 134,-0.267698
2,399_FED_20160519d_3T1_PL2017,Pic_Perc, 134,0.053808
2,399_FED_20160519d_3T1_PL2017,Sent_Sem, 134,0.012427
2,399_FED_20160519d_3T1_PL2017,Sent_Perc, 134,0.191521
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 134,0.191926
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 134,0.635614
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 134,0.235023
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 134,0.216651
2,401_FED_20160520d_3T1_PL2017,Pic_Sem, 134,0.423643
2,401_FED_20160520d_3T1_PL2017,Pic_Perc, 134,-0.478563
2,401_FED_20160520d_3T1_PL2017,Sent_Sem, 134,1.175632
2,401_FED_20160520d_3T1_PL2017,Sent_Perc, 134,-0.457775
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 134,1.454989
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 134,1.601792
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 134,2.101839
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 134,1.787632
2,420_FED_20160805b_3T1_PL2017,Pic_Sem, 134,0.953707
2,420_FED_20160805b_3T1_PL2017,Pic_Perc, 134,0.218241
2,420_FED_20160805b_3T1_PL2017,Sent_Sem, 134,2.137814
2,420_FED_20160805b_3T1_PL2017,Sent_Perc, 134,1.469695
2,426_FED_20160908d_3T1_PL2017,Pic_Sem, 134,-0.029971
