ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 85,0.791247
1,249_FED_20160519a_3T1_PL2017,E, 85,0.893030
1,252_FED_20160907b_3T2_PL2017,H, 85,2.923128
1,252_FED_20160907b_3T2_PL2017,E, 85,1.133137
1,291_FED_20160803c_3T1_PL2017,H, 85,2.079978
1,291_FED_20160803c_3T1_PL2017,E, 85,1.595448
1,301_FED_20160908b_3T1_PL2017,H, 85,1.349009
1,301_FED_20160908b_3T1_PL2017,E, 85,0.325739
1,376_FED_20160519b_3T1_PL2017,H, 85,1.817841
1,376_FED_20160519b_3T1_PL2017,E, 85,0.738089
1,399_FED_20160519d_3T1_PL2017,H, 85,-0.897338
1,399_FED_20160519d_3T1_PL2017,E, 85,-0.419418
1,400_FED_20160520a_3T1_PL2017,H, 85,1.445652
1,400_FED_20160520a_3T1_PL2017,E, 85,0.675914
1,401_FED_20160520d_3T1_PL2017,H, 85,2.895546
1,401_FED_20160520d_3T1_PL2017,E, 85,2.367719
1,419_FED_20160805a_3T1_PL2017,H, 85,0.640948
1,419_FED_20160805a_3T1_PL2017,E, 85,0.655755
1,420_FED_20160805b_3T1_PL2017,H, 85,0.580718
1,420_FED_20160805b_3T1_PL2017,E, 85,0.466254
1,426_FED_20160908d_3T1_PL2017,H, 85,2.436387
1,426_FED_20160908d_3T1_PL2017,E, 85,1.010528
1,767_FED_20190418b_3T2_PL2017,H, 85,0.531455
1,767_FED_20190418b_3T2_PL2017,E, 85,-0.294048
1,769_FED_20190522a_3T2_PL2017,H, 85,0.429936
1,769_FED_20190522a_3T2_PL2017,E, 85,0.954354
1,770_FED_20190523b_3T2_PL2017,H, 85,0.042124
1,770_FED_20190523b_3T2_PL2017,E, 85,-0.111284
1,682_FED_20190426a_3T2_PL2017,H, 85,0.461584
1,682_FED_20190426a_3T2_PL2017,E, 85,0.258528
1,773_FED_20190605c_3T2_PL2017,H, 85,1.593031
1,773_FED_20190605c_3T2_PL2017,E, 85,1.384652
1,774_FED_20190605b_3T2_PL2017,H, 85,1.441845
1,774_FED_20190605b_3T2_PL2017,E, 85,0.579017
1,775_FED_20190611a_3T2_PL2017,H, 85,5.805055
1,775_FED_20190611a_3T2_PL2017,E, 85,4.185472
1,778_FED_20190614b_3T2_PL2017,H, 85,0.755263
1,778_FED_20190614b_3T2_PL2017,E, 85,0.594815
