ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 37,-1.968439
1,249_FED_20160519a_3T1_PL2017,E, 37,-1.708361
1,252_FED_20160907b_3T2_PL2017,H, 37,-0.162366
1,252_FED_20160907b_3T2_PL2017,E, 37,-0.549260
1,291_FED_20160803c_3T1_PL2017,H, 37,-1.500781
1,291_FED_20160803c_3T1_PL2017,E, 37,-0.664045
1,301_FED_20160908b_3T1_PL2017,H, 37,-0.612508
1,301_FED_20160908b_3T1_PL2017,E, 37,-0.250096
1,376_FED_20160519b_3T1_PL2017,H, 37,-0.486446
1,376_FED_20160519b_3T1_PL2017,E, 37,-0.324150
1,399_FED_20160519d_3T1_PL2017,H, 37,-1.091690
1,399_FED_20160519d_3T1_PL2017,E, 37,-0.918979
1,400_FED_20160520a_3T1_PL2017,H, 37,-0.775128
1,400_FED_20160520a_3T1_PL2017,E, 37,-0.103640
1,401_FED_20160520d_3T1_PL2017,H, 37,-0.045414
1,401_FED_20160520d_3T1_PL2017,E, 37,0.500729
1,419_FED_20160805a_3T1_PL2017,H, 37,-0.270887
1,419_FED_20160805a_3T1_PL2017,E, 37,-0.387186
1,420_FED_20160805b_3T1_PL2017,H, 37,-0.942439
1,420_FED_20160805b_3T1_PL2017,E, 37,-0.507622
1,426_FED_20160908d_3T1_PL2017,H, 37,-2.509043
1,426_FED_20160908d_3T1_PL2017,E, 37,-1.914950
1,767_FED_20190418b_3T2_PL2017,H, 37,-0.864199
1,767_FED_20190418b_3T2_PL2017,E, 37,-0.999118
1,769_FED_20190522a_3T2_PL2017,H, 37,-1.077268
1,769_FED_20190522a_3T2_PL2017,E, 37,-0.596314
1,770_FED_20190523b_3T2_PL2017,H, 37,-0.998302
1,770_FED_20190523b_3T2_PL2017,E, 37,-0.201943
1,682_FED_20190426a_3T2_PL2017,H, 37,-1.302750
1,682_FED_20190426a_3T2_PL2017,E, 37,-1.310756
1,773_FED_20190605c_3T2_PL2017,H, 37,-2.169433
1,773_FED_20190605c_3T2_PL2017,E, 37,-1.415502
1,774_FED_20190605b_3T2_PL2017,H, 37,-1.433215
1,774_FED_20190605b_3T2_PL2017,E, 37,-0.890057
1,775_FED_20190611a_3T2_PL2017,H, 37,-0.773735
1,775_FED_20190611a_3T2_PL2017,E, 37,-0.242874
1,778_FED_20190614b_3T2_PL2017,H, 37,-1.849126
1,778_FED_20190614b_3T2_PL2017,E, 37,-1.494979
2,249_FED_20160519a_3T1_PL2017,H, 74,0.587094
2,249_FED_20160519a_3T1_PL2017,E, 74,0.464051
2,252_FED_20160907b_3T2_PL2017,H, 74,0.737441
2,252_FED_20160907b_3T2_PL2017,E, 74,0.186715
2,291_FED_20160803c_3T1_PL2017,H, 74,-0.707962
2,291_FED_20160803c_3T1_PL2017,E, 74,-0.304554
2,301_FED_20160908b_3T1_PL2017,H, 74,-0.450465
2,301_FED_20160908b_3T1_PL2017,E, 74,-0.181632
2,376_FED_20160519b_3T1_PL2017,H, 74,-0.114643
2,376_FED_20160519b_3T1_PL2017,E, 74,0.015832
2,399_FED_20160519d_3T1_PL2017,H, 74,0.100574
2,399_FED_20160519d_3T1_PL2017,E, 74,-0.316209
2,400_FED_20160520a_3T1_PL2017,H, 74,-0.349678
2,400_FED_20160520a_3T1_PL2017,E, 74,0.253565
2,401_FED_20160520d_3T1_PL2017,H, 74,0.563002
2,401_FED_20160520d_3T1_PL2017,E, 74,0.988106
2,419_FED_20160805a_3T1_PL2017,H, 74,-0.976188
2,419_FED_20160805a_3T1_PL2017,E, 74,-0.952856
2,420_FED_20160805b_3T1_PL2017,H, 74,0.262120
2,420_FED_20160805b_3T1_PL2017,E, 74,0.237169
2,426_FED_20160908d_3T1_PL2017,H, 74,-1.118884
2,426_FED_20160908d_3T1_PL2017,E, 74,-1.239413
2,767_FED_20190418b_3T2_PL2017,H, 74,-1.235846
2,767_FED_20190418b_3T2_PL2017,E, 74,-1.092953
2,769_FED_20190522a_3T2_PL2017,H, 74,-0.362422
2,769_FED_20190522a_3T2_PL2017,E, 74,0.232320
2,770_FED_20190523b_3T2_PL2017,H, 74,-0.120717
2,770_FED_20190523b_3T2_PL2017,E, 74,0.336366
2,682_FED_20190426a_3T2_PL2017,H, 74,1.454375
2,682_FED_20190426a_3T2_PL2017,E, 74,1.128769
2,773_FED_20190605c_3T2_PL2017,H, 74,-0.993298
2,773_FED_20190605c_3T2_PL2017,E, 74,-0.591677
2,774_FED_20190605b_3T2_PL2017,H, 74,-0.405728
2,774_FED_20190605b_3T2_PL2017,E, 74,-0.796771
2,775_FED_20190611a_3T2_PL2017,H, 74,1.558259
2,775_FED_20190611a_3T2_PL2017,E, 74,0.976155
2,778_FED_20190614b_3T2_PL2017,H, 74,-0.539450
2,778_FED_20190614b_3T2_PL2017,E, 74,-0.389454
3,249_FED_20160519a_3T1_PL2017,H, 46,-0.001312
3,249_FED_20160519a_3T1_PL2017,E, 46,0.313359
3,252_FED_20160907b_3T2_PL2017,H, 46,2.668787
3,252_FED_20160907b_3T2_PL2017,E, 46,1.322553
3,291_FED_20160803c_3T1_PL2017,H, 46,-0.570172
3,291_FED_20160803c_3T1_PL2017,E, 46,-0.277467
3,301_FED_20160908b_3T1_PL2017,H, 46,-0.759399
3,301_FED_20160908b_3T1_PL2017,E, 46,-0.426283
3,376_FED_20160519b_3T1_PL2017,H, 46,0.603107
3,376_FED_20160519b_3T1_PL2017,E, 46,0.541557
3,399_FED_20160519d_3T1_PL2017,H, 46,0.585268
3,399_FED_20160519d_3T1_PL2017,E, 46,-0.025631
3,400_FED_20160520a_3T1_PL2017,H, 46,0.506982
3,400_FED_20160520a_3T1_PL2017,E, 46,0.958552
3,401_FED_20160520d_3T1_PL2017,H, 46,1.316194
3,401_FED_20160520d_3T1_PL2017,E, 46,1.962165
3,419_FED_20160805a_3T1_PL2017,H, 46,-0.022483
3,419_FED_20160805a_3T1_PL2017,E, 46,-0.096011
3,420_FED_20160805b_3T1_PL2017,H, 46,1.203139
3,420_FED_20160805b_3T1_PL2017,E, 46,0.933694
3,426_FED_20160908d_3T1_PL2017,H, 46,2.030510
3,426_FED_20160908d_3T1_PL2017,E, 46,1.754985
3,767_FED_20190418b_3T2_PL2017,H, 46,0.233985
3,767_FED_20190418b_3T2_PL2017,E, 46,0.342076
3,769_FED_20190522a_3T2_PL2017,H, 46,4.941541
3,769_FED_20190522a_3T2_PL2017,E, 46,4.530421
3,770_FED_20190523b_3T2_PL2017,H, 46,1.290219
3,770_FED_20190523b_3T2_PL2017,E, 46,1.316001
3,682_FED_20190426a_3T2_PL2017,H, 46,2.323151
3,682_FED_20190426a_3T2_PL2017,E, 46,2.404516
3,773_FED_20190605c_3T2_PL2017,H, 46,-0.046847
3,773_FED_20190605c_3T2_PL2017,E, 46,0.329162
3,774_FED_20190605b_3T2_PL2017,H, 46,0.322492
3,774_FED_20190605b_3T2_PL2017,E, 46,0.175435
3,775_FED_20190611a_3T2_PL2017,H, 46,2.027791
3,775_FED_20190611a_3T2_PL2017,E, 46,1.929285
3,778_FED_20190614b_3T2_PL2017,H, 46,-0.344748
3,778_FED_20190614b_3T2_PL2017,E, 46,-0.352399
4,249_FED_20160519a_3T1_PL2017,H, 162,-1.908490
4,249_FED_20160519a_3T1_PL2017,E, 162,-1.060836
4,252_FED_20160907b_3T2_PL2017,H, 162,-0.040571
4,252_FED_20160907b_3T2_PL2017,E, 162,0.046589
4,291_FED_20160803c_3T1_PL2017,H, 162,-1.975914
4,291_FED_20160803c_3T1_PL2017,E, 162,-1.394351
4,301_FED_20160908b_3T1_PL2017,H, 162,-1.167265
4,301_FED_20160908b_3T1_PL2017,E, 162,-0.437295
4,376_FED_20160519b_3T1_PL2017,H, 162,-0.702157
4,376_FED_20160519b_3T1_PL2017,E, 162,0.014920
