ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,37,178,0,0
1,2,37,116,0,0
1,3,37,181,0,0
1,4,37,125,0,0
1,5,37,118,0,0
1,6,37,98,0,0
1,7,37,46,0,0
1,8,37,107,0,0
1,9,37,65,0,0
1,10,37,58,0,0
1,11,37,55,0,0
2,1,74,178,4,0.0540540540540541
2,2,74,116,0,0
2,3,74,181,0,0
2,4,74,125,0,0
2,5,74,118,0,0
2,6,74,98,0,0
2,7,74,46,0,0
2,8,74,107,0,0
2,9,74,65,0,0
2,10,74,58,0,0
2,11,74,55,0,0
3,1,46,178,0,0
3,2,46,116,0,0
3,3,46,181,0,0
3,4,46,125,0,0
3,5,46,118,0,0
3,6,46,98,0,0
3,7,46,46,0,0
3,8,46,107,0,0
3,9,46,65,0,0
3,10,46,58,0,0
3,11,46,55,0,0
4,1,162,178,0,0
4,2,162,116,0,0
4,3,162,181,0,0
4,4,162,125,0,0
4,5,162,118,0,0
4,6,162,98,0,0
4,7,162,46,0,0
4,8,162,107,0,0
4,9,162,65,0,0
4,10,162,58,0,0
4,11,162,55,0,0
5,1,294,178,0,0
5,2,294,116,0,0
5,3,294,181,9,0.0497237569060773
5,4,294,125,19,0.152
5,5,294,118,0,0
5,6,294,98,0,0
5,7,294,46,0,0
5,8,294,107,0,0
5,9,294,65,0,0
5,10,294,58,0,0
5,11,294,55,0,0
6,1,64,178,0,0
6,2,64,116,0,0
6,3,64,181,0,0
6,4,64,125,0,0
6,5,64,118,0,0
6,6,64,98,0,0
6,7,64,46,0,0
6,8,64,107,0,0
6,9,64,65,0,0
6,10,64,58,0,0
6,11,64,55,0,0
7,1,37,178,0,0
7,2,37,116,0,0
7,3,37,181,0,0
7,4,37,125,0,0
7,5,37,118,0,0
7,6,37,98,0,0
7,7,37,46,0,0
7,8,37,107,0,0
7,9,37,65,0,0
7,10,37,58,0,0
7,11,37,55,0,0
8,1,74,178,0,0
8,2,74,116,0,0
8,3,74,181,0,0
8,4,74,125,0,0
8,5,74,118,0,0
8,6,74,98,0,0
8,7,74,46,0,0
8,8,74,107,0,0
8,9,74,65,0,0
8,10,74,58,0,0
8,11,74,55,0,0
9,1,46,178,0,0
9,2,46,116,0,0
9,3,46,181,0,0
9,4,46,125,0,0
9,5,46,118,0,0
9,6,46,98,0,0
9,7,46,46,0,0
9,8,46,107,0,0
9,9,46,65,0,0
9,10,46,58,0,0
9,11,46,55,0,0
10,1,162,178,0,0
10,2,162,116,0,0
10,3,162,181,0,0
10,4,162,125,0,0
10,5,162,118,0,0
10,6,162,98,0,0
10,7,162,46,0,0
10,8,162,107,0,0
10,9,162,65,0,0
10,10,162,58,0,0
10,11,162,55,0,0
11,1,294,178,0,0
11,2,294,116,0,0
11,3,294,181,0,0
11,4,294,125,0,0
11,5,294,118,0,0
11,6,294,98,0,0
11,7,294,46,0,0
11,8,294,107,0,0
11,9,294,65,0,0
11,10,294,58,0,0
11,11,294,55,0,0
12,1,64,178,0,0
12,2,64,116,0,0
12,3,64,181,0,0
12,4,64,125,0,0
12,5,64,118,0,0
12,6,64,98,0,0
12,7,64,46,0,0
12,8,64,107,0,0
12,9,64,65,0,0
12,10,64,58,0,0
12,11,64,55,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
