ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,395,178,0,0
1,2,395,116,0,0
1,3,395,181,0,0
1,4,395,125,0,0
1,5,395,118,0,0
1,6,395,98,32,0.326530612244898
1,7,395,46,0,0
1,8,395,107,0,0
1,9,395,65,0,0
1,10,395,58,0,0
1,11,395,55,0,0
2,1,86,178,0,0
2,2,86,116,0,0
2,3,86,181,3,0.0348837209302326
2,4,86,125,0,0
2,5,86,118,0,0
2,6,86,98,4,0.0465116279069767
2,7,86,46,0,0
2,8,86,107,0,0
2,9,86,65,0,0
2,10,86,58,0,0
2,11,86,55,0,0
3,1,201,178,0,0
3,2,201,116,0,0
3,3,201,181,0,0
3,4,201,125,0,0
3,5,201,118,0,0
3,6,201,98,0,0
3,7,201,46,0,0
3,8,201,107,0,0
3,9,201,65,0,0
3,10,201,58,0,0
3,11,201,55,0,0
4,1,179,178,0,0
4,2,179,116,0,0
4,3,179,181,0,0
4,4,179,125,0,0
4,5,179,118,0,0
4,6,179,98,0,0
4,7,179,46,0,0
4,8,179,107,0,0
4,9,179,65,0,0
4,10,179,58,0,0
4,11,179,55,0,0
5,1,118,178,0,0
5,2,118,116,0,0
5,3,118,181,0,0
5,4,118,125,0,0
5,5,118,118,0,0
5,6,118,98,0,0
5,7,118,46,0,0
5,8,118,107,0,0
5,9,118,65,0,0
5,10,118,58,0,0
5,11,118,55,0,0
6,1,63,178,17,0.26984126984127
6,2,63,116,0,0
6,3,63,181,0,0
6,4,63,125,0,0
6,5,63,118,0,0
6,6,63,98,0,0
6,7,63,46,0,0
6,8,63,107,0,0
6,9,63,65,0,0
6,10,63,58,0,0
6,11,63,55,0,0
7,1,159,178,7,0.0440251572327044
7,2,159,116,0,0
7,3,159,181,0,0
7,4,159,125,0,0
7,5,159,118,0,0
7,6,159,98,0,0
7,7,159,46,0,0
7,8,159,107,0,0
7,9,159,65,0,0
7,10,159,58,0,0
7,11,159,55,0,0
8,1,162,178,0,0
8,2,162,116,0,0
8,3,162,181,0,0
8,4,162,125,0,0
8,5,162,118,0,0
8,6,162,98,0,0
8,7,162,46,0,0
8,8,162,107,0,0
8,9,162,65,0,0
8,10,162,58,0,0
8,11,162,55,0,0
9,1,64,178,0,0
9,2,64,116,0,0
9,3,64,181,0,0
9,4,64,125,0,0
9,5,64,118,0,0
9,6,64,98,0,0
9,7,64,46,0,0
9,8,64,107,0,0
9,9,64,65,0,0
9,10,64,58,0,0
9,11,64,55,0,0
10,1,111,178,0,0
10,2,111,116,0,0
10,3,111,181,0,0
10,4,111,125,0,0
10,5,111,118,0,0
10,6,111,98,0,0
10,7,111,46,0,0
10,8,111,107,0,0
10,9,111,65,0,0
10,10,111,58,0,0
10,11,111,55,0,0
11,1,395,178,0,0
11,2,395,116,0,0
11,3,395,181,0,0
11,4,395,125,0,0
11,5,395,118,0,0
11,6,395,98,0,0
11,7,395,46,0,0
11,8,395,107,0,0
11,9,395,65,0,0
11,10,395,58,0,0
11,11,395,55,0,0
12,1,86,178,0,0
12,2,86,116,0,0
12,3,86,181,0,0
12,4,86,125,0,0
12,5,86,118,0,0
12,6,86,98,0,0
12,7,86,46,0,0
12,8,86,107,0,0
12,9,86,65,0,0
12,10,86,58,0,0
12,11,86,55,0,0
13,1,201,178,0,0
13,2,201,116,0,0
13,3,201,181,0,0
13,4,201,125,0,0
13,5,201,118,0,0
13,6,201,98,0,0
13,7,201,46,0,0
13,8,201,107,0,0
13,9,201,65,0,0
13,10,201,58,0,0
13,11,201,55,0,0
14,1,179,178,0,0
14,2,179,116,0,0
14,3,179,181,0,0
14,4,179,125,0,0
14,5,179,118,0,0
14,6,179,98,0,0
14,7,179,46,0,0
14,8,179,107,0,0
14,9,179,65,0,0
14,10,179,58,0,0
14,11,179,55,0,0
15,1,95,178,0,0
15,2,95,116,0,0
15,3,95,181,0,0
15,4,95,125,0,0
15,5,95,118,0,0
15,6,95,98,0,0
15,7,95,46,0,0
15,8,95,107,0,0
15,9,95,65,0,0
15,10,95,58,0,0
15,11,95,55,0,0
16,1,85,178,0,0
16,2,85,116,0,0
16,3,85,181,0,0
16,4,85,125,0,0
16,5,85,118,0,0
16,6,85,98,0,0
16,7,85,46,0,0
16,8,85,107,0,0
16,9,85,65,0,0
16,10,85,58,0,0
16,11,85,55,0,0
17,1,159,178,0,0
17,2,159,116,0,0
17,3,159,181,0,0
17,4,159,125,0,0
17,5,159,118,0,0
17,6,159,98,0,0
17,7,159,46,0,0
17,8,159,107,0,0
17,9,159,65,0,0
17,10,159,58,0,0
17,11,159,55,0,0
18,1,162,178,0,0
18,2,162,116,0,0
18,3,162,181,0,0
18,4,162,125,0,0
18,5,162,118,0,0
18,6,162,98,0,0
18,7,162,46,0,0
18,8,162,107,0,0
18,9,162,65,0,0
18,10,162,58,0,0
18,11,162,55,0,0
19,1,64,178,0,0
19,2,64,116,0,0
19,3,64,181,0,0
19,4,64,125,0,0
19,5,64,118,0,0
19,6,64,98,0,0
19,7,64,46,0,0
19,8,64,107,0,0
19,9,64,65,0,0
19,10,64,58,0,0
19,11,64,55,0,0
20,1,111,178,0,0
20,2,111,116,0,0
20,3,111,181,0,0
20,4,111,125,0,0
20,5,111,118,0,0
20,6,111,98,0,0
20,7,111,46,0,0
20,8,111,107,0,0
20,9,111,65,0,0
20,10,111,58,0,0
20,11,111,55,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
