ROI,Subject,Effect, LocalizerSize,EffectSize
LH_postParietal,408_FED_20160711a2_3T1_PL2017,SEM, 395,1.680470
LH_postParietal,408_FED_20160711a2_3T1_PL2017,PERC, 395,0.931700
LH_postParietal,409_FED_20160622a_3T1_PL2017,SEM, 395,1.981631
LH_postParietal,409_FED_20160622a_3T1_PL2017,PERC, 395,2.967111
LH_postParietal,410_FED_20160623b_3T2_PL2017,SEM, 395,0.670107
LH_postParietal,410_FED_20160623b_3T2_PL2017,PERC, 395,0.387615
LH_postParietal,249_FED_20160519a_3T1_PL2017,SEM, 395,2.632188
LH_postParietal,249_FED_20160519a_3T1_PL2017,PERC, 395,2.462899
LH_postParietal,252_FED_20160907b_3T2_PL2017,SEM, 395,1.118678
LH_postParietal,252_FED_20160907b_3T2_PL2017,PERC, 395,1.171279
LH_postParietal,376_FED_20160519b_3T1_PL2017,SEM, 395,1.750312
LH_postParietal,376_FED_20160519b_3T1_PL2017,PERC, 395,1.221518
LH_postParietal,399_FED_20160519d_3T1_PL2017,SEM, 395,1.193016
LH_postParietal,399_FED_20160519d_3T1_PL2017,PERC, 395,1.404054
LH_postParietal,400_FED_20160520a_3T1_PL2017,SEM, 395,0.662134
LH_postParietal,400_FED_20160520a_3T1_PL2017,PERC, 395,0.745549
LH_postParietal,401_FED_20160520d_3T1_PL2017,SEM, 395,0.584781
LH_postParietal,401_FED_20160520d_3T1_PL2017,PERC, 395,1.258073
LH_midParietal,408_FED_20160711a2_3T1_PL2017,SEM, 86,0.225389
LH_midParietal,408_FED_20160711a2_3T1_PL2017,PERC, 86,-0.204304
LH_midParietal,409_FED_20160622a_3T1_PL2017,SEM, 86,-0.086291
LH_midParietal,409_FED_20160622a_3T1_PL2017,PERC, 86,0.786619
LH_midParietal,410_FED_20160623b_3T2_PL2017,SEM, 86,1.076952
LH_midParietal,410_FED_20160623b_3T2_PL2017,PERC, 86,0.997770
LH_midParietal,249_FED_20160519a_3T1_PL2017,SEM, 86,2.692435
LH_midParietal,249_FED_20160519a_3T1_PL2017,PERC, 86,3.078319
LH_midParietal,252_FED_20160907b_3T2_PL2017,SEM, 86,1.144714
LH_midParietal,252_FED_20160907b_3T2_PL2017,PERC, 86,1.707361
LH_midParietal,376_FED_20160519b_3T1_PL2017,SEM, 86,1.194557
LH_midParietal,376_FED_20160519b_3T1_PL2017,PERC, 86,0.721598
LH_midParietal,399_FED_20160519d_3T1_PL2017,SEM, 86,0.131651
LH_midParietal,399_FED_20160519d_3T1_PL2017,PERC, 86,0.326286
LH_midParietal,400_FED_20160520a_3T1_PL2017,SEM, 86,0.645971
LH_midParietal,400_FED_20160520a_3T1_PL2017,PERC, 86,0.893103
LH_midParietal,401_FED_20160520d_3T1_PL2017,SEM, 86,1.585188
LH_midParietal,401_FED_20160520d_3T1_PL2017,PERC, 86,2.778795
LH_antParietal,408_FED_20160711a2_3T1_PL2017,SEM, 201,0.556347
LH_antParietal,408_FED_20160711a2_3T1_PL2017,PERC, 201,0.107885
