ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Sem-photo, 338,0.800464
1,291_FED_20160803c_3T1_PL2017,Perc-photo, 338,0.880122
1,291_FED_20160803c_3T1_PL2017,Sem-sent, 338,0.444748
1,291_FED_20160803c_3T1_PL2017,Perc-sent, 338,0.592219
1,400_FED_20160520a_3T1_PL2017,Sem-photo, 338,-0.015071
1,400_FED_20160520a_3T1_PL2017,Perc-photo, 338,0.043543
1,400_FED_20160520a_3T1_PL2017,Sem-sent, 338,-0.245570
1,400_FED_20160520a_3T1_PL2017,Perc-sent, 338,-0.105255
1,419_FED_20160805a_3T1_PL2017,Sem-photo, 338,-0.040586
1,419_FED_20160805a_3T1_PL2017,Perc-photo, 338,-0.339852
1,419_FED_20160805a_3T1_PL2017,Sem-sent, 338,-0.243165
1,419_FED_20160805a_3T1_PL2017,Perc-sent, 338,-0.330065
1,773_FED_20190605c_3T2_PL2017,Sem-photo, 338,-0.172292
1,773_FED_20190605c_3T2_PL2017,Perc-photo, 338,-0.251156
1,773_FED_20190605c_3T2_PL2017,Sem-sent, 338,0.014433
1,773_FED_20190605c_3T2_PL2017,Perc-sent, 338,-0.181635
1,774_FED_20190605b_3T2_PL2017,Sem-photo, 338,0.340123
1,774_FED_20190605b_3T2_PL2017,Perc-photo, 338,0.174273
1,774_FED_20190605b_3T2_PL2017,Sem-sent, 338,0.057041
1,774_FED_20190605b_3T2_PL2017,Perc-sent, 338,0.061209
1,775_FED_20190611a_3T2_PL2017,Sem-photo, 338,-0.711562
1,775_FED_20190611a_3T2_PL2017,Perc-photo, 338,-0.883154
1,775_FED_20190611a_3T2_PL2017,Sem-sent, 338,-0.318422
1,775_FED_20190611a_3T2_PL2017,Perc-sent, 338,-0.594490
1,778_FED_20190614b_3T2_PL2017,Sem-photo, 338,0.399837
1,778_FED_20190614b_3T2_PL2017,Perc-photo, 338,-0.510426
1,778_FED_20190614b_3T2_PL2017,Sem-sent, 338,0.066634
1,778_FED_20190614b_3T2_PL2017,Perc-sent, 338,-0.311850
