ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 338,0.728519
1,249_FED_20160519a_3T1_PL2017,N, 338,0.161610
1,252_FED_20160907b_3T2_PL2017,S, 338,0.864560
1,252_FED_20160907b_3T2_PL2017,N, 338,0.432466
1,291_FED_20160803c_3T1_PL2017,S, 338,-0.115929
1,291_FED_20160803c_3T1_PL2017,N, 338,-0.252494
1,301_FED_20160908b_3T1_PL2017,S, 338,0.066160
1,301_FED_20160908b_3T1_PL2017,N, 338,-0.247162
1,376_FED_20160519b_3T1_PL2017,S, 338,0.618027
1,376_FED_20160519b_3T1_PL2017,N, 338,-0.147855
1,399_FED_20160519d_3T1_PL2017,S, 338,0.013484
1,399_FED_20160519d_3T1_PL2017,N, 338,0.035980
1,400_FED_20160520a_3T1_PL2017,S, 338,-0.008095
1,400_FED_20160520a_3T1_PL2017,N, 338,-0.204068
1,401_FED_20160520d_3T1_PL2017,S, 338,0.023557
1,401_FED_20160520d_3T1_PL2017,N, 338,-0.017178
1,419_FED_20160805a_3T1_PL2017,S, 338,-0.121400
1,419_FED_20160805a_3T1_PL2017,N, 338,-0.124936
1,420_FED_20160805b_3T1_PL2017,S, 338,0.351943
1,420_FED_20160805b_3T1_PL2017,N, 338,0.165658
1,426_FED_20160908d_3T1_PL2017,S, 338,0.701136
1,426_FED_20160908d_3T1_PL2017,N, 338,0.094263
1,682_FED_20190426a_3T2_PL2017,S, 338,0.063395
1,682_FED_20190426a_3T2_PL2017,N, 338,0.234805
1,767_FED_20190418b_3T2_PL2017,S, 338,0.142610
1,767_FED_20190418b_3T2_PL2017,N, 338,0.080550
1,768_FED_20190517a_3T2_PL2017,S, 338,0.201615
1,768_FED_20190517a_3T2_PL2017,N, 338,0.310626
1,769_FED_20190522a_3T2_PL2017,S, 338,0.516783
1,769_FED_20190522a_3T2_PL2017,N, 338,-0.141019
1,770_FED_20190523b_3T2_PL2017,S, 338,0.060777
1,770_FED_20190523b_3T2_PL2017,N, 338,-0.034484
1,773_FED_20190605c_3T2_PL2017,S, 338,-0.086842
1,773_FED_20190605c_3T2_PL2017,N, 338,-0.044670
1,774_FED_20190605b_3T2_PL2017,S, 338,-0.165121
1,774_FED_20190605b_3T2_PL2017,N, 338,-0.156577
1,775_FED_20190611a_3T2_PL2017,S, 338,0.000822
1,775_FED_20190611a_3T2_PL2017,N, 338,0.003839
1,778_FED_20190614b_3T2_PL2017,S, 338,-0.102832
1,778_FED_20190614b_3T2_PL2017,N, 338,-0.339093
1,863_FED_20211124a_3T1_PL2017,S, 338,-0.238635
1,863_FED_20211124a_3T1_PL2017,N, 338,-0.328754
