ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 0,NaN
1,199_KAN_parametric_20_PL2017,N, 0,NaN
1,261_FED_20160523c_3T2_PL2017,S, 0,NaN
1,261_FED_20160523c_3T2_PL2017,N, 0,NaN
1,407_FED_20160804a_3T1_PL2017,S, 0,NaN
1,407_FED_20160804a_3T1_PL2017,N, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,S, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,N, 0,NaN
1,409_FED_20160622a_3T1_PL2017,S, 0,NaN
1,409_FED_20160622a_3T1_PL2017,N, 0,NaN
1,410_FED_20160623b_3T2_PL2017,S, 0,NaN
1,410_FED_20160623b_3T2_PL2017,N, 0,NaN
1,730_FED_20190306a_3T2_PL2017,S, 0,NaN
1,730_FED_20190306a_3T2_PL2017,N, 0,NaN
1,776_FED_20190611b_3T2_PL2017,S, 0,NaN
1,776_FED_20190611b_3T2_PL2017,N, 0,NaN
1,291_FED_20160803c_3T1_PL2017,S, 0,NaN
1,291_FED_20160803c_3T1_PL2017,N, 0,NaN
1,400_FED_20160520a_3T1_PL2017,S, 0,NaN
1,400_FED_20160520a_3T1_PL2017,N, 0,NaN
1,419_FED_20160805a_3T1_PL2017,S, 0,NaN
1,419_FED_20160805a_3T1_PL2017,N, 0,NaN
1,773_FED_20190605c_3T2_PL2017,S, 0,NaN
1,773_FED_20190605c_3T2_PL2017,N, 0,NaN
1,774_FED_20190605b_3T2_PL2017,S, 0,NaN
1,774_FED_20190605b_3T2_PL2017,N, 0,NaN
1,775_FED_20190611a_3T2_PL2017,S, 0,NaN
1,775_FED_20190611a_3T2_PL2017,N, 0,NaN
1,778_FED_20190614b_3T2_PL2017,S, 0,NaN
1,778_FED_20190614b_3T2_PL2017,N, 0,NaN
2,199_KAN_parametric_20_PL2017,S, 178,2.413261
2,199_KAN_parametric_20_PL2017,N, 178,1.639245
2,261_FED_20160523c_3T2_PL2017,S, 178,0.618877
2,261_FED_20160523c_3T2_PL2017,N, 178,1.257166
2,407_FED_20160804a_3T1_PL2017,S, 178,0.755434
2,407_FED_20160804a_3T1_PL2017,N, 178,0.448490
2,408_FED_20160711a2_3T1_PL2017,S, 178,0.476996
2,408_FED_20160711a2_3T1_PL2017,N, 178,0.505546
2,409_FED_20160622a_3T1_PL2017,S, 178,-0.226895
2,409_FED_20160622a_3T1_PL2017,N, 178,-0.181105
2,410_FED_20160623b_3T2_PL2017,S, 178,0.521917
2,410_FED_20160623b_3T2_PL2017,N, 178,0.169412
2,730_FED_20190306a_3T2_PL2017,S, 178,1.369896
2,730_FED_20190306a_3T2_PL2017,N, 178,2.320553
2,776_FED_20190611b_3T2_PL2017,S, 178,0.245466
2,776_FED_20190611b_3T2_PL2017,N, 178,0.118276
2,291_FED_20160803c_3T1_PL2017,S, 178,2.138135
2,291_FED_20160803c_3T1_PL2017,N, 178,1.466393
2,400_FED_20160520a_3T1_PL2017,S, 178,2.587719
2,400_FED_20160520a_3T1_PL2017,N, 178,2.092537
2,419_FED_20160805a_3T1_PL2017,S, 178,0.718067
2,419_FED_20160805a_3T1_PL2017,N, 178,0.760390
2,773_FED_20190605c_3T2_PL2017,S, 178,0.808765
2,773_FED_20190605c_3T2_PL2017,N, 178,0.771086
2,774_FED_20190605b_3T2_PL2017,S, 178,0.574498
2,774_FED_20190605b_3T2_PL2017,N, 178,0.156380
2,775_FED_20190611a_3T2_PL2017,S, 178,0.465260
2,775_FED_20190611a_3T2_PL2017,N, 178,-0.485246
2,778_FED_20190614b_3T2_PL2017,S, 178,0.701744
2,778_FED_20190614b_3T2_PL2017,N, 178,0.995660
3,199_KAN_parametric_20_PL2017,S, 0,NaN
3,199_KAN_parametric_20_PL2017,N, 0,NaN
3,261_FED_20160523c_3T2_PL2017,S, 0,NaN
3,261_FED_20160523c_3T2_PL2017,N, 0,NaN
3,407_FED_20160804a_3T1_PL2017,S, 0,NaN
3,407_FED_20160804a_3T1_PL2017,N, 0,NaN
