ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 0,NaN
1,040_KAN_langevents_01_PL2017,W, 0,NaN
1,040_KAN_langevents_01_PL2017,N, 0,NaN
1,057_KAN_langevents_02_PL2017,S, 0,NaN
1,057_KAN_langevents_02_PL2017,W, 0,NaN
1,057_KAN_langevents_02_PL2017,N, 0,NaN
1,059_KAN_langevents_04_PL2017,S, 0,NaN
1,059_KAN_langevents_04_PL2017,W, 0,NaN
1,059_KAN_langevents_04_PL2017,N, 0,NaN
1,056_KAN_langevents_05_PL2017,S, 0,NaN
1,056_KAN_langevents_05_PL2017,W, 0,NaN
1,056_KAN_langevents_05_PL2017,N, 0,NaN
1,067_KAN_langevents_06_PL2017,S, 0,NaN
1,067_KAN_langevents_06_PL2017,W, 0,NaN
1,067_KAN_langevents_06_PL2017,N, 0,NaN
1,068_KAN_langevents_07_PL2017,S, 0,NaN
1,068_KAN_langevents_07_PL2017,W, 0,NaN
1,068_KAN_langevents_07_PL2017,N, 0,NaN
1,019_KAN_langevents_08_PL2017,S, 0,NaN
1,019_KAN_langevents_08_PL2017,W, 0,NaN
1,019_KAN_langevents_08_PL2017,N, 0,NaN
1,070_KAN_langevents_11_PL2017,S, 0,NaN
1,070_KAN_langevents_11_PL2017,W, 0,NaN
1,070_KAN_langevents_11_PL2017,N, 0,NaN
1,087_KAN_langevents_12_PL2017,S, 0,NaN
1,087_KAN_langevents_12_PL2017,W, 0,NaN
1,087_KAN_langevents_12_PL2017,N, 0,NaN
1,078_KAN_langevents_13_PL2017,S, 0,NaN
1,078_KAN_langevents_13_PL2017,W, 0,NaN
1,078_KAN_langevents_13_PL2017,N, 0,NaN
1,089_KAN_langevents_15_PL2017,S, 0,NaN
1,089_KAN_langevents_15_PL2017,W, 0,NaN
1,089_KAN_langevents_15_PL2017,N, 0,NaN
1,076_KAN_langevents_16_PL2017,S, 0,NaN
1,076_KAN_langevents_16_PL2017,W, 0,NaN
1,076_KAN_langevents_16_PL2017,N, 0,NaN
2,040_KAN_langevents_01_PL2017,S, 178,1.384293
2,040_KAN_langevents_01_PL2017,W, 178,1.632681
2,040_KAN_langevents_01_PL2017,N, 178,1.907919
2,057_KAN_langevents_02_PL2017,S, 178,2.456413
2,057_KAN_langevents_02_PL2017,W, 178,4.581765
2,057_KAN_langevents_02_PL2017,N, 178,2.498048
2,059_KAN_langevents_04_PL2017,S, 178,1.559820
2,059_KAN_langevents_04_PL2017,W, 178,1.462470
2,059_KAN_langevents_04_PL2017,N, 178,1.287735
2,056_KAN_langevents_05_PL2017,S, 178,0.520334
2,056_KAN_langevents_05_PL2017,W, 178,0.933739
2,056_KAN_langevents_05_PL2017,N, 178,1.183101
2,067_KAN_langevents_06_PL2017,S, 178,0.134729
2,067_KAN_langevents_06_PL2017,W, 178,-0.906167
2,067_KAN_langevents_06_PL2017,N, 178,-0.136400
2,068_KAN_langevents_07_PL2017,S, 178,0.568867
2,068_KAN_langevents_07_PL2017,W, 178,0.865900
2,068_KAN_langevents_07_PL2017,N, 178,1.036670
2,019_KAN_langevents_08_PL2017,S, 178,0.147096
2,019_KAN_langevents_08_PL2017,W, 178,0.317722
2,019_KAN_langevents_08_PL2017,N, 178,1.002409
2,070_KAN_langevents_11_PL2017,S, 178,1.029453
2,070_KAN_langevents_11_PL2017,W, 178,0.948909
2,070_KAN_langevents_11_PL2017,N, 178,0.969724
2,087_KAN_langevents_12_PL2017,S, 178,0.069098
2,087_KAN_langevents_12_PL2017,W, 178,0.006983
2,087_KAN_langevents_12_PL2017,N, 178,0.178386
2,078_KAN_langevents_13_PL2017,S, 178,0.105269
2,078_KAN_langevents_13_PL2017,W, 178,0.203882
2,078_KAN_langevents_13_PL2017,N, 178,0.220819
2,089_KAN_langevents_15_PL2017,S, 178,-0.118468
2,089_KAN_langevents_15_PL2017,W, 178,-0.147196
2,089_KAN_langevents_15_PL2017,N, 178,-0.090516
2,076_KAN_langevents_16_PL2017,S, 178,1.157085
2,076_KAN_langevents_16_PL2017,W, 178,1.155040
2,076_KAN_langevents_16_PL2017,N, 178,1.846308
3,040_KAN_langevents_01_PL2017,S, 0,NaN
3,040_KAN_langevents_01_PL2017,W, 0,NaN
3,040_KAN_langevents_01_PL2017,N, 0,NaN
3,057_KAN_langevents_02_PL2017,S, 0,NaN
3,057_KAN_langevents_02_PL2017,W, 0,NaN
3,057_KAN_langevents_02_PL2017,N, 0,NaN
3,059_KAN_langevents_04_PL2017,S, 0,NaN
3,059_KAN_langevents_04_PL2017,W, 0,NaN
3,059_KAN_langevents_04_PL2017,N, 0,NaN
3,056_KAN_langevents_05_PL2017,S, 0,NaN
3,056_KAN_langevents_05_PL2017,W, 0,NaN
3,056_KAN_langevents_05_PL2017,N, 0,NaN
3,067_KAN_langevents_06_PL2017,S, 0,NaN
3,067_KAN_langevents_06_PL2017,W, 0,NaN
3,067_KAN_langevents_06_PL2017,N, 0,NaN
3,068_KAN_langevents_07_PL2017,S, 0,NaN
3,068_KAN_langevents_07_PL2017,W, 0,NaN
3,068_KAN_langevents_07_PL2017,N, 0,NaN
3,019_KAN_langevents_08_PL2017,S, 0,NaN
3,019_KAN_langevents_08_PL2017,W, 0,NaN
3,019_KAN_langevents_08_PL2017,N, 0,NaN
3,070_KAN_langevents_11_PL2017,S, 0,NaN
3,070_KAN_langevents_11_PL2017,W, 0,NaN
3,070_KAN_langevents_11_PL2017,N, 0,NaN
3,087_KAN_langevents_12_PL2017,S, 0,NaN
3,087_KAN_langevents_12_PL2017,W, 0,NaN
3,087_KAN_langevents_12_PL2017,N, 0,NaN
3,078_KAN_langevents_13_PL2017,S, 0,NaN
3,078_KAN_langevents_13_PL2017,W, 0,NaN
3,078_KAN_langevents_13_PL2017,N, 0,NaN
3,089_KAN_langevents_15_PL2017,S, 0,NaN
3,089_KAN_langevents_15_PL2017,W, 0,NaN
3,089_KAN_langevents_15_PL2017,N, 0,NaN
3,076_KAN_langevents_16_PL2017,S, 0,NaN
3,076_KAN_langevents_16_PL2017,W, 0,NaN
3,076_KAN_langevents_16_PL2017,N, 0,NaN
4,040_KAN_langevents_01_PL2017,S, 116,0.317031
4,040_KAN_langevents_01_PL2017,W, 116,0.354107
4,040_KAN_langevents_01_PL2017,N, 116,0.443477
4,057_KAN_langevents_02_PL2017,S, 116,2.728339
4,057_KAN_langevents_02_PL2017,W, 116,4.503601
4,057_KAN_langevents_02_PL2017,N, 116,1.923733
4,059_KAN_langevents_04_PL2017,S, 116,0.740796
4,059_KAN_langevents_04_PL2017,W, 116,0.713295
4,059_KAN_langevents_04_PL2017,N, 116,0.482096
4,056_KAN_langevents_05_PL2017,S, 116,-0.231555
4,056_KAN_langevents_05_PL2017,W, 116,-0.284066
4,056_KAN_langevents_05_PL2017,N, 116,0.246581
4,067_KAN_langevents_06_PL2017,S, 116,-0.707947
4,067_KAN_langevents_06_PL2017,W, 116,-1.510174
4,067_KAN_langevents_06_PL2017,N, 116,-0.069689
4,068_KAN_langevents_07_PL2017,S, 116,0.721100
4,068_KAN_langevents_07_PL2017,W, 116,0.764364
4,068_KAN_langevents_07_PL2017,N, 116,0.439083
4,019_KAN_langevents_08_PL2017,S, 116,-0.288180
4,019_KAN_langevents_08_PL2017,W, 116,0.676777
4,019_KAN_langevents_08_PL2017,N, 116,1.076442
4,070_KAN_langevents_11_PL2017,S, 116,0.687857
4,070_KAN_langevents_11_PL2017,W, 116,0.363074
4,070_KAN_langevents_11_PL2017,N, 116,0.574709
4,087_KAN_langevents_12_PL2017,S, 116,0.012635
4,087_KAN_langevents_12_PL2017,W, 116,0.025129
4,087_KAN_langevents_12_PL2017,N, 116,0.098760
4,078_KAN_langevents_13_PL2017,S, 116,0.293310
4,078_KAN_langevents_13_PL2017,W, 116,0.578662
4,078_KAN_langevents_13_PL2017,N, 116,0.184786
4,089_KAN_langevents_15_PL2017,S, 116,0.192684
4,089_KAN_langevents_15_PL2017,W, 116,0.215332
4,089_KAN_langevents_15_PL2017,N, 116,0.402937
4,076_KAN_langevents_16_PL2017,S, 116,-0.325458
4,076_KAN_langevents_16_PL2017,W, 116,-0.399709
4,076_KAN_langevents_16_PL2017,N, 116,-0.289994
5,040_KAN_langevents_01_PL2017,S, 0,NaN
5,040_KAN_langevents_01_PL2017,W, 0,NaN
5,040_KAN_langevents_01_PL2017,N, 0,NaN
5,057_KAN_langevents_02_PL2017,S, 0,NaN
5,057_KAN_langevents_02_PL2017,W, 0,NaN
5,057_KAN_langevents_02_PL2017,N, 0,NaN
5,059_KAN_langevents_04_PL2017,S, 0,NaN
5,059_KAN_langevents_04_PL2017,W, 0,NaN
5,059_KAN_langevents_04_PL2017,N, 0,NaN
5,056_KAN_langevents_05_PL2017,S, 0,NaN
5,056_KAN_langevents_05_PL2017,W, 0,NaN
5,056_KAN_langevents_05_PL2017,N, 0,NaN
5,067_KAN_langevents_06_PL2017,S, 0,NaN
5,067_KAN_langevents_06_PL2017,W, 0,NaN
5,067_KAN_langevents_06_PL2017,N, 0,NaN
5,068_KAN_langevents_07_PL2017,S, 0,NaN
5,068_KAN_langevents_07_PL2017,W, 0,NaN
5,068_KAN_langevents_07_PL2017,N, 0,NaN
5,019_KAN_langevents_08_PL2017,S, 0,NaN
5,019_KAN_langevents_08_PL2017,W, 0,NaN
5,019_KAN_langevents_08_PL2017,N, 0,NaN
5,070_KAN_langevents_11_PL2017,S, 0,NaN
5,070_KAN_langevents_11_PL2017,W, 0,NaN
5,070_KAN_langevents_11_PL2017,N, 0,NaN
5,087_KAN_langevents_12_PL2017,S, 0,NaN
5,087_KAN_langevents_12_PL2017,W, 0,NaN
5,087_KAN_langevents_12_PL2017,N, 0,NaN
5,078_KAN_langevents_13_PL2017,S, 0,NaN
5,078_KAN_langevents_13_PL2017,W, 0,NaN
5,078_KAN_langevents_13_PL2017,N, 0,NaN
