ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,S, 0,NaN
1,249_FED_20160519a_3T1_PL2017,N, 0,NaN
1,252_FED_20160907b_3T2_PL2017,S, 0,NaN
1,252_FED_20160907b_3T2_PL2017,N, 0,NaN
1,291_FED_20160803c_3T1_PL2017,S, 0,NaN
1,291_FED_20160803c_3T1_PL2017,N, 0,NaN
1,301_FED_20160908b_3T1_PL2017,S, 0,NaN
1,301_FED_20160908b_3T1_PL2017,N, 0,NaN
1,376_FED_20160519b_3T1_PL2017,S, 0,NaN
1,376_FED_20160519b_3T1_PL2017,N, 0,NaN
1,399_FED_20160519d_3T1_PL2017,S, 0,NaN
1,399_FED_20160519d_3T1_PL2017,N, 0,NaN
1,400_FED_20160520a_3T1_PL2017,S, 0,NaN
1,400_FED_20160520a_3T1_PL2017,N, 0,NaN
1,401_FED_20160520d_3T1_PL2017,S, 0,NaN
1,401_FED_20160520d_3T1_PL2017,N, 0,NaN
1,419_FED_20160805a_3T1_PL2017,S, 0,NaN
1,419_FED_20160805a_3T1_PL2017,N, 0,NaN
1,420_FED_20160805b_3T1_PL2017,S, 0,NaN
1,420_FED_20160805b_3T1_PL2017,N, 0,NaN
1,426_FED_20160908d_3T1_PL2017,S, 0,NaN
1,426_FED_20160908d_3T1_PL2017,N, 0,NaN
1,682_FED_20190426a_3T2_PL2017,S, 0,NaN
1,682_FED_20190426a_3T2_PL2017,N, 0,NaN
1,767_FED_20190418b_3T2_PL2017,S, 0,NaN
1,767_FED_20190418b_3T2_PL2017,N, 0,NaN
1,768_FED_20190517a_3T2_PL2017,S, 0,NaN
1,768_FED_20190517a_3T2_PL2017,N, 0,NaN
1,769_FED_20190522a_3T2_PL2017,S, 0,NaN
1,769_FED_20190522a_3T2_PL2017,N, 0,NaN
1,770_FED_20190523b_3T2_PL2017,S, 0,NaN
1,770_FED_20190523b_3T2_PL2017,N, 0,NaN
1,773_FED_20190605c_3T2_PL2017,S, 0,NaN
1,773_FED_20190605c_3T2_PL2017,N, 0,NaN
1,774_FED_20190605b_3T2_PL2017,S, 0,NaN
1,774_FED_20190605b_3T2_PL2017,N, 0,NaN
1,775_FED_20190611a_3T2_PL2017,S, 0,NaN
1,775_FED_20190611a_3T2_PL2017,N, 0,NaN
1,778_FED_20190614b_3T2_PL2017,S, 0,NaN
1,778_FED_20190614b_3T2_PL2017,N, 0,NaN
1,863_FED_20211124a_3T1_PL2017,S, 0,NaN
1,863_FED_20211124a_3T1_PL2017,N, 0,NaN
2,249_FED_20160519a_3T1_PL2017,S, 178,-0.078167
2,249_FED_20160519a_3T1_PL2017,N, 178,-0.893425
