ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,Sem_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_photo, 0,NaN
1,040_KAN_langevents_01_PL2017,Sem_sent, 0,NaN
1,040_KAN_langevents_01_PL2017,Perc_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_photo, 0,NaN
1,057_KAN_langevents_02_PL2017,Sem_sent, 0,NaN
1,057_KAN_langevents_02_PL2017,Perc_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_photo, 0,NaN
1,059_KAN_langevents_04_PL2017,Sem_sent, 0,NaN
1,059_KAN_langevents_04_PL2017,Perc_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_photo, 0,NaN
1,056_KAN_langevents_05_PL2017,Sem_sent, 0,NaN
1,056_KAN_langevents_05_PL2017,Perc_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_photo, 0,NaN
1,067_KAN_langevents_06_PL2017,Sem_sent, 0,NaN
1,067_KAN_langevents_06_PL2017,Perc_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_photo, 0,NaN
1,068_KAN_langevents_07_PL2017,Sem_sent, 0,NaN
1,068_KAN_langevents_07_PL2017,Perc_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_photo, 0,NaN
1,019_KAN_langevents_08_PL2017,Sem_sent, 0,NaN
1,019_KAN_langevents_08_PL2017,Perc_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_photo, 0,NaN
1,070_KAN_langevents_11_PL2017,Sem_sent, 0,NaN
1,070_KAN_langevents_11_PL2017,Perc_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_photo, 0,NaN
1,087_KAN_langevents_12_PL2017,Sem_sent, 0,NaN
1,087_KAN_langevents_12_PL2017,Perc_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_photo, 0,NaN
1,078_KAN_langevents_13_PL2017,Sem_sent, 0,NaN
1,078_KAN_langevents_13_PL2017,Perc_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_photo, 0,NaN
1,089_KAN_langevents_15_PL2017,Sem_sent, 0,NaN
1,089_KAN_langevents_15_PL2017,Perc_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_photo, 0,NaN
1,076_KAN_langevents_16_PL2017,Sem_sent, 0,NaN
1,076_KAN_langevents_16_PL2017,Perc_sent, 0,NaN
2,040_KAN_langevents_01_PL2017,Sem_photo, 178,2.829063
2,040_KAN_langevents_01_PL2017,Perc_photo, 178,2.091554
2,040_KAN_langevents_01_PL2017,Sem_sent, 178,2.687360
2,040_KAN_langevents_01_PL2017,Perc_sent, 178,1.487282
2,057_KAN_langevents_02_PL2017,Sem_photo, 178,1.716238
2,057_KAN_langevents_02_PL2017,Perc_photo, 178,0.963634
2,057_KAN_langevents_02_PL2017,Sem_sent, 178,1.872841
2,057_KAN_langevents_02_PL2017,Perc_sent, 178,0.919738
2,059_KAN_langevents_04_PL2017,Sem_photo, 178,2.082132
2,059_KAN_langevents_04_PL2017,Perc_photo, 178,1.048711
2,059_KAN_langevents_04_PL2017,Sem_sent, 178,1.905191
2,059_KAN_langevents_04_PL2017,Perc_sent, 178,1.381631
2,056_KAN_langevents_05_PL2017,Sem_photo, 178,1.703075
2,056_KAN_langevents_05_PL2017,Perc_photo, 178,1.209312
2,056_KAN_langevents_05_PL2017,Sem_sent, 178,0.991482
2,056_KAN_langevents_05_PL2017,Perc_sent, 178,1.263388
2,067_KAN_langevents_06_PL2017,Sem_photo, 178,3.562157
2,067_KAN_langevents_06_PL2017,Perc_photo, 178,2.712718
2,067_KAN_langevents_06_PL2017,Sem_sent, 178,1.765886
2,067_KAN_langevents_06_PL2017,Perc_sent, 178,0.462080
2,068_KAN_langevents_07_PL2017,Sem_photo, 178,2.646870
2,068_KAN_langevents_07_PL2017,Perc_photo, 178,2.259935
2,068_KAN_langevents_07_PL2017,Sem_sent, 178,2.078033
2,068_KAN_langevents_07_PL2017,Perc_sent, 178,1.236697
2,019_KAN_langevents_08_PL2017,Sem_photo, 178,0.334027
2,019_KAN_langevents_08_PL2017,Perc_photo, 178,-0.327372
2,019_KAN_langevents_08_PL2017,Sem_sent, 178,1.025694
2,019_KAN_langevents_08_PL2017,Perc_sent, 178,-0.721173
2,070_KAN_langevents_11_PL2017,Sem_photo, 178,2.839209
2,070_KAN_langevents_11_PL2017,Perc_photo, 178,1.510644
2,070_KAN_langevents_11_PL2017,Sem_sent, 178,2.187929
2,070_KAN_langevents_11_PL2017,Perc_sent, 178,0.903864
