ROI,Subject,Effect, LocalizerSize,EffectSize
1,040_KAN_langevents_01_PL2017,S, 0,NaN
1,040_KAN_langevents_01_PL2017,W, 0,NaN
1,040_KAN_langevents_01_PL2017,N, 0,NaN
1,057_KAN_langevents_02_PL2017,S, 0,NaN
1,057_KAN_langevents_02_PL2017,W, 0,NaN
1,057_KAN_langevents_02_PL2017,N, 0,NaN
1,059_KAN_langevents_04_PL2017,S, 0,NaN
1,059_KAN_langevents_04_PL2017,W, 0,NaN
1,059_KAN_langevents_04_PL2017,N, 0,NaN
1,056_KAN_langevents_05_PL2017,S, 0,NaN
1,056_KAN_langevents_05_PL2017,W, 0,NaN
1,056_KAN_langevents_05_PL2017,N, 0,NaN
1,067_KAN_langevents_06_PL2017,S, 0,NaN
1,067_KAN_langevents_06_PL2017,W, 0,NaN
1,067_KAN_langevents_06_PL2017,N, 0,NaN
1,068_KAN_langevents_07_PL2017,S, 0,NaN
1,068_KAN_langevents_07_PL2017,W, 0,NaN
1,068_KAN_langevents_07_PL2017,N, 0,NaN
1,019_KAN_langevents_08_PL2017,S, 0,NaN
1,019_KAN_langevents_08_PL2017,W, 0,NaN
1,019_KAN_langevents_08_PL2017,N, 0,NaN
1,070_KAN_langevents_11_PL2017,S, 0,NaN
1,070_KAN_langevents_11_PL2017,W, 0,NaN
1,070_KAN_langevents_11_PL2017,N, 0,NaN
1,087_KAN_langevents_12_PL2017,S, 0,NaN
1,087_KAN_langevents_12_PL2017,W, 0,NaN
1,087_KAN_langevents_12_PL2017,N, 0,NaN
1,078_KAN_langevents_13_PL2017,S, 0,NaN
1,078_KAN_langevents_13_PL2017,W, 0,NaN
1,078_KAN_langevents_13_PL2017,N, 0,NaN
1,089_KAN_langevents_15_PL2017,S, 0,NaN
1,089_KAN_langevents_15_PL2017,W, 0,NaN
1,089_KAN_langevents_15_PL2017,N, 0,NaN
1,076_KAN_langevents_16_PL2017,S, 0,NaN
1,076_KAN_langevents_16_PL2017,W, 0,NaN
1,076_KAN_langevents_16_PL2017,N, 0,NaN
2,040_KAN_langevents_01_PL2017,S, 178,2.260819
2,040_KAN_langevents_01_PL2017,W, 178,2.394888
2,040_KAN_langevents_01_PL2017,N, 178,3.045099
2,057_KAN_langevents_02_PL2017,S, 178,2.260362
2,057_KAN_langevents_02_PL2017,W, 178,4.564767
2,057_KAN_langevents_02_PL2017,N, 178,2.216863
2,059_KAN_langevents_04_PL2017,S, 178,1.321347
2,059_KAN_langevents_04_PL2017,W, 178,1.265208
2,059_KAN_langevents_04_PL2017,N, 178,1.113671
2,056_KAN_langevents_05_PL2017,S, 178,0.097657
2,056_KAN_langevents_05_PL2017,W, 178,0.321856
2,056_KAN_langevents_05_PL2017,N, 178,0.298419
2,067_KAN_langevents_06_PL2017,S, 178,0.590202
2,067_KAN_langevents_06_PL2017,W, 178,-0.629052
2,067_KAN_langevents_06_PL2017,N, 178,0.152026
2,068_KAN_langevents_07_PL2017,S, 178,0.399727
2,068_KAN_langevents_07_PL2017,W, 178,0.850497
2,068_KAN_langevents_07_PL2017,N, 178,1.185768
2,019_KAN_langevents_08_PL2017,S, 178,0.215873
2,019_KAN_langevents_08_PL2017,W, 178,0.244512
2,019_KAN_langevents_08_PL2017,N, 178,1.300775
2,070_KAN_langevents_11_PL2017,S, 178,1.335394
2,070_KAN_langevents_11_PL2017,W, 178,1.409318
2,070_KAN_langevents_11_PL2017,N, 178,1.770098
2,087_KAN_langevents_12_PL2017,S, 178,0.227491
2,087_KAN_langevents_12_PL2017,W, 178,0.135113
2,087_KAN_langevents_12_PL2017,N, 178,0.351113
2,078_KAN_langevents_13_PL2017,S, 178,0.063113
2,078_KAN_langevents_13_PL2017,W, 178,0.157434
2,078_KAN_langevents_13_PL2017,N, 178,0.044205
2,089_KAN_langevents_15_PL2017,S, 178,0.268091
2,089_KAN_langevents_15_PL2017,W, 178,0.304678
2,089_KAN_langevents_15_PL2017,N, 178,0.516156
2,076_KAN_langevents_16_PL2017,S, 178,1.517646
2,076_KAN_langevents_16_PL2017,W, 178,1.644203
2,076_KAN_langevents_16_PL2017,N, 178,2.327618
3,040_KAN_langevents_01_PL2017,S, 0,NaN
3,040_KAN_langevents_01_PL2017,W, 0,NaN
3,040_KAN_langevents_01_PL2017,N, 0,NaN
3,057_KAN_langevents_02_PL2017,S, 0,NaN
3,057_KAN_langevents_02_PL2017,W, 0,NaN
3,057_KAN_langevents_02_PL2017,N, 0,NaN
3,059_KAN_langevents_04_PL2017,S, 0,NaN
3,059_KAN_langevents_04_PL2017,W, 0,NaN
3,059_KAN_langevents_04_PL2017,N, 0,NaN
3,056_KAN_langevents_05_PL2017,S, 0,NaN
3,056_KAN_langevents_05_PL2017,W, 0,NaN
3,056_KAN_langevents_05_PL2017,N, 0,NaN
3,067_KAN_langevents_06_PL2017,S, 0,NaN
3,067_KAN_langevents_06_PL2017,W, 0,NaN
3,067_KAN_langevents_06_PL2017,N, 0,NaN
3,068_KAN_langevents_07_PL2017,S, 0,NaN
3,068_KAN_langevents_07_PL2017,W, 0,NaN
3,068_KAN_langevents_07_PL2017,N, 0,NaN
3,019_KAN_langevents_08_PL2017,S, 0,NaN
3,019_KAN_langevents_08_PL2017,W, 0,NaN
3,019_KAN_langevents_08_PL2017,N, 0,NaN
3,070_KAN_langevents_11_PL2017,S, 0,NaN
3,070_KAN_langevents_11_PL2017,W, 0,NaN
3,070_KAN_langevents_11_PL2017,N, 0,NaN
3,087_KAN_langevents_12_PL2017,S, 0,NaN
3,087_KAN_langevents_12_PL2017,W, 0,NaN
3,087_KAN_langevents_12_PL2017,N, 0,NaN
3,078_KAN_langevents_13_PL2017,S, 0,NaN
3,078_KAN_langevents_13_PL2017,W, 0,NaN
3,078_KAN_langevents_13_PL2017,N, 0,NaN
3,089_KAN_langevents_15_PL2017,S, 0,NaN
3,089_KAN_langevents_15_PL2017,W, 0,NaN
3,089_KAN_langevents_15_PL2017,N, 0,NaN
3,076_KAN_langevents_16_PL2017,S, 0,NaN
3,076_KAN_langevents_16_PL2017,W, 0,NaN
3,076_KAN_langevents_16_PL2017,N, 0,NaN
4,040_KAN_langevents_01_PL2017,S, 116,0.774414
4,040_KAN_langevents_01_PL2017,W, 116,1.012282
4,040_KAN_langevents_01_PL2017,N, 116,1.097692
4,057_KAN_langevents_02_PL2017,S, 116,2.683145
4,057_KAN_langevents_02_PL2017,W, 116,4.585891
4,057_KAN_langevents_02_PL2017,N, 116,2.114482
4,059_KAN_langevents_04_PL2017,S, 116,0.560351
4,059_KAN_langevents_04_PL2017,W, 116,0.637363
4,059_KAN_langevents_04_PL2017,N, 116,0.440601
4,056_KAN_langevents_05_PL2017,S, 116,0.023040
4,056_KAN_langevents_05_PL2017,W, 116,0.047503
4,056_KAN_langevents_05_PL2017,N, 116,0.322651
4,067_KAN_langevents_06_PL2017,S, 116,-0.333491
4,067_KAN_langevents_06_PL2017,W, 116,-0.971302
4,067_KAN_langevents_06_PL2017,N, 116,0.045164
4,068_KAN_langevents_07_PL2017,S, 116,0.272156
4,068_KAN_langevents_07_PL2017,W, 116,0.452632
4,068_KAN_langevents_07_PL2017,N, 116,0.259534
4,019_KAN_langevents_08_PL2017,S, 116,-0.278453
4,019_KAN_langevents_08_PL2017,W, 116,0.418818
4,019_KAN_langevents_08_PL2017,N, 116,1.281214
4,070_KAN_langevents_11_PL2017,S, 116,1.764046
4,070_KAN_langevents_11_PL2017,W, 116,1.345604
4,070_KAN_langevents_11_PL2017,N, 116,1.932156
4,087_KAN_langevents_12_PL2017,S, 116,0.217740
4,087_KAN_langevents_12_PL2017,W, 116,0.222245
4,087_KAN_langevents_12_PL2017,N, 116,0.225189
4,078_KAN_langevents_13_PL2017,S, 116,0.224708
4,078_KAN_langevents_13_PL2017,W, 116,0.459405
4,078_KAN_langevents_13_PL2017,N, 116,0.118274
4,089_KAN_langevents_15_PL2017,S, 116,0.304898
4,089_KAN_langevents_15_PL2017,W, 116,0.270783
4,089_KAN_langevents_15_PL2017,N, 116,0.640765
4,076_KAN_langevents_16_PL2017,S, 116,0.651142
4,076_KAN_langevents_16_PL2017,W, 116,0.622063
4,076_KAN_langevents_16_PL2017,N, 116,0.675361
5,040_KAN_langevents_01_PL2017,S, 0,NaN
5,040_KAN_langevents_01_PL2017,W, 0,NaN
5,040_KAN_langevents_01_PL2017,N, 0,NaN
5,057_KAN_langevents_02_PL2017,S, 0,NaN
5,057_KAN_langevents_02_PL2017,W, 0,NaN
5,057_KAN_langevents_02_PL2017,N, 0,NaN
5,059_KAN_langevents_04_PL2017,S, 0,NaN
5,059_KAN_langevents_04_PL2017,W, 0,NaN
5,059_KAN_langevents_04_PL2017,N, 0,NaN
5,056_KAN_langevents_05_PL2017,S, 0,NaN
5,056_KAN_langevents_05_PL2017,W, 0,NaN
5,056_KAN_langevents_05_PL2017,N, 0,NaN
5,067_KAN_langevents_06_PL2017,S, 0,NaN
5,067_KAN_langevents_06_PL2017,W, 0,NaN
5,067_KAN_langevents_06_PL2017,N, 0,NaN
5,068_KAN_langevents_07_PL2017,S, 0,NaN
5,068_KAN_langevents_07_PL2017,W, 0,NaN
5,068_KAN_langevents_07_PL2017,N, 0,NaN
5,019_KAN_langevents_08_PL2017,S, 0,NaN
5,019_KAN_langevents_08_PL2017,W, 0,NaN
5,019_KAN_langevents_08_PL2017,N, 0,NaN
5,070_KAN_langevents_11_PL2017,S, 0,NaN
5,070_KAN_langevents_11_PL2017,W, 0,NaN
5,070_KAN_langevents_11_PL2017,N, 0,NaN
5,087_KAN_langevents_12_PL2017,S, 0,NaN
5,087_KAN_langevents_12_PL2017,W, 0,NaN
5,087_KAN_langevents_12_PL2017,N, 0,NaN
5,078_KAN_langevents_13_PL2017,S, 0,NaN
5,078_KAN_langevents_13_PL2017,W, 0,NaN
5,078_KAN_langevents_13_PL2017,N, 0,NaN
5,089_KAN_langevents_15_PL2017,S, 0,NaN
